time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,98,343,388,860,862
6,98,342,381,860,862
7,98,340,376,860,862
8,98,339,376,860,862
9,98,338,377,860,862
10,98,337,378,860,862
11,98,336,379,860,862
12,98,334,379,860,862
13,98,334,380,860,862
14,98,333,380,860,862
15,98,332,381,860,862
16,98,332,381,860,862
17,98,331,381,860,862
18,98,331,381,860,862
19,98,330,382,860,862
20,98,330,382,860,862
21,98,329,382,860,862
22,98,329,382,860,862
23,98,328,382,860,862
24,98,328,382,860,862
25,98,328,382,860,862
26,98,327,382,860,862
27,98,327,382,860,862
28,98,327,382,860,862
29,98,326,382,860,862
30,98,326,382,860,862
31,98,326,382,860,862
32,98,326,382,860,862
33,98,325,382,860,862
34,98,325,382,860,862
35,98,325,382,860,862
36,98,325,382,860,862
37,98,325,382,860,862
38,98,324,382,860,862
39,98,324,382,860,862
40,98,324,382,860,862
41,98,324,382,860,862
42,98,324,382,860,862
43,98,324,382,860,862
44,98,324,382,860,862
45,98,323,382,860,862
46,98,323,382,860,862
47,98,323,382,860,862
48,98,323,383,860,862
49,98,323,383,860,862
50,98,323,383,860,862
51,98,323,383,860,862
52,98,322,383,860,862
53,98,323,383,860,862
54,98,322,383,860,862
55,98,322,383,860,862
56,98,322,383,860,862
57,98,322,383,860,862
58,98,322,383,860,862
59,98,322,383,860,862
60,98,321,383,860,862
61,98,322,383,860,862
62,98,321,384,860,862
63,98,321,384,860,862
64,98,321,384,860,862
65,98,321,384,860,862
66,98,321,384,860,862
67,98,321,384,860,862
68,98,321,384,860,862
69,98,321,384,860,862
70,98,321,384,860,862
71,98,321,384,860,862
72,98,321,384,860,862
73,98,321,384,860,862
74,98,320,384,860,862
75,98,320,384,860,862
76,98,320,385,860,862
77,98,320,385,860,862
78,98,320,385,860,862
79,98,320,385,860,862
80,98,320,385,860,862
81,98,320,385,860,862
82,98,320,385,860,862
83,98,320,385,860,862
84,98,320,385,860,862
85,98,320,385,860,862
86,98,319,385,860,862
87,98,319,385,860,862
88,98,319,385,860,862
89,98,319,385,860,862
90,98,319,386,860,862
91,98,319,386,860,862
92,98,319,386,860,862
93,98,319,386,860,862
94,98,319,386,860,862
95,98,319,386,860,862
96,98,319,386,860,862
97,98,319,387,860,862
98,98,318,387,860,862
99,98,318,387,860,862
100,98,318,387,860,862
101,98,318,387,860,862
102,98,318,387,860,862
103,98,318,387,860,862
104,98,318,387,860,862
105,98,318,387,860,862
106,98,318,388,860,862
107,98,318,388,860,862
108,98,318,388,860,862
109,98,318,388,860,862
110,98,318,388,860,862
111,98,318,388,860,862
112,98,318,388,860,862
113,98,318,388,860,862
114,98,317,388,860,862
115,98,318,388,860,862
116,98,317,388,860,862
117,98,317,388,860,862
118,98,317,388,860,862
119,98,317,389,860,862
120,98,317,389,860,862
121,98,317,389,860,862
122,98,317,389,860,862
123,98,317,389,860,862
124,98,317,389,860,862
125,98,317,389,860,862
126,98,317,389,860,862
127,98,317,390,860,862
128,98,317,390,860,862
129,98,317,390,860,862
130,98,316,390,860,862
131,98,317,390,860,862
132,98,316,390,860,862
133,98,316,390,860,862
134,98,316,390,860,862
135,98,316,390,860,862
136,98,316,390,860,862
137,98,316,390,860,862
138,98,316,390,860,862
139,98,316,390,860,862
140,98,316,390,860,862
141,98,316,390,860,862
142,98,316,390,860,862
143,98,316,390,860,862
144,98,316,390,860,862
145,98,316,390,860,862
146,98,316,390,860,862
147,98,316,391,860,862
148,98,315,390,860,862
149,98,315,390,860,862
150,98,315,391,860,862
151,98,315,391,860,862
152,98,315,391,860,862
153,98,315,391,860,862
154,98,315,391,860,862
155,98,315,391,860,862
156,98,315,391,860,862
157,98,315,392,860,862
158,98,315,392,860,862
159,98,315,392,860,862
160,98,315,392,860,862
161,99,315,392,860,862
162,98,315,392,860,862
163,98,315,392,860,862
164,98,315,392,860,862
165,98,315,392,860,862
166,98,315,393,860,862
167,98,314,393,860,862
168,98,315,393,860,862
169,98,314,393,860,862
170,98,314,393,860,862
171,98,314,393,860,862
172,98,314,393,860,862
173,98,314,393,860,862
174,98,314,393,860,862
175,98,314,393,860,862
176,98,314,393,860,862
177,98,314,393,860,862
178,98,314,393,860,862
179,98,314,393,860,862
180,98,314,394,860,862
181,98,314,393,860,862
182,98,314,394,860,862
183,98,314,394,860,862
184,98,314,394,860,862
185,98,314,394,860,862
186,98,314,394,860,862
187,98,314,394,860,862
188,98,314,394,860,862
189,98,314,394,860,862
190,98,314,395,860,862
191,98,314,395,860,862
192,98,314,395,860,862
193,98,314,395,860,862
194,98,314,395,860,862
195,98,314,395,860,862
196,98,314,396,860,862
197,98,314,396,860,862
198,98,314,396,860,862
199,98,314,396,860,862
200,98,314,396,860,862
201,98,314,396,860,862
202,98,314,396,860,862
203,98,314,396,860,862
204,98,314,396,860,862
205,98,314,396,860,862
206,98,314,396,860,862
207,98,314,396,860,862
208,98,314,396,860,862
209,98,314,396,860,862
210,98,314,397,860,862
211,98,314,397,860,862
212,98,314,397,860,862
213,98,314,397,860,862
214,98,314,397,860,862
215,98,314,397,860,862
216,98,314,397,860,862
217,98,314,397,860,862
218,98,314,397,860,862
219,98,314,397,860,862
220,98,314,397,860,862
221,98,314,398,860,862
222,98,314,398,860,862
223,98,314,398,860,862
224,98,314,398,860,862
225,98,314,398,860,862
226,98,314,398,860,862
227,98,314,398,860,862
228,98,314,398,860,862
229,98,314,398,860,862
230,98,314,398,860,862
231,99,314,398,860,862
232,98,314,399,860,862
233,98,314,398,860,862
234,98,314,399,860,862
235,98,314,399,860,862
236,98,314,399,860,862
237,98,314,399,860,862
238,98,314,399,860,862
239,98,314,399,860,862
240,98,314,400,860,862
241,98,314,400,860,862
242,98,314,400,860,862
243,98,314,400,860,862
244,98,315,400,860,862
245,98,315,400,860,862
246,98,315,400,860,862
247,98,315,400,860,862
248,98,315,400,860,862
249,98,315,400,860,862
250,98,315,400,860,862
251,98,315,400,860,862
252,98,315,401,860,862
253,98,315,401,860,862
254,98,315,401,860,862
255,99,315,401,860,862
256,98,315,401,860,862
257,98,315,401,860,862
258,98,315,401,860,862
259,98,315,401,860,862
260,98,315,401,860,862
261,98,315,401,860,862
262,98,315,401,860,862
263,98,315,402,860,862
