time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,100,373,468,860,862
6,100,374,469,860,862
7,100,373,466,860,862
8,100,373,460,860,862
9,100,371,452,860,862
10,100,369,444,860,862
11,100,366,437,860,862
12,100,363,431,860,862
13,100,361,426,860,862
14,100,359,425,860,862
15,100,358,423,860,862
16,100,356,422,860,862
17,100,355,422,860,862
18,100,354,421,860,862
19,100,353,420,860,862
20,100,353,420,860,862
21,100,352,419,860,862
22,100,351,419,860,862
23,100,351,419,860,862
24,100,351,418,860,862
25,100,350,418,860,862
26,100,350,418,860,862
27,100,349,417,860,862
28,100,349,417,860,862
29,100,349,417,860,862
30,100,348,417,860,862
31,100,348,416,860,862
32,100,348,416,860,862
33,100,348,416,860,862
34,100,347,416,860,862
35,100,347,416,860,862
36,100,347,415,860,862
37,100,347,415,860,862
38,100,347,415,860,862
39,100,346,415,860,862
40,100,346,415,860,862
41,100,346,415,860,862
42,100,346,414,860,862
43,100,346,414,860,862
44,100,346,414,860,862
45,100,346,414,860,862
46,100,346,414,860,862
47,100,346,415,860,862
48,100,345,414,860,862
49,100,345,414,860,862
50,100,345,414,860,862
51,100,345,414,860,862
52,100,345,414,860,862
53,100,345,414,860,862
54,100,345,414,860,862
55,100,345,414,860,862
56,100,345,414,860,862
57,100,345,414,860,862
58,100,344,414,860,862
59,100,344,414,860,862
60,100,345,414,860,862
61,100,344,414,860,862
62,100,344,415,860,862
63,100,344,414,860,862
64,100,344,415,860,862
65,100,344,415,860,862
66,100,344,415,860,862
67,100,344,415,860,862
68,100,344,415,860,862
69,100,344,415,860,862
70,100,344,415,860,862
71,100,344,415,860,862
72,100,344,415,860,862
73,100,344,415,860,862
74,100,344,415,860,862
75,100,344,415,860,862
76,100,344,415,860,862
77,100,344,415,860,862
78,100,344,415,860,862
79,100,344,415,860,862
80,100,343,416,860,862
81,100,344,416,860,862
82,100,343,416,860,862
83,100,343,416,860,862
84,100,343,416,860,862
85,100,343,416,860,862
86,100,343,416,860,862
87,100,343,416,860,862
88,100,343,416,860,862
89,100,343,416,860,862
90,100,343,416,860,862
