time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,93,309,423,862,864
6,93,308,417,862,864
7,93,306,410,862,863
8,93,305,403,862,864
9,93,304,397,862,864
10,93,302,392,862,863
11,93,301,389,862,863
12,93,300,389,862,864
13,93,298,390,862,863
14,93,297,391,862,864
15,93,297,392,862,864
16,93,296,393,862,863
17,93,295,393,862,863
18,93,295,394,862,864
19,93,294,395,862,864
20,93,294,395,862,864
21,93,293,396,862,863
22,93,293,396,862,863
23,93,292,397,862,863
24,93,292,397,862,863
25,93,292,398,862,863
26,93,292,398,862,863
27,93,291,398,862,863
28,93,291,399,862,863
29,93,291,399,862,863
30,93,291,399,862,863
31,93,290,399,862,863
32,93,290,400,862,863
33,93,290,400,862,863
34,93,290,401,862,863
35,93,290,401,862,863
36,93,290,402,862,863
37,93,290,402,862,863
38,93,290,402,862,863
39,93,290,402,862,863
40,93,290,402,862,863
41,93,290,402,862,863
42,93,290,403,862,863
43,93,290,403,862,863
44,93,290,403,862,863
45,93,290,403,862,863
46,93,290,403,862,863
47,93,290,403,862,863
48,93,290,403,862,863
49,93,290,403,862,863
50,93,291,403,862,863
51,93,291,404,862,863
52,93,291,404,862,863
53,93,291,404,862,863
54,93,291,404,862,863
55,93,291,404,862,863
56,93,291,404,862,863
57,93,291,404,862,863
58,93,291,404,862,863
59,93,291,404,862,863
60,93,291,405,862,863
61,93,291,405,862,863
62,93,291,405,862,863
63,93,291,405,862,863
64,93,291,404,862,863
65,93,292,405,862,863
66,93,292,405,862,863
67,93,292,405,862,863
68,93,292,405,862,863
69,93,292,405,862,863
70,93,292,405,862,863
71,93,292,405,862,863
72,93,292,405,862,863
73,93,292,405,862,863
74,93,292,406,862,863
75,93,293,406,862,863
76,93,293,406,862,863
77,93,293,406,862,863
78,93,293,406,862,863
79,93,293,406,862,863
80,93,293,406,862,863
81,93,293,406,862,863
82,93,293,406,862,863
83,93,293,406,862,863
84,93,293,406,862,863
85,93,293,406,862,863
86,93,293,407,862,863
87,93,294,407,862,863
88,93,294,407,862,863
89,93,294,407,862,863
90,93,294,407,862,863
91,93,294,407,862,863
92,93,294,408,862,863
93,93,294,408,862,863
94,93,294,408,862,863
95,93,294,408,862,863
96,93,294,408,862,863
97,93,294,408,862,863
98,93,294,408,862,863
99,93,294,408,862,863
100,93,294,408,862,863
101,93,295,408,862,863
102,93,295,408,861,863
103,93,295,408,862,863
104,93,295,408,862,863
105,93,295,408,862,863
106,93,295,408,862,863
107,93,295,408,861,863
108,93,295,408,861,863
109,93,295,409,862,863
110,93,295,409,862,863
111,93,295,409,862,863
112,93,295,409,861,863
113,93,296,409,862,863
114,93,296,409,861,863
115,93,296,409,862,863
116,93,296,409,862,863
117,93,296,409,862,863
118,93,296,408,861,863
119,93,296,409,861,863
120,93,296,409,862,863
121,93,296,409,862,863
122,93,296,409,862,863
123,93,296,409,862,863
124,93,296,409,862,863
125,93,297,410,862,863
126,93,297,409,862,863
127,93,297,410,862,863
128,93,297,410,862,863
129,93,297,410,862,863
130,93,297,410,862,863
131,93,297,410,861,863
132,93,297,410,861,863
133,93,297,411,861,863
134,93,297,411,862,863
135,93,297,411,862,863
136,93,297,411,862,863
137,93,298,411,861,863
138,93,298,411,862,863
139,93,298,411,862,863
140,93,298,411,862,863
141,93,298,411,861,863
142,93,298,411,861,863
143,93,298,411,862,863
144,93,298,411,862,863
145,93,298,411,862,863
146,93,298,411,862,863
147,93,299,412,861,863
148,93,299,412,861,863
149,93,299,412,861,863
150,93,299,412,862,863
151,93,299,412,862,863
152,93,299,412,862,863
153,93,299,412,861,863
154,93,299,413,862,863
155,93,299,413,861,863
156,93,299,413,861,863
157,93,300,413,861,863
158,93,300,413,861,863
159,93,300,414,861,863
160,93,300,413,862,863
161,93,300,413,861,863
162,93,300,413,861,863
163,93,300,414,861,863
164,93,300,413,861,863
165,93,300,413,861,863
166,93,300,413,862,863
167,93,301,414,862,863
168,93,300,414,861,863
169,93,301,414,861,863
170,93,301,414,862,863
171,93,301,415,862,863
172,93,301,415,861,863
173,93,301,415,862,863
174,93,301,415,861,863
175,93,301,415,861,863
176,93,301,415,861,863
177,93,301,416,861,863
178,93,301,416,861,863
179,93,302,416,861,863
180,93,302,416,862,863
181,93,302,416,861,863
182,93,302,416,861,863
183,93,302,416,862,863
184,93,302,416,861,863
185,93,302,416,861,863
186,93,302,416,861,863
187,93,302,417,861,863
188,93,302,417,861,863
189,93,302,417,861,863
190,93,303,417,862,863
191,93,303,417,861,863
192,93,303,417,861,863
193,93,303,417,861,863
194,93,303,417,861,863
195,93,303,417,861,863
196,93,303,417,861,863
197,93,303,418,861,863
198,93,303,417,861,863
199,93,303,418,862,863
200,93,303,418,861,863
201,93,304,418,861,863
202,93,304,418,861,863
203,93,304,418,861,863
204,93,304,418,861,863
205,93,304,418,861,863
206,93,304,418,861,863
207,93,304,418,862,863
208,93,304,418,861,863
209,93,305,418,861,863
210,93,305,418,861,863
211,93,305,419,861,863
