time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,96,354,396,861,863
6,96,354,396,861,863
7,96,354,395,861,863
8,96,354,395,861,863
9,96,354,395,861,863
10,96,353,395,861,863
11,96,353,395,861,863
12,96,353,396,861,863
13,96,353,395,861,863
14,96,353,395,861,863
15,96,353,395,861,863
16,96,352,395,861,863
17,96,352,395,861,863
18,96,352,395,861,863
19,96,352,395,861,863
20,96,351,395,861,863
21,96,351,395,861,863
22,96,351,395,861,863
23,96,351,395,861,863
24,96,350,394,861,863
25,96,350,394,861,863
26,96,350,394,861,863
27,96,350,395,861,863
28,96,349,395,861,863
29,96,349,395,861,863
30,96,349,395,861,863
31,96,349,395,861,863
32,96,348,395,861,863
33,96,348,395,861,863
34,96,348,396,861,863
35,96,348,396,861,863
36,96,348,396,861,863
37,96,347,396,861,863
38,96,347,397,861,863
39,96,347,397,861,863
40,96,347,397,861,863
41,96,346,397,861,863
42,96,346,397,861,863
43,96,346,397,861,863
44,96,346,398,861,863
45,96,345,398,861,863
46,96,345,398,861,863
47,96,345,398,861,863
48,96,345,398,861,863
49,96,344,398,861,863
50,96,344,398,861,863
51,96,344,398,861,863
52,96,344,398,861,863
53,96,344,398,861,863
54,96,343,398,861,863
55,96,343,398,861,863
56,96,343,398,861,863
57,96,343,398,861,863
58,96,342,398,861,863
59,96,342,398,861,863
60,96,342,399,861,863
61,96,342,399,861,863
62,96,342,399,861,863
63,96,341,399,861,863
64,96,341,399,861,863
65,96,341,399,861,863
66,96,341,399,861,863
67,96,340,399,861,863
68,96,340,399,861,863
69,96,340,399,861,863
70,96,340,399,861,863
71,96,340,400,861,863
72,96,339,400,861,863
73,96,339,400,861,863
74,96,339,400,861,863
75,96,339,400,861,863
76,96,339,401,861,863
77,96,338,401,861,863
78,96,338,401,861,863
79,96,338,401,861,863
80,96,338,401,861,863
81,96,337,401,861,863
82,96,337,401,861,863
83,96,337,401,861,863
84,96,337,401,861,863
85,96,337,401,861,863
86,96,337,402,861,863
87,96,336,402,861,863
88,96,336,402,861,863
89,96,336,401,861,863
90,96,336,401,861,863
91,96,336,401,861,863
92,96,335,401,861,863
93,96,335,402,861,863
94,96,335,402,861,863
95,96,335,402,861,863
96,96,335,402,861,863
