time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,86,334,412,865,866
6,86,334,411,865,866
7,86,334,410,865,867
8,86,334,408,865,866
9,86,333,407,865,866
10,86,333,406,865,866
11,86,333,405,865,866
12,86,333,404,865,866
13,86,333,403,865,866
14,86,333,403,865,866
15,86,333,402,865,866
16,86,333,402,865,866
17,86,333,401,865,866
18,86,333,401,865,866
19,86,333,401,865,866
20,86,333,401,865,866
21,86,333,400,865,866
22,86,333,400,865,866
23,86,333,400,865,866
24,86,333,400,865,866
25,86,333,400,865,866
26,86,332,399,865,866
27,86,332,399,865,866
28,86,332,399,865,866
29,86,332,400,865,866
30,86,332,399,865,866
31,86,332,399,865,866
32,86,332,399,865,866
33,86,332,399,865,866
34,86,331,399,865,866
35,86,332,399,865,866
36,86,331,399,865,866
37,86,331,399,865,866
38,86,331,399,865,866
39,86,331,399,865,866
40,86,331,399,865,866
41,86,331,399,865,866
42,86,331,399,865,866
43,86,331,400,865,866
44,86,330,400,865,866
45,86,330,400,865,866
46,86,330,399,865,866
47,86,330,400,865,866
48,86,330,400,865,866
49,86,330,400,865,866
50,86,330,400,865,866
51,86,330,400,865,866
52,86,330,400,865,866
53,86,329,400,865,866
54,86,329,400,865,866
55,86,329,401,865,866
56,86,329,401,865,866
57,86,329,401,865,866
58,86,329,401,865,866
59,86,329,400,865,866
60,86,329,401,865,866
61,86,329,401,865,866
62,86,329,401,865,866
63,86,328,401,865,866
64,86,328,401,865,866
65,86,328,401,865,866
66,86,328,401,865,866
67,86,328,401,865,866
68,86,328,401,865,866
69,86,328,402,865,866
70,86,328,402,865,866
71,86,328,402,865,866
72,86,327,402,865,866
73,86,327,402,865,866
74,86,327,402,865,866
75,86,327,402,865,866
76,86,327,403,865,866
77,86,327,403,865,866
78,86,327,403,865,866
79,86,327,403,865,866
80,86,327,403,865,866
81,86,327,403,865,866
82,86,326,403,865,866
83,86,326,403,865,866
84,86,326,403,865,866
85,86,326,403,865,866
86,86,326,403,865,866
87,86,326,404,865,866
88,86,326,404,865,866
89,86,326,404,865,866
90,86,326,404,865,866
91,86,325,404,865,866
92,86,325,404,865,866
93,86,325,404,865,866
94,86,325,405,865,866
95,86,325,405,865,866
96,86,325,405,865,866
97,86,325,405,865,866
98,86,325,405,865,866
99,86,324,405,865,866
100,86,325,406,865,866
101,86,324,406,865,866
102,86,324,406,865,866
103,86,324,406,865,866
104,86,324,406,865,866
105,86,324,406,865,866
106,86,324,406,865,866
107,86,324,406,865,866
108,86,324,406,865,866
109,86,324,406,865,866
110,86,323,406,865,866
111,86,323,406,865,866
112,86,323,406,865,866
113,86,323,406,865,866
114,86,323,406,865,866
115,86,323,407,865,866
116,86,323,407,865,866
117,86,323,407,865,866
118,86,323,407,865,866
119,86,323,407,865,866
120,86,322,408,865,866
121,86,322,408,865,866
122,86,322,408,865,866
123,86,322,408,865,866
124,86,322,408,865,866
125,86,322,408,865,866
126,86,322,408,865,866
127,86,322,408,865,866
128,86,322,408,865,866
129,86,322,409,865,866
130,86,322,409,865,866
131,86,322,409,865,866
132,86,322,410,865,866
133,86,322,410,865,866
134,86,322,410,865,866
135,86,321,410,865,866
136,86,321,410,865,866
137,86,321,410,865,866
138,86,321,410,865,866
139,86,321,410,865,866
140,86,321,410,865,866
141,86,321,411,865,866
142,86,321,411,865,866
143,86,321,411,865,866
144,86,321,411,865,866
145,86,321,411,865,866
146,86,321,411,865,866
147,86,320,411,865,866
148,86,321,411,865,866
149,86,320,411,865,866
150,86,320,412,865,866
151,86,320,412,865,866
152,86,320,412,865,866
153,86,320,412,865,866
154,86,320,412,865,866
155,86,320,412,865,866
156,86,320,412,865,866
157,86,320,412,865,866
158,86,320,413,865,866
159,86,319,413,865,866
160,86,319,413,865,866
