time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,90,312,418,864,865
6,90,312,411,864,865
7,90,312,410,864,865
8,90,313,410,864,865
9,90,313,410,864,865
10,90,313,410,864,865
11,90,313,410,864,865
12,90,313,410,864,865
13,90,313,410,864,865
14,90,313,410,864,865
15,90,313,410,864,865
16,90,313,410,864,865
17,90,313,410,864,865
18,90,313,410,864,865
19,90,313,410,864,865
20,90,313,410,864,865
21,90,313,410,864,865
22,90,314,411,864,865
23,90,313,411,864,865
24,90,314,411,864,865
25,90,314,411,864,865
26,90,314,411,864,865
27,90,314,411,864,865
28,90,314,411,864,865
29,90,314,411,864,865
30,90,313,412,864,865
31,90,314,412,864,865
32,90,314,412,864,865
33,90,314,412,864,865
34,90,313,412,864,865
35,90,314,412,864,865
36,90,313,412,864,865
37,90,314,413,864,865
38,90,313,413,864,865
39,90,314,413,864,865
40,90,313,413,864,865
41,90,313,413,864,865
42,90,313,412,864,865
43,90,313,412,864,865
44,90,313,412,864,865
45,90,313,412,864,865
46,90,313,412,864,865
47,90,313,413,864,865
48,90,313,413,864,865
49,90,313,413,864,865
50,90,313,413,864,865
51,90,313,413,864,865
52,90,313,413,864,865
53,90,313,413,864,865
54,90,313,413,864,865
55,90,313,413,864,865
56,90,313,413,864,865
57,90,312,413,864,865
58,90,313,413,864,865
59,90,312,414,864,865
60,90,312,414,864,865
61,90,312,413,864,865
62,90,312,414,864,865
63,90,312,414,864,865
64,90,312,414,864,865
65,90,312,414,864,865
66,90,312,414,864,865
67,90,312,414,864,865
68,90,312,414,864,865
69,90,312,414,864,865
70,90,312,415,864,865
71,90,312,415,864,865
72,90,312,415,864,865
73,90,311,415,864,865
74,90,312,415,864,865
75,90,311,415,864,865
76,90,311,415,864,865
77,90,311,415,864,865
78,90,311,415,864,865
79,90,311,415,864,865
80,90,311,415,864,865
81,90,311,415,864,865
82,90,311,415,864,865
83,90,311,414,864,865
84,90,311,415,864,865
85,90,310,415,864,865
86,90,310,415,864,865
87,90,310,414,864,865
88,90,310,415,864,865
89,90,310,415,864,865
90,90,310,414,864,865
91,90,310,414,864,865
92,90,310,414,864,865
93,90,310,415,864,865
94,90,310,415,864,865
95,90,310,414,864,865
96,90,309,414,864,865
97,90,309,414,864,865
98,90,309,415,864,865
99,90,309,415,864,865
100,90,309,415,864,865
101,90,309,415,864,865
102,90,309,415,864,865
103,90,309,415,864,865
104,90,309,415,864,865
105,90,309,415,864,865
106,90,309,415,864,865
107,90,308,415,864,865
108,90,309,415,864,865
109,90,308,415,864,865
110,90,308,416,864,865
111,90,308,416,864,865
112,90,308,416,864,865
113,90,308,416,864,865
114,90,308,416,864,865
115,90,308,416,864,865
116,90,308,416,864,865
117,90,308,416,864,865
118,90,308,416,864,865
119,90,307,416,864,865
120,90,308,417,864,865
121,90,307,417,864,865
122,90,307,417,864,865
123,90,307,417,864,865
124,90,307,417,864,865
125,90,307,417,864,865
126,90,307,418,864,865
127,90,307,418,864,865
128,90,307,418,864,865
129,90,307,418,864,865
130,90,307,418,864,865
131,90,307,418,864,865
132,90,307,418,864,865
133,90,306,418,864,865
134,90,307,418,864,865
135,90,306,418,864,865
136,90,306,419,864,865
137,90,306,419,864,865
138,90,306,419,864,865
139,90,306,419,864,865
140,90,306,419,864,865
141,90,306,419,864,865
142,90,306,419,864,865
143,90,306,419,864,865
144,90,306,420,864,865
145,90,306,420,864,865
146,90,306,420,864,865
147,90,306,420,864,865
148,90,306,420,864,865
149,90,306,420,864,865
150,90,306,420,864,865
151,90,306,420,864,865
152,90,305,420,864,865
153,90,306,420,864,865
154,90,305,420,864,865
155,90,305,420,864,865
156,90,305,420,864,865
157,90,305,421,864,865
158,90,305,421,864,865
159,90,305,421,864,865
160,90,305,421,864,865
161,90,305,421,864,865
162,90,305,421,864,865
163,90,305,421,864,865
164,90,305,422,864,865
165,90,305,422,864,865
166,90,305,422,864,865
167,90,305,422,864,865
168,90,305,422,864,865
169,90,305,423,864,865
170,90,305,422,864,865
171,90,305,422,864,865
172,90,305,422,864,865
173,90,305,422,864,865
174,90,305,422,864,865
175,90,305,422,864,865
176,90,305,422,864,865
177,90,305,422,864,865
178,90,305,422,864,865
179,90,305,422,864,865
180,90,305,422,864,865
181,90,305,422,864,865
182,90,305,422,864,865
183,90,305,422,864,865
184,90,305,422,864,865
185,90,305,422,864,865
186,90,305,422,864,865
187,90,305,422,864,865
188,90,305,422,864,865
189,90,305,422,864,865
190,90,304,423,864,865
191,90,304,423,864,865
192,90,305,423,864,865
193,90,304,423,864,865
194,90,304,424,864,865
195,90,304,424,864,865
196,90,304,424,864,865
197,90,304,424,864,865
198,90,305,425,864,865
199,90,304,425,864,865
200,90,305,425,864,865
201,90,304,425,864,865
202,90,305,425,864,865
203,90,304,425,864,865
204,90,305,426,864,865
205,90,304,426,864,865
206,90,304,426,864,865
207,90,304,426,864,865
208,90,304,426,864,865
209,90,304,427,864,865
210,90,305,427,864,865
211,90,305,427,864,865
212,90,304,427,864,865
213,90,305,427,864,865
214,90,305,427,864,865
215,90,305,427,864,865
216,90,304,427,864,865
217,90,305,427,864,865
218,90,304,427,864,865
219,90,304,427,864,865
220,90,305,427,864,865
221,90,305,427,864,865
222,90,304,427,864,865
223,90,304,427,864,865
224,90,304,427,864,865
225,90,304,427,864,865
226,91,305,428,864,865
227,90,304,428,864,865
228,90,304,428,864,865
229,90,304,428,864,865
230,90,304,428,864,865
231,90,304,428,864,865
232,90,305,428,864,865
233,90,304,428,864,865
234,90,304,428,864,865
235,90,305,428,864,865
236,90,304,428,864,865
237,90,304,428,864,865
238,90,305,428,864,865
239,90,305,429,864,865
240,90,305,429,864,865
241,90,305,429,864,865
242,90,305,429,864,865
243,90,305,429,864,865
244,90,305,430,864,865
245,90,305,430,864,865
246,90,305,430,864,865
247,90,305,431,864,865
248,90,305,431,864,865
249,90,305,431,864,865
250,90,305,432,864,865
251,90,305,432,864,865
252,90,305,432,864,865
253,90,305,432,864,865
254,90,305,432,864,865
255,90,305,432,864,865
256,90,305,432,864,865
257,90,305,432,864,865
258,90,305,432,864,865
259,90,305,432,864,865
260,90,305,432,864,865
261,90,305,432,864,865
262,90,305,432,864,865
263,90,305,432,864,865
264,90,306,432,864,865
265,90,306,433,864,865
266,90,306,432,864,865
267,90,306,433,864,865
268,90,306,433,864,865
269,90,306,433,864,865
270,90,306,433,864,865
271,90,306,433,864,865
272,90,306,433,864,865
273,90,306,433,864,865
274,90,306,433,864,865
276,90,306,434,864,865
277,90,306,434,864,865
278,90,306,434,864,865
279,90,306,435,864,865
280,90,306,435,864,865
281,90,306,435,864,865
282,90,306,435,864,865
283,90,307,435,864,865
284,90,307,435,864,865
285,90,307,435,864,865
286,90,307,435,864,865
287,90,307,435,864,865
288,90,307,435,864,865
289,90,307,436,864,865
290,91,307,436,864,865
291,90,307,436,864,865
292,90,307,436,864,865
293,90,307,436,864,865
294,90,307,437,864,865
295,90,307,437,864,865
296,90,307,437,864,865
297,90,307,437,864,865
298,90,307,437,864,865
299,90,307,437,864,865
300,91,308,437,864,865
301,90,307,437,864,865
302,90,308,437,864,865
303,90,308,437,864,865
304,90,308,437,864,865
305,91,308,437,864,865
306,90,308,437,864,865
307,90,308,437,864,865
308,90,308,438,864,865
309,90,308,438,864,865
310,90,308,438,864,865
311,90,308,438,864,865
312,90,308,438,864,865
313,90,308,438,864,865
314,90,308,438,864,865
315,90,308,439,864,865
316,91,308,439,864,865
317,90,308,438,864,865
318,90,308,439,864,865
319,90,308,439,864,865
320,90,309,439,864,865
321,90,309,438,864,865
322,91,309,439,864,865
323,90,309,439,864,865
324,90,309,439,864,865
325,91,309,439,864,865
326,90,309,439,864,865
327,90,309,440,864,865
328,90,309,440,864,865
329,90,309,440,864,865
330,90,309,440,864,865
331,90,309,440,864,865
332,91,309,440,864,865
333,91,310,440,864,865
334,91,310,440,864,865
335,90,310,440,864,865
336,90,310,440,864,865
337,91,310,440,864,865
338,91,310,440,864,865
339,91,310,440,864,865
340,90,310,440,864,865
341,91,310,440,864,865
342,91,310,439,864,865
343,90,310,440,864,865
344,90,310,440,864,865
345,90,310,440,864,865
346,91,310,440,864,865
347,90,311,440,864,865
348,90,311,440,864,865
349,90,311,440,864,865
350,91,311,440,864,865
351,91,311,440,864,865
352,91,311,440,864,865
353,91,311,440,864,865
354,90,311,440,864,865
355,91,311,440,864,865
356,91,311,440,864,865
357,91,311,440,864,865
358,90,311,440,864,865
359,91,311,440,864,865
360,91,311,440,864,865
361,90,311,440,864,865
362,90,311,440,864,865
363,90,312,440,864,865
364,91,312,440,864,865
365,91,312,440,864,865
366,91,312,440,864,865
367,90,312,440,864,865
368,91,312,440,864,865
369,91,312,440,864,865
370,90,312,440,864,865
371,90,312,440,864,865
372,91,312,440,864,865
373,91,312,440,864,865
374,91,313,440,864,865
375,90,313,440,864,865
376,91,313,441,864,865
377,91,313,441,864,865
378,91,313,441,864,865
379,91,313,441,864,865
380,91,313,441,864,865
381,91,313,441,864,865
382,91,313,441,864,865
383,91,313,441,864,865
384,91,314,442,864,865
385,91,314,441,864,865
386,90,314,442,864,865
387,91,314,442,864,865
388,91,314,442,864,865
389,91,314,442,864,865
390,91,314,442,864,865
391,90,314,442,864,865
392,91,314,442,864,865
393,91,314,442,864,865
394,91,315,442,864,865
395,91,315,443,864,865
396,91,315,443,864,865
397,90,315,443,864,865
398,91,315,443,864,865
399,91,315,443,864,865
400,91,315,442,864,865
401,91,315,442,864,865
402,91,315,442,864,865
403,90,315,443,864,865
404,91,315,443,864,865
405,91,315,443,864,865
406,91,315,443,864,865
407,90,315,443,864,865
408,91,316,443,864,865
409,91,316,443,864,865
410,91,316,443,864,865
411,91,316,443,864,865
412,91,316,443,864,865
413,91,316,443,864,865
414,91,316,443,864,865
415,91,317,444,864,865
416,91,317,444,864,865
417,91,317,445,864,865
418,90,317,445,864,865
419,90,317,446,864,865
420,91,317,446,864,865
421,91,317,446,864,865
422,91,317,446,864,865
423,91,317,447,864,865
424,91,317,447,864,865
425,91,318,447,864,865
426,91,318,447,864,865
427,91,318,448,864,865
428,91,318,448,864,865
429,91,318,448,864,865
