#time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,89,471,422,781,782
6,89,459,416,781,782
7,89,449,411,781,782
8,89,437,409,781,782
9,89,425,408,781,782
10,89,415,406,781,782
11,89,406,405,781,782
12,89,396,404,781,782
13,89,387,403,781,782
14,89,378,402,781,782
15,89,371,401,781,782
16,89,364,400,781,782
17,89,356,399,781,782
18,89,350,398,781,782
19,89,344,398,781,782
20,89,338,397,781,782
21,89,332,397,781,782
22,89,328,396,781,782
23,89,323,396,781,782
24,89,318,396,781,782
25,89,314,395,781,782
26,89,309,395,781,782
27,89,306,394,781,782
28,89,302,394,781,782
29,89,298,393,781,782
30,89,295,393,781,782
31,89,293,393,781,782
32,89,290,393,781,782
33,89,288,392,781,782
34,89,285,392,781,782
35,89,283,392,781,782
36,89,280,392,781,782
37,89,278,392,781,782
38,89,276,391,781,782
39,89,274,391,781,782
40,89,273,391,781,782
41,89,271,391,781,782
42,89,270,391,781,782
43,89,268,391,781,782
44,89,267,390,781,782
45,89,266,390,781,782
46,89,265,390,781,782
47,89,264,390,781,782
48,89,263,390,781,782
49,89,262,390,781,782
50,89,261,390,781,782
51,89,261,390,781,782
52,89,260,390,781,782
53,89,259,390,781,782
54,89,259,390,781,782
55,89,259,390,781,782
56,89,259,390,781,782
57,89,258,390,781,782
58,89,258,390,781,782
59,89,258,390,781,782
60,89,258,390,781,782
61,89,258,390,781,782
62,89,258,390,781,782
63,89,258,390,781,782
64,89,258,390,781,782
65,89,258,390,781,782
66,89,258,390,781,782
67,89,258,390,781,782
68,89,258,390,781,782
69,89,258,390,781,782
70,89,258,390,781,782
71,89,259,390,781,782
72,89,259,390,781,782
73,89,259,390,781,782
74,89,260,390,781,782
75,89,260,390,781,782
76,89,260,390,781,782
77,89,261,390,781,782
78,89,261,390,781,782
79,89,261,390,781,782
80,89,262,390,781,782
81,89,262,390,781,782
82,89,263,390,781,782
83,89,263,390,781,782
84,89,264,390,781,782
85,89,264,390,781,782
86,89,265,390,781,782
87,89,265,391,781,782
88,89,266,391,781,782
89,89,266,391,781,782
90,89,267,391,781,782
91,89,267,391,781,782
92,89,268,391,781,782
93,89,269,391,781,782
94,89,269,391,781,782
95,89,270,391,781,782
96,89,270,391,781,782
97,89,271,391,781,782
98,89,272,391,781,782
99,89,272,391,781,782
100,89,273,391,781,782
101,89,274,391,781,782
102,89,274,392,781,782
103,89,275,392,781,782
104,89,275,392,781,782
105,89,276,392,781,782
106,89,277,392,781,782
107,89,278,392,781,782
108,89,278,392,781,782
