time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,87,325,405,781,783
6,87,325,397,781,783
7,87,325,390,781,783
8,87,325,385,781,783
9,87,325,384,781,783
10,87,325,384,781,783
11,87,325,384,781,783
12,87,325,384,781,783
13,87,325,385,781,783
14,87,325,385,781,783
15,87,325,385,781,783
16,87,325,386,781,783
17,87,325,386,781,783
18,87,325,386,781,783
19,87,325,386,781,783
20,87,325,386,781,783
21,87,325,386,781,783
22,87,325,386,781,783
23,87,325,386,781,783
24,87,325,386,781,783
25,87,325,386,781,783
26,87,324,386,781,783
27,87,324,386,781,783
28,87,324,386,781,783
29,87,324,387,781,783
30,87,324,387,781,783
31,87,323,387,781,783
32,87,320,387,781,783
33,87,316,387,781,783
34,87,312,387,781,783
35,87,309,387,781,783
36,87,306,388,781,783
37,87,303,387,781,783
38,87,300,388,781,783
39,87,297,388,781,783
40,87,295,388,781,783
41,87,292,388,781,783
42,87,290,388,781,783
43,87,288,388,781,783
44,87,285,388,781,783
45,87,283,388,781,783
46,87,282,388,781,783
47,87,280,388,781,783
48,87,278,388,781,783
49,87,277,388,781,783
50,87,275,389,781,783
51,87,274,389,781,783
52,87,273,389,781,783
53,87,271,389,781,783
54,87,270,388,781,783
55,87,269,389,781,783
56,87,268,389,781,783
57,87,267,389,781,783
58,87,266,389,781,783
59,87,266,389,781,783
60,87,265,389,781,783
61,87,265,389,781,783
62,87,264,389,781,783
63,87,264,389,781,783
64,87,263,389,781,783
65,87,263,389,781,783
66,87,262,389,781,783
67,87,262,389,781,783
68,87,262,389,781,783
69,87,262,389,781,783
70,87,262,390,781,783
71,87,262,390,781,783
72,87,262,390,781,783
73,87,261,390,781,783
74,87,262,390,781,783
75,87,262,390,781,783
76,87,262,390,781,783
77,87,262,391,781,783
78,87,263,391,781,783
79,87,263,391,781,783
80,87,263,391,781,783
81,87,263,391,781,783
82,87,264,391,781,783
83,87,264,391,781,783
84,87,265,391,781,783
85,87,265,391,781,783
86,87,265,392,781,783
87,87,266,391,781,783
88,87,267,392,781,783
89,87,267,392,781,783
90,87,268,392,781,783
91,87,268,392,781,783
92,87,269,392,781,783
93,87,270,392,781,783
94,87,270,392,781,783
95,87,271,392,781,783
96,87,272,392,781,783
97,87,273,393,781,783
98,87,273,393,781,783
99,87,274,393,781,783
100,87,275,393,781,783
101,87,275,393,781,783
102,87,277,393,781,783
103,87,277,393,781,783
104,87,278,393,781,783
105,87,279,393,781,783
106,87,280,393,781,783
107,87,281,393,781,783
108,87,282,393,781,783
109,87,282,393,781,783
110,87,283,393,781,783
111,87,284,394,781,783
112,87,285,394,781,783
113,87,286,394,781,783
114,87,287,394,781,783
115,87,288,394,781,783
116,87,289,394,781,783
117,87,290,394,781,783
118,87,291,394,781,783
119,87,292,394,781,783
120,88,292,394,781,783
121,87,293,394,781,783
122,87,294,394,781,783
123,87,295,394,781,783
124,87,296,394,781,783
125,87,297,395,781,783
126,87,298,395,781,783
127,87,299,395,781,783
128,87,300,395,781,783
129,87,301,395,781,783
130,87,302,395,781,783
131,87,303,395,781,783
132,87,304,395,781,783
133,87,305,396,781,783
134,87,305,396,781,783
135,88,307,396,781,783
136,88,307,396,781,783
137,87,308,396,781,783
138,88,309,396,781,783
139,87,310,396,781,783
140,88,311,396,781,783
141,87,312,396,781,783
142,87,313,396,781,783
143,87,314,396,781,783
144,87,315,396,781,783
145,88,316,396,781,783
146,87,317,396,781,783
147,88,318,396,781,783
148,88,319,397,781,783
149,88,320,397,781,783
150,87,320,397,781,783
151,87,321,397,781,783
152,87,322,397,781,783
153,88,323,397,781,783
154,87,324,397,781,783
155,88,325,398,781,783
156,87,326,398,781,783
157,88,327,397,781,783
158,88,328,398,781,783
159,88,329,398,781,783
160,87,329,398,781,783
161,88,330,398,781,783
162,87,331,398,781,783
163,88,332,398,781,783
164,88,333,398,781,783
165,87,334,398,781,783
166,88,335,399,781,783
167,88,336,399,781,783
168,88,336,399,781,783
169,88,337,399,781,783
170,87,338,399,781,783
171,88,339,399,781,783
172,88,340,399,781,783
173,87,341,399,781,783
