time,ambient,bean,air,thermocouple_2_temp,thermocouple_3_temp
5,73,432,396,788,789
6,73,422,389,788,789
7,73,410,383,788,789
8,73,400,379,788,789
9,73,391,375,788,789
10,73,381,374,788,789
11,73,373,373,788,789
12,73,364,373,788,789
13,73,356,372,788,789
14,73,349,371,788,789
15,73,341,371,788,789
16,73,335,371,788,789
17,73,328,370,788,789
18,73,321,370,788,789
19,73,315,369,788,789
20,73,310,369,788,789
21,73,304,369,788,789
22,73,300,369,788,789
23,73,295,370,788,789
24,73,290,369,788,789
25,73,285,369,788,789
26,73,281,369,788,789
27,73,277,369,788,789
28,73,273,369,788,789
29,73,270,369,788,789
30,73,267,369,788,789
31,73,263,369,788,789
32,73,260,369,788,789
33,73,257,369,788,789
34,73,255,368,788,789
35,73,252,368,788,789
36,73,250,368,788,789
37,73,248,368,788,789
38,73,246,368,788,789
39,73,244,368,788,789
40,73,243,368,788,789
41,73,241,368,788,789
42,73,239,368,788,789
43,73,238,369,788,789
44,73,236,369,788,789
45,73,235,368,788,789
46,73,234,368,788,789
47,73,233,368,788,789
48,73,232,369,788,789
49,73,231,369,788,789
50,73,230,369,788,789
51,73,230,369,788,789
52,73,229,369,788,789
53,73,228,369,788,789
54,74,228,369,788,789
55,74,227,369,788,789
56,73,226,369,788,789
57,73,226,369,788,789
58,73,226,369,788,789
59,73,225,369,788,789
60,73,225,369,788,789
61,73,225,369,788,789
62,73,225,369,788,789
63,73,225,369,788,789
64,73,225,370,788,789
65,73,225,370,788,789
66,74,225,370,788,789
67,73,225,370,788,789
68,74,225,370,788,789
69,74,225,370,788,789
70,74,226,370,788,789
71,74,226,370,788,789
72,74,226,371,788,789
73,73,226,371,788,789
74,73,227,371,788,789
75,74,227,371,788,789
76,74,227,371,788,789
77,74,228,371,788,789
78,74,228,372,788,789
79,74,229,372,788,789
80,74,229,372,788,789
81,74,230,372,788,789
82,74,230,372,788,789
83,73,231,372,788,789
84,73,231,372,788,789
85,74,232,372,788,789
86,74,232,372,788,789
87,74,233,372,788,789
88,74,234,373,788,789
89,73,234,373,788,789
90,74,235,373,788,789
91,74,235,373,788,789
92,74,236,373,788,789
93,74,237,373,788,789
94,74,237,374,788,789
95,74,238,374,788,789
96,74,238,374,788,789
97,74,239,374,788,789
98,74,240,374,788,789
99,74,240,374,788,789
100,74,241,375,788,789
101,74,242,375,788,789
102,74,243,375,788,789
103,74,243,375,788,789
104,74,244,375,788,789
105,74,245,375,788,789
106,74,246,375,788,789
107,74,246,375,788,789
108,74,247,375,788,789
109,74,248,375,788,789
110,74,249,375,788,789
111,74,250,375,788,789
112,74,250,375,788,789
113,74,251,375,788,789
114,74,252,376,788,789
115,74,252,376,788,789
116,74,253,376,788,789
117,74,254,376,788,789
118,74,254,376,788,789
119,74,255,376,788,789
120,74,256,376,788,789
121,74,257,376,788,789
122,74,258,376,788,789
123,74,259,376,788,789
124,74,259,377,788,789
125,74,260,376,788,789
126,74,261,377,788,789
127,74,262,377,788,789
128,74,262,377,788,789
129,74,263,377,788,789
130,74,264,377,788,789
131,74,265,377,788,789
132,74,265,377,788,789
133,74,266,377,788,789
134,74,267,377,788,789
135,74,268,377,788,789
136,74,269,377,788,789
137,74,269,377,788,789
138,74,270,377,788,789
139,74,271,377,788,789
140,74,272,377,788,789
141,74,272,377,788,789
142,74,273,378,788,789
143,74,274,378,788,789
144,74,274,378,788,789
145,74,275,378,788,789
146,74,276,378,788,789
147,74,277,379,788,789
148,74,277,379,788,788
149,74,278,379,788,789
150,74,279,379,788,789
151,74,280,379,788,789
152,74,280,379,788,789
153,74,281,379,788,789
154,74,282,380,788,789
155,74,283,380,788,789
156,74,283,380,788,789
157,74,284,380,788,788
158,74,285,380,788,789
159,74,286,380,788,789
160,74,286,380,788,789
161,74,287,380,788,789
162,74,288,381,788,789
163,74,288,381,788,789
164,74,289,381,788,789
165,74,290,381,788,789
166,74,290,381,788,789
167,74,291,382,788,789
168,74,292,382,788,789
169,74,292,382,788,789
170,74,293,382,788,789
171,74,294,382,788,789
172,74,294,382,788,789
173,74,295,383,788,789
174,74,296,383,788,789
175,74,297,383,788,789
176,74,297,383,788,789
177,74,298,383,788,789
178,74,298,383,788,788
179,74,299,383,788,789
180,74,300,383,788,789
181,74,300,383,788,789
182,74,301,384,788,789
183,74,302,384,788,789
184,74,302,384,788,789
185,74,303,384,788,789
186,74,303,384,788,789
187,74,304,384,788,789
188,74,305,384,788,789
189,74,306,385,788,789
190,74,306,385,788,789
191,74,307,385,788,789
192,74,307,385,788,789
193,74,308,385,788,789
194,74,309,385,788,789
