#time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,71,429,394,789,790
6,71,417,385,789,790
7,71,407,378,789,790
8,71,398,371,789,790
9,71,388,365,789,790
10,71,380,359,789,789
11,71,372,355,789,790
12,71,364,356,789,790
13,71,357,357,789,790
14,71,349,359,789,790
15,71,342,361,789,790
16,71,336,363,789,790
17,71,329,364,789,790
18,71,324,366,789,790
19,71,318,367,789,790
20,71,312,368,789,790
21,71,306,369,789,790
22,71,301,370,789,790
23,71,296,371,789,790
24,71,291,372,789,790
25,71,287,373,789,790
26,71,283,374,789,790
27,71,279,375,789,790
28,71,275,375,789,790
29,71,272,376,789,790
30,71,268,376,789,790
31,71,265,377,789,790
32,71,262,377,789,790
33,71,259,377,789,790
34,71,257,378,789,790
35,71,254,378,789,790
36,71,251,379,789,789
37,71,249,379,789,790
38,71,247,380,789,790
39,71,245,380,789,790
40,71,244,380,789,790
41,71,242,380,789,790
42,71,240,381,789,790
43,71,239,381,789,790
44,71,238,381,789,790
45,71,236,381,789,789
46,71,235,382,789,789
47,71,234,382,789,790
48,71,233,382,789,790
49,71,232,382,789,790
50,71,232,383,789,790
51,71,231,383,789,789
52,71,230,383,789,790
53,71,230,384,789,790
54,71,229,384,789,790
55,71,229,384,789,790
56,71,228,384,789,789
57,71,228,384,789,790
58,71,228,385,789,790
59,71,228,385,789,790
60,71,228,385,789,790
61,71,228,385,789,789
62,71,228,386,789,790
63,71,228,386,789,790
64,71,228,386,789,789
65,71,228,386,789,790
66,71,228,386,789,790
67,71,228,387,789,789
68,71,228,387,789,789
69,71,229,387,789,789
70,71,229,387,789,789
71,71,229,387,789,790
72,71,230,387,789,789
73,71,230,387,789,789
74,71,230,387,789,789
75,71,231,388,789,790
76,71,231,388,789,789
77,71,232,388,789,790
78,71,232,388,789,789
79,71,233,388,789,790
80,71,234,389,789,790
81,71,234,389,789,789
82,71,235,389,789,789
83,71,236,389,789,790
84,71,236,389,789,789
85,71,237,389,789,789
86,71,238,389,789,790
87,71,238,390,789,790
88,71,239,390,789,789
89,71,240,390,789,790
90,71,241,390,789,789
91,71,242,390,789,790
92,71,242,390,789,789
93,71,243,390,789,790
94,71,244,390,789,789
95,71,245,390,789,789
96,71,246,390,789,789
97,71,247,390,789,789
98,71,247,391,789,789
99,71,248,391,789,789
100,71,249,391,789,789
101,71,250,391,789,789
102,71,251,391,789,789
103,71,252,391,789,789
104,71,253,391,789,789
105,71,254,392,789,790
106,71,255,392,789,789
107,71,256,392,789,789
108,71,257,392,789,789
109,71,258,392,789,789
110,71,259,392,789,789
111,71,260,392,789,789
112,71,261,392,789,789
113,71,262,392,789,789
114,71,262,392,789,789
115,71,264,393,789,789
116,71,265,393,789,789
117,71,266,393,789,789
118,71,266,393,789,789
119,71,267,393,789,789
120,71,268,393,789,790
121,71,269,393,789,789
122,71,270,393,789,789
123,71,271,393,789,789
124,71,272,393,789,789
125,71,273,394,789,789
126,71,274,394,789,789
127,71,275,394,789,790
128,71,276,394,789,789
129,71,277,394,789,789
130,71,278,394,789,789
131,71,279,394,789,789
132,71,280,394,789,789
133,71,280,394,789,789
134,71,281,395,789,789
135,71,282,395,789,789
136,71,283,395,789,789
137,71,284,395,789,789
138,71,285,395,789,789
139,71,286,395,789,789
140,71,286,395,789,789
141,71,287,395,789,789
142,71,288,395,789,789
143,71,289,395,789,789
144,71,290,395,789,789
145,71,291,395,789,789
146,71,292,395,789,789
147,71,293,395,789,789
148,71,294,395,789,789
149,71,294,395,789,789
150,71,295,395,789,789
151,71,296,395,789,789
152,71,297,396,789,789
153,71,298,396,789,789
154,71,299,396,789,789
155,71,300,396,789,789
156,71,301,396,789,789
157,71,302,396,789,789
158,71,303,396,789,789
159,71,303,396,789,789
160,71,304,396,789,789
161,71,305,397,789,789
162,71,306,397,789,789
163,71,307,397,789,789
164,71,308,397,789,789
165,71,309,397,789,789
166,71,310,397,789,789
167,71,310,397,789,789
168,71,311,397,789,789
169,71,312,398,789,789
170,71,313,398,789,789
171,71,314,398,789,789
172,71,314,398,789,789
173,71,315,398,789,789
174,71,316,398,789,789
175,71,316,398,789,789
176,71,317,398,789,789
177,71,318,398,789,789
178,71,319,398,789,789
