time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,75,401,387,787,788
6,75,390,382,787,788
7,75,380,376,787,788
8,75,370,373,787,788
9,75,361,372,787,788
10,75,352,371,787,788
11,75,344,371,787,788
12,75,336,371,787,788
13,75,329,371,787,788
14,75,323,371,787,788
15,75,316,371,787,788
16,75,310,371,787,788
17,75,305,371,787,788
18,75,300,371,787,788
19,75,295,371,787,788
20,75,290,371,787,788
21,75,285,371,787,788
22,75,281,371,787,788
23,75,277,371,787,788
24,75,273,371,787,788
25,75,270,371,787,788
26,75,267,371,787,788
27,75,264,371,787,788
28,75,261,371,787,788
29,75,259,371,787,788
30,75,256,371,787,788
31,75,254,371,787,788
32,75,251,372,787,788
33,75,249,372,787,788
34,75,248,372,787,788
35,75,246,372,787,788
36,75,244,372,787,788
37,75,242,372,787,788
38,75,241,372,787,788
39,75,240,372,787,788
40,75,239,372,787,788
41,75,237,372,787,788
42,75,236,372,787,788
43,75,236,372,787,788
44,75,235,372,787,788
45,75,234,372,787,788
46,75,234,372,787,788
47,75,233,372,787,788
48,75,232,372,787,788
49,75,232,372,787,788
50,75,231,372,787,788
51,75,231,373,787,788
52,75,231,373,787,788
53,75,230,373,787,788
54,75,230,373,787,788
55,75,230,373,787,788
56,75,230,373,787,788
57,75,230,373,787,788
58,75,230,373,787,788
59,75,230,374,787,788
60,75,230,374,787,788
61,75,230,374,787,788
62,75,231,374,787,788
63,75,231,374,787,788
64,75,231,374,787,788
65,75,231,374,787,788
66,75,232,374,787,788
67,75,232,375,787,788
68,75,232,375,787,788
69,75,233,375,787,788
70,75,233,374,787,788
71,75,233,374,787,788
72,75,234,374,787,788
73,75,234,374,787,788
74,75,235,374,787,788
75,75,235,374,787,788
76,75,236,374,787,788
77,75,236,374,787,788
78,75,237,375,787,788
79,75,238,375,787,788
80,75,238,375,787,788
81,75,239,375,787,788
82,75,240,375,787,788
83,75,240,375,787,788
84,75,241,375,787,788
85,75,242,376,787,788
86,75,242,376,787,788
87,75,243,376,787,788
88,75,244,376,787,788
89,75,245,376,787,788
90,75,245,376,787,788
91,75,246,376,787,788
92,75,246,377,787,788
93,75,247,377,787,788
94,75,248,377,787,788
95,75,249,377,787,788
96,75,249,377,787,788
97,75,250,377,787,788
98,75,251,377,787,788
99,75,252,377,787,788
100,75,252,378,787,788
101,75,253,378,787,788
102,75,254,378,787,788
103,75,255,378,787,788
104,75,255,378,787,788
105,75,256,378,787,788
106,75,257,378,787,788
107,75,257,378,787,788
108,75,258,378,787,788
109,75,259,379,787,788
110,75,260,379,787,788
111,75,260,379,787,788
112,75,261,379,787,788
113,75,262,379,787,788
114,75,263,379,787,788
115,75,263,379,787,788
116,75,264,379,787,788
117,75,265,379,787,788
118,75,266,379,787,788
119,75,266,380,787,788
120,75,267,380,787,788
121,75,268,380,787,788
122,75,268,380,787,788
123,75,269,380,787,788
124,75,270,380,787,788
125,75,271,380,787,788
126,75,271,380,787,788
127,75,272,381,787,788
128,75,273,381,787,788
129,75,274,381,787,788
130,75,274,381,787,788
131,75,275,381,787,788
132,75,276,381,787,788
133,75,277,381,787,788
134,75,277,382,787,788
135,75,278,382,787,788
136,75,279,382,787,788
137,75,279,382,787,788
138,75,280,382,787,788
139,75,281,382,787,788
140,75,281,382,787,788
141,75,282,382,787,788
142,75,283,382,787,788
143,75,284,382,787,788
144,75,284,383,787,788
145,75,285,383,787,788
146,75,286,383,787,788
147,75,286,383,787,788
148,75,287,383,787,788
149,75,288,383,787,788
150,75,288,383,787,788
151,75,289,383,787,788
152,75,290,384,787,788
153,75,290,384,787,788
154,75,291,384,787,788
155,75,291,384,787,788
156,75,292,384,787,788
157,75,293,384,787,788
158,75,293,384,787,788
159,75,294,384,787,788
160,75,295,385,787,788
161,75,295,385,787,788
162,75,296,385,787,788
163,75,297,385,787,788
164,75,297,385,787,788
165,75,298,385,787,788
166,75,298,385,787,788
167,75,299,385,787,788
168,75,300,385,787,788
169,75,300,385,787,788
170,75,301,385,787,788
171,75,301,385,787,788
172,75,302,386,787,788
173,75,303,386,787,788
174,75,303,386,787,788
175,75,304,387,787,788
176,75,305,387,787,788
177,75,305,387,787,788
178,75,306,387,787,788
179,75,306,387,787,788
180,75,307,387,787,788
181,75,308,387,787,788
182,75,308,387,787,788
183,75,309,387,787,788
184,75,309,387,787,788
185,75,310,388,787,788
186,75,311,388,787,788
187,75,311,388,787,788
188,75,312,388,787,788
189,75,312,388,787,788
190,75,313,388,787,788
191,75,313,388,787,788
192,75,314,388,787,788
193,75,314,388,787,788
194,75,315,388,787,788
195,75,315,388,787,788
196,75,316,389,787,788
197,75,316,389,787,788
198,75,317,389,787,788
199,75,317,389,787,788
200,75,318,389,787,788
201,75,319,389,787,788
202,75,319,389,787,788
203,75,320,389,787,788
204,75,320,390,787,788
205,75,321,390,787,788
206,75,321,390,787,788
207,75,322,390,787,788
208,75,322,390,787,788
209,75,323,390,787,788
210,75,323,391,787,788
211,75,324,391,787,788
212,75,324,391,787,788
213,75,325,391,787,788
214,75,325,391,787,788
215,75,325,391,787,788
216,75,326,391,787,788
217,75,326,391,787,788
218,75,327,392,787,788
219,75,327,392,787,788
220,75,328,392,787,788
221,75,328,392,787,788
222,75,329,392,787,788
223,75,330,392,787,788
224,75,330,392,787,788
225,75,330,393,787,788
226,75,331,393,787,788
227,75,331,393,787,788
228,75,332,393,787,788
229,75,332,393,787,788
230,75,333,393,787,788
231,75,333,393,787,788
232,75,333,393,787,788
233,75,334,393,787,788
234,75,335,394,787,788
235,75,335,394,787,788
236,75,335,394,787,788
237,75,336,394,787,788
238,75,336,394,787,788
239,75,336,394,787,788
240,75,337,395,787,788
241,75,337,395,787,788
242,75,338,395,787,788
243,75,338,395,787,788
244,75,338,395,787,788
245,75,339,395,787,788
246,75,339,395,787,788
247,75,340,395,787,788
248,75,340,395,787,788
249,75,340,395,787,788
250,75,341,395,787,788
251,75,341,396,787,788
252,75,342,396,787,788
253,75,342,396,787,788
254,75,343,396,787,788
255,75,343,396,787,788
256,75,343,396,787,788
257,75,344,396,787,788
258,75,344,396,787,788
259,75,345,396,787,788
260,75,345,396,787,788
261,75,346,397,787,788
262,75,346,397,787,788
263,75,346,397,787,788
264,75,347,397,787,788
265,75,347,397,787,788
266,75,347,397,787,788
267,75,348,397,787,788
268,75,348,398,787,788
269,75,348,398,787,788
270,75,349,398,787,788
271,75,349,398,787,788
