time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,78,485,433,785,786
6,78,485,434,785,786
7,78,486,434,785,786
8,78,486,435,785,786
9,78,486,435,785,786
10,78,487,436,785,786
11,78,487,436,785,786
12,78,488,437,785,786
13,78,488,437,785,786
14,78,489,437,785,786
15,78,490,438,785,786
16,78,490,438,785,786
17,78,490,436,785,786
18,78,486,430,785,786
19,78,478,422,785,786
20,78,467,415,785,786
21,78,455,407,785,786
22,78,443,400,785,786
23,78,432,393,785,786
24,78,422,386,785,786
25,78,413,382,785,786
26,79,403,382,785,786
27,78,394,381,785,786
28,78,385,380,785,786
29,78,376,379,785,786
30,78,368,379,785,786
31,78,360,378,785,786
32,78,352,378,785,786
33,78,345,378,785,786
34,78,339,377,785,786
35,78,333,377,785,786
36,79,326,377,785,786
37,78,321,376,785,786
38,78,315,376,785,786
39,79,310,376,785,786
40,78,305,376,785,786
41,78,300,376,785,786
42,78,296,376,785,786
43,79,291,376,785,786
44,78,288,376,785,786
45,78,284,376,785,786
46,79,281,376,785,786
47,78,277,376,785,786
48,78,274,376,785,786
49,78,271,376,785,786
50,78,268,376,785,786
51,78,265,376,785,786
52,78,263,376,785,786
53,79,260,376,785,786
54,78,258,376,785,786
55,78,256,376,785,786
56,78,255,376,785,786
57,79,253,375,785,786
58,78,251,375,785,786
59,79,250,375,785,786
60,78,248,375,785,786
61,78,247,375,785,786
62,78,246,375,785,786
63,78,244,375,785,786
64,78,243,375,785,786
65,79,242,375,785,786
66,78,242,375,785,786
67,79,241,375,785,786
68,78,240,376,785,786
69,79,239,375,785,786
70,79,239,375,785,786
71,79,238,375,785,786
72,79,238,375,785,786
73,79,237,375,785,786
74,79,237,375,785,786
75,78,237,376,785,786
76,79,236,376,785,786
77,78,236,376,785,786
78,78,236,376,785,786
79,79,236,376,785,786
80,78,236,376,785,786
81,79,236,376,785,786
82,78,235,376,785,786
83,79,236,376,785,786
84,79,236,376,785,786
85,78,236,376,785,786
86,79,236,376,785,786
87,78,236,376,785,786
88,78,236,376,785,786
89,78,236,377,785,786
90,79,237,377,785,786
91,78,237,377,785,786
92,78,237,377,785,786
93,79,238,377,785,786
94,79,238,377,785,786
95,79,239,377,785,786
96,79,239,377,785,786
97,79,240,377,785,786
98,79,240,377,785,786
99,79,241,377,785,786
100,79,241,378,785,786
101,79,242,378,785,786
102,79,242,378,785,786
103,79,243,378,785,786
104,78,243,378,785,786
105,79,244,378,785,786
106,79,245,379,785,786
107,78,245,379,785,786
108,79,246,379,785,786
109,79,246,379,785,786
110,79,247,379,785,786
111,79,248,379,785,786
112,79,248,379,785,786
113,79,249,379,785,786
114,78,250,379,785,786
115,79,250,379,785,786
116,79,251,379,785,786
117,79,252,380,785,786
118,79,253,380,785,786
119,79,253,380,785,786
120,79,254,380,785,786
121,79,255,380,785,786
122,79,256,380,785,786
123,79,256,380,785,786
124,78,257,380,785,786
125,79,258,381,785,786
126,79,259,381,785,786
127,79,259,381,785,786
128,79,260,381,785,786
129,79,261,381,785,786
130,79,262,381,785,786
131,79,262,381,785,786
132,79,263,381,785,786
133,79,264,381,785,786
134,79,265,381,785,786
135,79,265,381,785,786
136,79,266,381,785,786
137,79,267,382,785,786
138,79,268,382,785,786
139,79,269,382,785,786
140,79,270,382,785,786
141,79,270,383,785,786
142,79,271,383,785,786
143,79,272,383,785,786
144,79,273,383,785,786
145,79,273,383,785,786
146,79,274,383,785,786
147,79,275,383,785,786
148,79,276,383,785,786
149,79,277,383,785,786
150,79,277,383,785,786
151,79,278,383,785,786
152,79,279,383,785,786
153,79,280,383,785,786
154,79,281,383,785,786
