time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,77,350,381,784,786
6,77,343,378,784,786
7,77,337,377,784,786
8,77,331,376,784,786
9,77,326,375,784,786
10,77,321,375,784,786
11,77,317,374,784,786
12,77,313,374,784,786
13,77,310,374,784,786
14,77,307,374,784,786
15,77,304,374,784,786
16,77,301,374,784,786
17,77,297,373,784,786
18,77,295,373,784,786
19,77,292,373,784,786
20,77,290,373,784,786
21,77,288,373,784,786
22,77,286,373,784,786
23,77,285,373,784,786
24,77,283,372,784,786
25,77,281,373,784,786
26,77,280,372,784,786
27,77,278,372,784,786
28,77,277,373,784,786
29,77,276,373,784,786
30,77,275,373,784,786
31,77,274,373,784,786
32,77,273,373,784,786
33,77,272,373,784,786
34,77,272,373,784,786
35,77,271,373,784,786
36,77,271,373,784,786
37,77,270,373,784,786
38,77,270,373,784,786
39,77,269,373,784,786
40,77,269,373,784,786
41,77,269,373,784,786
42,77,269,373,784,786
43,77,269,373,784,786
44,77,269,373,784,786
45,77,269,373,784,786
46,77,269,373,784,786
47,77,268,373,784,786
48,77,268,373,784,786
49,77,268,373,784,786
50,77,269,373,784,786
51,77,269,373,784,786
52,77,269,373,784,786
53,77,270,373,784,786
54,77,270,373,784,786
55,77,270,373,784,786
56,77,270,374,784,786
57,78,270,374,784,786
58,77,271,374,784,786
59,77,271,374,784,786
60,77,271,374,784,786
61,77,272,375,784,786
62,77,272,375,784,786
63,77,272,375,784,786
64,77,273,375,784,786
65,77,273,375,784,786
66,77,274,375,784,786
67,77,274,375,784,786
68,77,274,375,784,786
69,77,275,375,784,786
70,77,275,376,784,786
71,77,275,376,784,786
72,77,276,376,784,786
73,77,276,376,784,786
74,77,277,376,784,786
75,77,277,376,784,786
76,77,278,377,784,786
77,77,278,377,784,786
78,77,278,377,784,786
79,77,279,377,784,786
80,77,279,377,784,786
81,77,280,377,784,786
82,77,280,377,784,786
83,77,281,378,784,786
84,77,281,378,784,786
85,77,282,378,784,786
86,77,282,378,784,786
87,77,283,379,784,786
88,77,283,379,784,786
89,77,284,379,784,786
90,77,284,379,784,786
91,77,285,379,784,786
92,77,285,379,784,786
93,77,286,379,784,786
94,77,286,379,784,786
95,77,286,380,784,786
96,77,287,380,784,786
97,77,287,380,784,786
98,78,288,380,784,786
99,77,288,380,784,786
100,77,289,380,784,786
101,77,289,380,784,786
102,77,290,380,784,786
103,77,290,380,784,786
104,77,291,380,784,786
105,77,291,381,784,786
106,77,292,381,784,786
107,77,292,381,784,786
108,77,292,382,784,786
109,77,293,382,784,786
110,77,293,382,784,786
111,77,294,382,784,786
112,77,294,383,784,786
113,78,294,383,784,786
114,77,295,383,784,786
115,78,295,383,784,786
116,77,296,384,784,786
117,78,296,384,784,786
118,77,297,384,784,786
119,77,297,384,784,786
120,77,298,385,784,786
121,77,298,385,784,786
122,77,298,385,784,786
123,77,299,385,784,786
124,77,299,385,784,786
125,78,299,385,784,786
126,77,300,385,784,786
127,77,300,385,784,786
128,77,301,385,784,786
129,77,301,385,784,786
130,78,301,386,784,786
131,77,302,386,784,786
132,77,302,386,784,786
133,78,302,386,784,786
134,78,303,387,784,786
135,77,303,387,784,786
136,78,303,387,784,786
137,77,304,387,784,786
138,78,304,388,784,786
139,78,305,388,784,786
140,77,305,388,784,786
141,77,305,388,784,786
142,78,306,388,784,786
143,77,306,388,784,786
144,77,306,388,784,786
145,77,307,388,784,786
146,77,307,389,784,786
147,78,307,389,784,786
148,78,308,389,784,786
149,77,308,389,784,786
150,77,308,390,784,786
151,77,309,390,784,786
152,78,309,390,784,786
153,78,310,390,784,786
154,78,310,390,784,786
155,77,310,390,784,786
156,77,310,391,784,786
157,78,311,391,784,786
158,77,311,391,784,786
159,78,311,391,784,786
160,77,312,392,784,786
161,77,312,392,784,786
162,78,312,392,784,786
163,78,313,392,784,786
164,78,313,392,784,786
165,78,313,392,784,786
166,77,314,392,784,786
167,78,314,393,784,786
168,78,315,393,784,786
169,78,315,393,784,786
170,78,315,393,784,786
171,78,315,393,784,786
172,78,316,393,784,786
173,78,316,393,784,786
174,77,316,393,784,786
175,78,316,393,784,786
176,78,317,394,784,786
177,77,317,394,784,786
178,78,317,394,784,786
179,78,318,394,784,786
180,78,318,394,784,786
181,78,319,394,784,786
182,78,319,394,784,786
183,77,319,394,784,786
184,77,319,394,784,786
185,78,319,394,784,786
186,78,320,394,784,786
187,77,320,394,784,786
188,78,320,394,784,786
189,78,321,394,784,786
190,78,321,394,784,786
191,78,321,394,784,786
192,78,321,395,784,786
193,78,322,395,784,786
194,78,322,395,784,786
195,77,322,395,784,786
196,78,322,395,784,786
197,78,323,395,784,786
198,78,323,395,784,786
199,78,323,395,784,786
200,78,323,396,784,786
201,78,324,396,784,786
202,78,324,396,784,786
203,77,324,396,784,786
204,78,324,396,784,786
205,78,325,396,784,786
206,78,325,396,784,786
207,78,325,397,784,786
208,78,325,397,784,786
209,78,325,397,784,786
210,78,326,397,784,786
211,78,326,397,784,786
212,78,326,398,784,786
213,78,327,398,784,786
214,78,327,398,784,786
215,78,327,398,784,786
216,78,327,398,784,786
217,77,327,398,784,786
218,78,328,398,784,786
219,78,328,398,784,786
220,78,328,398,784,786
221,78,328,399,784,786
222,78,329,399,784,786
223,78,329,399,784,786
224,78,329,399,784,786
225,78,329,399,784,786
226,78,329,399,784,786
227,78,329,399,784,786
228,77,330,399,784,786
229,78,330,399,784,786
230,78,330,399,784,786
231,78,331,399,784,786
232,78,331,400,784,786
233,78,331,400,784,786
234,78,331,400,784,786
235,78,332,400,784,786
236,78,332,400,784,786
237,78,332,400,784,786
239,78,332,400,784,786
240,78,333,400,784,786
241,78,333,400,784,786
242,78,333,400,784,786
243,78,333,400,784,786
244,78,333,400,784,786
245,78,333,401,784,786
246,78,334,401,784,786
247,78,334,401,784,786
248,78,334,401,784,786
249,78,335,401,784,786
250,78,335,401,784,786
251,78,335,401,784,786
252,78,335,402,784,786
253,78,336,402,784,786
254,78,336,402,784,786
255,77,336,402,784,786
256,78,336,402,784,786
257,78,336,402,784,786
258,78,337,402,784,786
259,78,337,402,784,786
260,78,337,402,784,786
261,78,337,402,784,786
262,78,338,402,784,786
263,78,338,403,784,786
264,78,338,403,784,786
265,78,338,403,784,786
266,78,338,403,784,786
267,78,339,403,784,786
268,78,339,403,784,786
269,78,339,403,784,786
270,78,339,404,784,786
271,78,339,404,784,786
272,78,340,404,784,786
273,78,340,404,784,786
274,78,340,404,784,786
275,78,340,405,784,786
276,78,340,405,784,786
277,78,340,405,784,786
278,78,341,405,784,786
279,78,341,405,784,786
