datetime,ms,seconds,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
2015-11-15 22:00:38,038,5,65,355,373,792,792
2015-11-15 22:00:39,040,6,65,346,370,792,792
2015-11-15 22:00:40,045,7,65,338,366,792,792
2015-11-15 22:00:41,050,8,65,331,364,792,792
2015-11-15 22:00:42,054,9,66,324,361,792,792
2015-11-15 22:00:43,056,10,65,317,359,792,792
2015-11-15 22:00:44,058,11,65,311,356,792,792
2015-11-15 22:00:45,061,12,65,306,354,792,792
2015-11-15 22:00:46,065,13,65,301,352,792,792
2015-11-15 22:00:47,070,14,65,296,350,792,792
2015-11-15 22:00:48,070,15,65,291,348,792,792
2015-11-15 22:00:49,074,16,65,287,347,792,792
2015-11-15 22:00:50,076,17,66,284,345,792,792
2015-11-15 22:00:51,081,18,65,280,343,792,792
2015-11-15 22:00:52,085,19,65,277,342,792,792
2015-11-15 22:00:53,087,20,65,274,340,792,792
2015-11-15 22:00:54,090,21,65,272,339,792,792
2015-11-15 22:00:55,092,22,65,269,337,792,792
2015-11-15 22:00:56,094,23,65,267,336,792,792
2015-11-15 22:00:57,099,24,65,264,335,792,792
2015-11-15 22:00:58,101,25,65,262,334,792,792
2015-11-15 22:00:59,102,26,65,259,333,792,792
2015-11-15 22:01:00,107,27,65,257,332,792,792
2015-11-15 22:01:01,112,28,65,256,331,792,792
2015-11-15 22:01:02,116,29,65,254,330,792,792
2015-11-15 22:01:03,120,30,65,252,329,792,792
2015-11-15 22:01:04,124,31,65,251,329,792,792
2015-11-15 22:01:05,130,32,65,250,328,792,792
2015-11-15 22:01:06,132,33,65,248,327,792,792
2015-11-15 22:01:07,137,34,65,247,327,792,792
2015-11-15 22:01:08,141,35,66,246,326,792,792
2015-11-15 22:01:09,143,36,65,245,326,792,792
2015-11-15 22:01:10,147,37,65,244,325,792,792
2015-11-15 22:01:11,148,38,65,243,325,791,792
2015-11-15 22:01:12,153,39,65,242,324,792,792
2015-11-15 22:01:13,159,40,65,242,324,792,792
2015-11-15 22:01:14,164,41,65,241,323,792,792
2015-11-15 22:01:15,165,42,65,241,323,792,792
2015-11-15 22:01:16,169,43,65,240,323,792,792
2015-11-15 22:01:17,173,44,65,240,322,792,792
2015-11-15 22:01:18,175,45,65,239,322,792,792
2015-11-15 22:01:19,180,46,65,239,322,792,792
2015-11-15 22:01:20,186,47,65,238,322,792,792
2015-11-15 22:01:21,190,48,65,238,321,792,792
2015-11-15 22:01:22,192,49,65,238,321,792,792
2015-11-15 22:01:23,197,50,65,238,321,792,792
2015-11-15 22:01:24,198,51,65,237,321,792,792
2015-11-15 22:01:25,201,52,65,237,320,792,792
2015-11-15 22:01:26,206,53,65,237,320,792,792
2015-11-15 22:01:27,208,54,65,237,320,792,792
2015-11-15 22:01:28,209,55,65,237,320,792,792
2015-11-15 22:01:29,216,56,66,237,320,792,792
