datetime,ms,seconds,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
2015-11-18 06:05:26,398,5,61,325,402,794,794
2015-11-18 06:05:27,403,6,61,322,396,794,795
2015-11-18 06:05:28,403,7,61,320,392,794,794
2015-11-18 06:05:29,407,8,61,318,387,794,795
2015-11-18 06:05:30,413,9,61,317,384,794,795
2015-11-18 06:05:31,416,10,61,315,382,794,794
2015-11-18 06:05:32,419,11,61,314,379,794,794
2015-11-18 06:05:33,422,12,61,313,377,794,794
2015-11-18 06:05:34,425,13,61,312,376,794,794
2015-11-18 06:05:35,430,14,61,311,374,794,794
2015-11-18 06:05:36,432,15,61,310,372,794,795
2015-11-18 06:05:37,435,16,61,309,371,794,794
2015-11-18 06:05:38,436,17,61,308,369,794,794
2015-11-18 06:05:39,439,18,61,307,368,794,794
2015-11-18 06:05:40,440,19,61,307,366,794,794
2015-11-18 06:05:41,446,20,61,306,365,794,794
2015-11-18 06:05:42,450,21,61,305,364,794,794
2015-11-18 06:05:43,452,22,61,305,363,794,794
2015-11-18 06:05:44,455,23,61,304,361,794,794
2015-11-18 06:05:45,459,24,61,304,360,794,794
2015-11-18 06:05:46,462,25,61,303,359,794,794
2015-11-18 06:05:47,467,26,61,303,358,794,794
2015-11-18 06:05:48,469,27,61,302,358,794,794
2015-11-18 06:05:49,470,28,61,302,357,794,794
2015-11-18 06:05:50,471,29,61,301,356,794,794
2015-11-18 06:05:51,473,30,61,301,356,794,794
2015-11-18 06:05:52,476,31,61,301,355,794,794
2015-11-18 06:05:53,478,32,61,301,354,794,794
2015-11-18 06:05:54,480,33,61,300,354,794,794
2015-11-18 06:05:55,484,34,61,300,353,794,794
2015-11-18 06:05:56,490,35,61,300,353,794,794
2015-11-18 06:05:57,492,36,61,300,353,794,794
2015-11-18 06:05:58,498,37,61,299,352,794,794
2015-11-18 06:05:59,502,38,61,299,352,794,794
2015-11-18 06:06:00,505,39,61,299,352,794,794
2015-11-18 06:06:01,508,40,61,299,351,794,794
2015-11-18 06:06:02,512,41,61,299,351,794,794
2015-11-18 06:06:03,515,42,61,299,351,794,794
2015-11-18 06:06:04,518,43,61,299,350,794,794
2015-11-18 06:06:05,521,44,61,298,350,794,794
2015-11-18 06:06:06,524,45,61,298,350,794,794
2015-11-18 06:06:07,526,46,61,298,350,794,794
2015-11-18 06:06:08,531,47,61,298,349,794,794
2015-11-18 06:06:09,533,48,61,298,349,794,794
2015-11-18 06:06:10,534,49,61,298,349,794,794
2015-11-18 06:06:11,538,50,61,298,349,794,794
2015-11-18 06:06:12,542,51,61,298,348,794,794
