datetime,ms,seconds,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
2015-11-22 23:20:31,680,5,55,312,387,799,798
2015-11-22 23:20:32,684,6,55,312,382,799,798
2015-11-22 23:20:33,685,7,55,311,376,799,798
2015-11-22 23:20:34,688,8,55,311,371,799,798
2015-11-22 23:20:35,689,9,55,311,368,799,798
2015-11-22 23:20:36,695,10,55,311,366,799,798
2015-11-22 23:20:37,696,11,55,311,364,799,798
2015-11-22 23:20:38,698,12,55,310,362,799,798
2015-11-22 23:20:39,700,13,55,310,360,799,798
2015-11-22 23:20:40,704,14,55,310,358,799,798
2015-11-22 23:20:41,710,15,55,310,356,799,798
2015-11-22 23:20:42,713,16,55,310,354,799,798
2015-11-22 23:20:43,716,17,55,309,353,799,798
2015-11-22 23:20:44,720,18,55,309,351,799,798
2015-11-22 23:20:45,723,19,55,309,350,799,798
2015-11-22 23:20:46,727,20,55,308,348,799,798
2015-11-22 23:20:47,728,21,55,308,347,799,798
2015-11-22 23:20:48,732,22,55,308,346,799,798
2015-11-22 23:20:49,736,23,55,308,345,799,798
2015-11-22 23:20:50,740,24,55,307,343,799,798
2015-11-22 23:20:51,742,25,55,307,342,799,798
2015-11-22 23:20:52,742,26,55,307,341,799,798
2015-11-22 23:20:53,748,27,55,307,340,799,798
2015-11-22 23:20:54,749,28,55,307,339,799,798
2015-11-22 23:20:55,753,29,55,307,339,799,798
2015-11-22 23:20:56,759,30,55,306,338,799,798
2015-11-22 23:20:57,761,31,55,306,337,799,798
2015-11-22 23:20:58,762,32,55,306,336,799,798
2015-11-22 23:20:59,768,33,55,306,335,799,798
2015-11-22 23:21:00,772,34,55,306,335,799,798
2015-11-22 23:21:01,775,35,55,305,334,799,798
2015-11-22 23:21:02,776,36,55,305,334,799,798
2015-11-22 23:21:03,779,37,55,305,333,799,798
2015-11-22 23:21:04,784,38,55,305,332,799,798
2015-11-22 23:21:05,787,39,55,305,332,799,798
2015-11-22 23:21:06,789,40,55,304,331,799,798
2015-11-22 23:21:07,792,41,55,304,331,799,798
2015-11-22 23:21:08,795,42,55,304,330,799,798
2015-11-22 23:21:09,797,43,55,304,330,799,798
2015-11-22 23:21:10,803,44,55,304,330,799,798
2015-11-22 23:21:11,806,45,55,304,330,799,798
2015-11-22 23:21:12,811,46,55,303,329,799,798
2015-11-22 23:21:13,817,47,55,303,329,799,798
2015-11-22 23:21:14,822,48,55,303,329,799,798
2015-11-22 23:21:15,823,49,55,303,328,799,798
2015-11-22 23:21:16,829,50,55,303,328,799,798
2015-11-22 23:21:17,834,51,55,302,328,799,798
2015-11-22 23:21:18,837,52,55,302,327,799,798
2015-11-22 23:21:19,842,53,55,302,327,799,798
2015-11-22 23:21:20,845,54,55,302,327,799,798
2015-11-22 23:21:21,851,55,55,302,327,799,798
2015-11-22 23:21:22,854,56,55,302,326,799,798
2015-11-22 23:21:23,855,57,55,301,326,799,798
2015-11-22 23:21:24,858,58,55,301,326,799,798
2015-11-22 23:21:25,863,59,55,301,326,799,798
2015-11-22 23:21:26,864,60,55,301,326,799,798
2015-11-22 23:21:27,869,61,55,301,325,799,798
2015-11-22 23:21:28,870,62,55,300,325,799,798
2015-11-22 23:21:29,870,63,55,300,325,799,798
2015-11-22 23:21:30,876,64,55,300,325,799,798
2015-11-22 23:21:31,882,65,55,300,325,799,798
2015-11-22 23:21:32,884,66,55,300,326,799,798
2015-11-22 23:21:33,890,67,55,299,327,799,798
2015-11-22 23:21:34,893,68,55,299,328,799,798
2015-11-22 23:21:35,896,69,55,299,329,799,798
2015-11-22 23:21:36,902,70,55,299,330,799,798
2015-11-22 23:21:37,903,71,55,299,331,799,798
2015-11-22 23:21:38,908,72,55,299,332,799,798
2015-11-22 23:21:39,911,73,55,298,333,799,798
2015-11-22 23:21:40,917,74,55,298,334,799,798
2015-11-22 23:21:41,921,75,55,298,334,799,798
2015-11-22 23:21:42,925,76,55,298,335,799,798
2015-11-22 23:21:43,925,77,55,298,336,799,798
2015-11-22 23:21:44,931,78,55,298,336,799,798
2015-11-22 23:21:45,934,79,55,297,337,799,798
2015-11-22 23:21:46,940,80,55,297,338,799,798
2015-11-22 23:21:47,943,81,55,297,339,799,798
2015-11-22 23:21:48,948,82,55,297,339,799,798
2015-11-22 23:21:49,953,83,55,297,340,799,798
2015-11-22 23:21:50,957,84,55,296,341,799,798
2015-11-22 23:21:51,959,85,55,296,341,799,798
2015-11-22 23:21:52,963,86,55,296,342,799,798
2015-11-22 23:21:53,968,87,55,296,343,799,798
2015-11-22 23:21:54,969,88,55,296,343,799,798
2015-11-22 23:21:55,972,89,55,296,344,799,798
2015-11-22 23:21:56,975,90,55,296,345,799,798
2015-11-22 23:21:57,978,91,55,295,345,799,798
2015-11-22 23:21:58,983,92,55,295,346,799,798
2015-11-22 23:21:59,984,93,55,295,346,799,798
2015-11-22 23:22:00,988,94,55,295,347,799,798
2015-11-22 23:22:01,990,95,55,295,348,799,798
2015-11-22 23:22:02,993,96,55,294,348,799,798
2015-11-22 23:22:03,999,97,55,294,349,799,798
2015-11-22 23:22:05,001,98,55,294,349,799,798
2015-11-22 23:22:06,007,99,55,294,350,799,798
2015-11-22 23:22:07,013,100,55,294,350,799,798
2015-11-22 23:22:08,015,101,55,294,351,799,798
2015-11-22 23:22:09,021,102,55,293,351,799,798
2015-11-22 23:22:10,024,103,55,293,352,799,798
2015-11-22 23:22:11,025,104,55,293,352,799,798
2015-11-22 23:22:12,030,105,55,293,352,799,798
2015-11-22 23:22:13,031,106,55,293,353,799,798
2015-11-22 23:22:14,036,107,55,292,353,799,798
2015-11-22 23:22:15,040,108,55,292,353,799,798
2015-11-22 23:22:16,046,109,55,292,354,799,798
2015-11-22 23:22:17,048,110,55,292,354,799,798
2015-11-22 23:22:18,054,111,55,292,354,799,798
2015-11-22 23:22:19,059,112,55,291,355,799,798
2015-11-22 23:22:20,063,113,55,291,355,799,798
2015-11-22 23:22:21,065,114,55,291,356,799,798
2015-11-22 23:22:22,066,115,55,291,356,799,798
2015-11-22 23:22:23,067,116,55,291,357,799,798
2015-11-22 23:22:24,072,117,55,291,357,799,798
2015-11-22 23:22:25,075,118,55,290,357,799,798
2015-11-22 23:22:26,080,119,55,290,358,799,798
2015-11-22 23:22:27,082,120,55,290,358,799,798
2015-11-22 23:22:28,083,121,55,290,359,799,798
2015-11-22 23:22:29,087,122,55,290,359,799,798
2015-11-22 23:22:30,089,123,55,290,359,799,798
2015-11-22 23:22:31,091,124,55,289,360,799,798
2015-11-22 23:22:32,094,125,55,289,360,799,798
2015-11-22 23:22:33,100,126,55,289,360,799,798
2015-11-22 23:22:34,103,127,55,289,361,799,798
2015-11-22 23:22:35,107,128,55,289,361,799,798
2015-11-22 23:22:36,111,129,55,288,361,799,798
2015-11-22 23:22:37,113,130,55,288,361,799,798
2015-11-22 23:22:38,115,131,55,288,362,799,798
2015-11-22 23:22:39,118,132,55,288,362,799,798
2015-11-22 23:22:40,119,133,55,288,363,799,798
2015-11-22 23:22:41,125,134,55,287,363,799,798
2015-11-22 23:22:42,126,135,55,287,363,799,798
2015-11-22 23:22:43,127,136,55,287,364,799,798
2015-11-22 23:22:44,134,137,55,287,364,799,798
2015-11-22 23:22:45,139,138,55,287,364,799,798
2015-11-22 23:22:46,142,139,55,287,365,799,798
2015-11-22 23:22:47,145,140,55,287,365,799,798
2015-11-22 23:22:48,151,141,55,286,366,799,798
2015-11-22 23:22:49,153,142,55,286,366,799,798
2015-11-22 23:22:50,159,143,55,286,366,799,798
2015-11-22 23:22:51,165,144,55,286,367,799,798
2015-11-22 23:22:52,167,145,55,286,367,799,798
2015-11-22 23:22:53,168,146,55,286,367,799,798
2015-11-22 23:22:54,170,147,55,285,367,799,798
2015-11-22 23:22:55,174,148,55,285,368,799,798
2015-11-22 23:22:56,180,149,55,285,368,799,798
2015-11-22 23:22:57,183,150,55,285,368,799,798
2015-11-22 23:22:58,186,151,55,285,369,799,798
2015-11-22 23:22:59,191,152,55,285,369,799,798
2015-11-22 23:23:00,197,153,55,285,369,799,798
2015-11-22 23:23:01,199,154,55,284,370,799,798
2015-11-22 23:23:02,207,155,55,284,370,799,798
2015-11-22 23:23:03,211,156,55,284,370,799,798
2015-11-22 23:23:04,213,157,55,284,371,799,798
2015-11-22 23:23:05,216,158,55,284,371,799,798
2015-11-22 23:23:06,219,159,55,284,371,799,798
2015-11-22 23:23:07,219,160,55,284,372,799,798
2015-11-22 23:23:08,223,161,55,284,372,799,798
2015-11-22 23:23:09,224,162,55,283,372,799,798
2015-11-22 23:23:10,229,163,55,283,372,799,798
2015-11-22 23:23:11,230,164,55,283,373,799,798
2015-11-22 23:23:12,232,165,55,283,373,799,798
2015-11-22 23:23:13,237,166,55,283,373,799,798
2015-11-22 23:23:14,243,167,55,283,373,799,798
2015-11-22 23:23:15,247,168,55,283,374,799,798
2015-11-22 23:23:16,251,169,55,283,374,799,798
2015-11-22 23:23:17,256,170,55,283,374,799,798
2015-11-22 23:23:18,259,171,55,282,375,799,798
2015-11-22 23:23:19,264,172,55,282,375,799,798
2015-11-22 23:23:20,266,173,55,282,375,799,798
2015-11-22 23:23:21,271,174,55,282,375,799,798
2015-11-22 23:23:22,277,175,55,282,376,799,798
2015-11-22 23:23:23,281,176,55,282,376,799,798
2015-11-22 23:23:24,287,177,55,282,376,799,798
2015-11-22 23:23:25,291,178,55,282,376,799,798
2015-11-22 23:23:26,296,179,55,282,377,799,798
2015-11-22 23:23:27,301,180,55,281,377,799,798
2015-11-22 23:23:28,305,181,55,281,377,799,798
2015-11-22 23:23:29,310,182,55,281,377,799,798
2015-11-22 23:23:30,316,183,55,281,378,799,798
2015-11-22 23:23:31,320,184,55,281,378,799,798
2015-11-22 23:23:32,325,185,55,281,378,799,798
2015-11-22 23:23:33,331,186,55,281,379,799,798
2015-11-22 23:23:34,334,187,55,281,379,799,798
2015-11-22 23:23:35,338,188,55,281,379,799,798
2015-11-22 23:23:36,342,189,55,280,380,799,798
2015-11-22 23:23:37,347,190,55,280,380,799,798
2015-11-22 23:23:38,352,191,55,280,380,799,798
2015-11-22 23:23:39,357,192,55,280,380,799,798
2015-11-22 23:23:40,362,193,55,280,381,799,798
2015-11-22 23:23:41,366,194,55,280,381,799,798
2015-11-22 23:23:42,367,195,55,280,381,799,798
2015-11-22 23:23:43,371,196,55,280,382,799,798
2015-11-22 23:23:44,375,197,55,280,382,799,798
2015-11-22 23:23:45,381,198,55,279,382,799,798
2015-11-22 23:23:46,384,199,55,279,382,799,798
2015-11-22 23:23:47,387,200,55,279,383,799,798
2015-11-22 23:23:48,393,201,55,279,383,799,798
2015-11-22 23:23:49,400,202,55,279,383,799,798
2015-11-22 23:23:50,402,203,55,279,384,799,798
2015-11-22 23:23:51,407,204,55,279,384,799,798
2015-11-22 23:23:52,412,205,55,279,384,799,798
2015-11-22 23:23:53,415,206,55,279,384,799,798
2015-11-22 23:23:54,418,207,55,279,384,799,798
2015-11-22 23:23:55,421,208,55,279,385,799,798
2015-11-22 23:23:56,422,209,55,279,385,799,798
2015-11-22 23:23:57,425,210,55,279,385,799,798
2015-11-22 23:23:58,430,211,55,279,386,799,798
2015-11-22 23:23:59,434,212,55,278,386,799,798
2015-11-22 23:24:00,436,213,55,278,386,799,798
2015-11-22 23:24:01,440,214,55,278,386,799,798
2015-11-22 23:24:02,441,215,55,278,386,799,798
2015-11-22 23:24:03,446,216,55,278,387,799,798
2015-11-22 23:24:04,449,217,55,278,387,799,798
2015-11-22 23:24:05,451,218,55,278,387,799,798
2015-11-22 23:24:06,455,219,55,278,388,798,798
2015-11-22 23:24:07,460,220,55,278,388,799,798
2015-11-22 23:24:08,467,221,55,278,388,799,798
2015-11-22 23:24:09,473,222,55,278,388,799,798
2015-11-22 23:24:10,478,223,55,278,388,799,798
2015-11-22 23:24:11,480,224,55,278,389,799,798
2015-11-22 23:24:12,483,225,55,278,389,799,798
2015-11-22 23:24:13,489,226,55,278,389,799,798
2015-11-22 23:24:14,492,227,55,278,390,799,798
2015-11-22 23:24:15,498,228,55,278,390,799,798
2015-11-22 23:24:16,502,229,55,278,390,799,798
2015-11-22 23:24:17,505,230,55,278,391,799,798
2015-11-22 23:24:18,509,231,55,278,391,799,798
2015-11-22 23:24:19,511,232,55,277,391,799,798
2015-11-22 23:24:20,518,233,55,277,392,799,798
2015-11-22 23:24:21,519,234,55,277,392,799,798
2015-11-22 23:24:22,521,235,55,277,392,799,798
2015-11-22 23:24:23,524,236,55,277,392,799,798
2015-11-22 23:24:24,525,237,55,277,393,799,798
2015-11-22 23:24:25,530,238,55,277,393,799,798
2015-11-22 23:24:26,535,239,55,277,393,799,798
2015-11-22 23:24:27,541,240,55,277,393,799,798
2015-11-22 23:24:28,542,241,55,277,393,799,798
2015-11-22 23:24:29,546,242,55,277,394,799,798
2015-11-22 23:24:30,548,243,55,277,394,799,798
2015-11-22 23:24:31,551,244,55,277,394,799,798
2015-11-22 23:24:32,556,245,55,277,395,799,798
2015-11-22 23:24:33,562,246,55,277,395,798,798
2015-11-22 23:24:34,565,247,55,277,395,799,798
2015-11-22 23:24:35,571,248,55,277,395,799,798
2015-11-22 23:24:36,574,249,55,277,395,799,798
2015-11-22 23:24:37,579,250,55,276,395,798,798
2015-11-22 23:24:38,582,251,55,277,396,799,798
2015-11-22 23:24:39,583,252,55,276,396,799,798
2015-11-22 23:24:40,587,253,55,276,396,799,798
2015-11-22 23:24:41,589,254,55,276,396,799,798
2015-11-22 23:24:42,592,255,55,276,397,799,798
2015-11-22 23:24:43,597,256,55,276,397,799,798
2015-11-22 23:24:44,602,257,55,276,397,799,798
2015-11-22 23:24:45,608,258,55,276,397,799,798
2015-11-22 23:24:46,611,259,55,276,397,799,798
2015-11-22 23:24:47,615,260,55,276,398,799,798
2015-11-22 23:24:48,620,261,55,276,398,799,798
2015-11-22 23:24:49,623,262,55,276,398,799,798
2015-11-22 23:24:50,629,263,55,276,398,799,798
2015-11-22 23:24:51,631,264,55,276,398,799,798
2015-11-22 23:24:52,633,265,55,276,399,799,798
2015-11-22 23:24:53,634,266,55,276,399,799,798
2015-11-22 23:24:54,638,268,55,276,399,799,798
2015-11-22 23:24:55,640,269,55,276,400,799,798
2015-11-22 23:24:56,642,270,55,276,400,799,798
2015-11-22 23:24:57,645,271,55,276,400,799,798
2015-11-22 23:24:58,646,272,55,276,400,799,798
2015-11-22 23:24:59,648,273,55,276,400,799,798
2015-11-22 23:25:00,652,274,55,276,400,799,798
2015-11-22 23:25:01,657,275,55,276,400,799,798
2015-11-22 23:25:02,661,276,55,276,400,799,798
2015-11-22 23:25:03,663,277,55,276,401,799,798
2015-11-22 23:25:04,669,278,55,276,401,799,798
2015-11-22 23:25:05,672,279,55,276,401,799,798
2015-11-22 23:25:06,678,280,55,276,401,799,798
2015-11-22 23:25:07,679,281,55,276,402,799,798
2015-11-22 23:25:08,682,282,55,276,402,799,798
2015-11-22 23:25:09,684,283,55,276,402,799,798
