time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,98,366,396,861,863
6,98,365,395,861,863
7,98,364,394,861,862
8,98,363,393,861,863
9,98,362,392,861,862
10,98,361,391,861,863
11,98,360,391,861,862
12,98,359,390,861,862
13,98,359,389,861,863
14,98,358,389,861,863
15,98,357,389,861,862
16,98,356,389,861,862
17,98,356,388,861,863
18,98,355,388,861,862
19,98,355,388,861,863
20,98,354,388,861,862
21,98,354,388,861,863
22,98,354,388,861,863
23,98,353,388,861,863
24,98,353,388,861,862
25,98,352,388,861,862
26,98,352,388,861,862
27,98,352,388,861,862
28,98,352,388,861,862
29,98,351,388,861,862
30,98,351,388,861,862
31,98,351,388,861,862
32,98,351,389,861,863
33,98,351,389,861,862
34,98,350,389,861,862
35,98,350,388,861,862
36,98,350,388,861,862
37,98,350,388,861,862
38,98,350,389,861,862
39,98,349,389,861,862
40,98,349,389,861,862
41,98,349,389,861,862
42,98,349,389,861,862
43,98,349,389,861,862
44,98,349,390,861,862
45,98,349,390,861,862
46,98,349,390,861,862
47,98,348,390,861,862
48,98,348,390,861,862
49,98,348,390,861,862
50,98,348,390,861,862
51,98,348,390,861,862
52,98,348,391,861,862
53,98,348,391,860,862
54,98,348,391,860,862
55,98,348,391,860,862
56,98,348,392,861,862
57,98,347,392,860,862
58,98,347,392,861,862
59,98,347,392,861,862
60,98,347,392,861,862
61,98,347,392,861,862
62,98,347,392,861,862
63,98,347,392,861,862
64,98,347,392,861,862
65,98,346,393,860,862
66,98,346,393,861,862
67,98,346,392,861,862
68,98,346,393,861,862
69,98,346,393,861,862
70,98,346,393,860,862
71,98,346,393,861,862
72,98,346,393,860,862
73,98,346,393,861,862
74,98,346,393,861,862
75,98,346,393,861,862
76,98,346,393,861,862
77,98,345,394,861,862
78,98,345,394,861,862
79,98,345,394,860,862
80,98,345,394,860,862
81,98,345,394,861,862
82,98,345,394,861,862
83,98,345,395,860,862
84,98,345,395,860,862
85,98,345,395,861,862
86,98,345,395,860,862
87,98,344,395,860,862
88,98,344,395,860,862
89,98,344,395,861,862
90,98,344,396,861,862
91,98,344,395,860,862
92,98,344,396,861,862
93,98,344,395,861,862
94,98,344,396,861,862
95,98,344,396,861,862
96,98,344,396,861,862
97,98,344,396,861,862
98,98,343,396,861,862
99,98,343,396,861,862
100,98,343,397,861,862
101,98,343,397,861,862
102,98,343,397,861,862
103,98,343,397,860,862
104,98,343,397,860,862
105,98,343,397,861,862
106,98,343,398,861,862
107,98,343,397,860,862
108,98,343,398,860,862
109,98,342,398,861,862
110,98,342,398,860,862
111,98,342,398,861,862
112,98,342,398,860,862
113,98,342,398,860,862
114,98,342,398,860,862
115,98,342,398,860,862
116,98,342,398,861,862
117,98,342,398,861,862
118,98,342,398,860,862
119,98,342,398,860,862
120,98,342,399,860,862
121,98,342,399,860,862
122,98,341,399,860,862
123,98,341,399,860,862
124,98,341,399,860,862
125,98,341,399,860,862
126,98,341,399,861,862
127,98,341,399,860,862
128,98,341,399,860,862
129,98,341,400,860,862
130,98,341,400,861,862
131,98,341,400,861,862
132,98,341,400,860,862
133,98,341,400,860,862
134,98,341,399,861,862
135,98,341,399,860,862
136,98,340,400,861,862
137,98,340,400,860,862
138,98,340,400,860,862
139,98,340,400,861,862
140,98,340,400,860,862
141,98,340,400,861,862
142,98,340,400,861,862
143,98,340,400,860,862
144,98,340,400,860,862
145,98,340,400,860,862
146,98,340,400,860,862
147,98,340,401,860,862
148,98,340,401,860,862
149,98,340,401,860,862
150,98,340,401,860,862
151,98,340,401,860,862
152,98,340,401,860,862
153,98,339,401,860,862
154,98,339,401,860,862
155,98,339,401,861,862
156,98,339,402,860,862
157,98,339,402,860,862
158,98,339,402,860,862
159,98,339,402,860,862
160,98,339,402,860,862
161,98,339,402,861,862
162,98,339,402,860,862
163,98,339,402,860,862
164,98,339,402,860,862
165,98,339,402,860,862
166,98,339,402,860,862
167,98,339,402,860,862
168,98,339,402,860,862
169,98,339,403,860,862
170,98,339,402,860,862
171,98,339,403,860,862
172,98,339,403,861,862
173,98,339,403,860,862
174,98,339,403,861,862
175,98,339,403,860,862
176,98,339,404,861,862
177,98,339,404,861,862
178,98,338,404,860,862
179,98,339,404,860,862
180,98,338,404,860,862
181,98,339,404,860,862
182,98,339,404,860,862
183,98,338,404,860,862
184,98,338,404,861,862
185,98,338,404,860,862
186,98,338,405,860,862
187,98,338,405,860,862
188,98,338,405,860,862
189,98,338,405,860,862
190,98,338,405,860,862
191,98,338,405,860,862
192,98,338,405,860,862
193,98,338,406,860,862
194,98,338,406,860,862
195,98,338,406,860,862
196,98,338,406,860,862
197,98,338,406,860,862
198,98,338,406,860,862
199,98,338,406,860,862
200,98,338,406,860,862
201,98,338,406,860,862
202,98,338,407,860,862
203,98,338,407,860,862
204,98,338,407,860,862
205,98,338,407,860,862
206,98,338,407,860,862
207,98,338,407,860,862
208,98,338,407,860,862
209,98,338,407,860,862
210,98,338,407,860,862
211,98,338,408,860,862
212,98,338,408,860,862
213,98,338,408,861,862
214,98,338,407,860,862
215,98,338,407,860,862
216,98,338,407,860,862
217,98,338,408,860,862
218,98,338,408,860,862
219,98,338,408,861,862
220,98,338,408,860,862
221,98,338,408,860,862
222,98,338,408,860,862
223,98,338,408,860,862
224,98,338,408,860,862
225,98,338,408,860,862
226,98,338,408,860,862
227,98,338,408,860,862
228,98,338,408,860,862
229,98,338,408,860,862
230,98,338,408,860,862
231,98,338,408,860,862
232,98,338,409,860,862
233,98,338,408,860,862
234,98,338,409,860,862
235,98,338,409,860,862
236,98,338,409,860,862
237,98,338,409,860,862
238,98,338,409,861,862
239,98,338,408,860,862
240,98,338,408,860,862
241,98,338,408,860,862
242,98,338,408,860,862
243,98,338,408,860,862
244,98,338,408,860,862
245,98,338,408,860,862
246,98,338,408,860,862
247,98,338,409,860,862
248,98,338,409,860,862
249,98,338,409,860,862
250,98,338,409,861,862
251,98,338,409,860,862
252,98,338,410,860,862
253,98,338,410,860,862
255,98,338,410,861,862
256,98,338,410,861,862
257,98,338,410,860,862
258,98,338,410,860,862
259,98,338,410,860,862
260,98,338,410,861,862
261,98,338,410,860,862
262,98,338,411,860,862
263,98,338,411,860,862
264,98,338,411,860,862
265,98,338,411,861,862
266,98,338,411,861,862
267,98,338,410,860,862
268,98,338,411,860,862
269,98,338,411,860,862
270,98,339,411,860,862
271,98,338,411,860,862
272,98,339,411,861,862
273,98,339,412,860,862
274,98,339,412,860,862
275,98,339,412,861,862
276,98,339,412,861,862
277,98,339,412,860,862
278,98,339,413,860,862
279,98,339,413,861,862
280,98,339,413,861,862
281,98,339,413,860,862
282,98,339,413,860,862
283,98,339,413,860,862
284,98,339,413,861,862
