time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,99,346,398,860,862
6,100,344,391,860,862
7,100,342,385,860,862
8,100,341,380,860,862
9,99,340,380,860,862
10,100,338,381,860,862
11,100,337,382,860,862
12,100,336,383,860,862
13,100,335,383,860,862
14,100,334,384,860,862
15,100,333,385,860,862
16,100,332,385,860,862
17,99,331,386,860,862
18,100,331,386,860,862
19,100,330,387,860,862
20,100,330,387,860,862
21,100,329,388,860,862
22,100,329,388,860,862
23,100,328,388,860,862
24,99,328,388,860,862
25,100,327,389,860,862
26,100,327,389,860,862
27,100,327,389,860,862
28,100,326,389,860,862
29,100,326,390,860,862
30,100,326,390,860,862
31,100,326,390,860,862
32,100,325,390,860,862
33,100,325,390,860,862
34,100,325,390,860,862
35,100,325,390,860,862
36,100,325,390,860,862
37,100,324,390,860,862
38,100,324,390,860,862
39,100,324,390,860,862
40,100,324,390,860,862
41,100,324,390,860,862
42,100,324,390,860,862
43,100,323,390,860,862
44,100,323,390,860,862
45,100,323,390,860,862
46,100,323,390,860,862
47,100,323,390,860,862
48,100,323,390,860,862
49,100,323,390,860,862
50,100,323,390,860,862
51,100,323,390,860,862
52,100,323,390,860,862
53,100,322,390,860,862
54,100,322,390,860,862
55,100,322,390,860,862
56,100,322,391,860,862
57,100,322,391,860,862
58,100,322,391,860,862
59,100,322,391,860,862
60,100,322,391,860,862
61,100,322,391,860,862
62,100,322,391,860,862
63,100,322,391,860,862
64,100,322,391,860,862
65,100,321,392,860,862
66,100,322,392,860,862
67,100,321,392,860,862
68,100,321,392,860,862
69,100,321,392,860,862
70,99,321,392,860,862
71,100,321,392,860,862
72,100,321,392,860,862
73,100,321,392,860,862
74,100,321,392,860,862
75,100,321,393,860,862
76,100,321,392,860,862
77,100,321,392,860,862
78,100,321,392,860,862
79,100,321,392,860,862
80,100,321,392,860,862
81,100,321,392,860,862
82,100,321,393,860,862
83,100,321,393,860,862
84,100,321,393,860,862
85,100,320,393,860,862
86,100,320,393,860,862
87,100,320,393,860,862
88,100,321,393,860,862
89,100,320,393,860,862
90,100,320,393,860,862
91,100,320,393,860,862
92,100,320,393,860,862
93,100,320,393,860,862
94,100,320,393,860,862
95,100,320,393,860,862
96,100,320,393,860,862
97,100,320,393,860,862
98,100,320,393,860,862
99,100,320,393,860,862
100,100,320,393,860,862
101,100,320,393,860,862
102,100,319,393,860,862
103,100,320,393,860,862
104,100,319,393,860,862
105,100,319,393,860,862
106,100,319,393,860,862
107,100,319,393,860,862
108,100,319,393,860,862
109,100,319,394,860,862
110,100,319,394,860,862
111,100,319,394,860,862
112,100,319,394,860,862
113,100,319,394,860,862
114,100,319,394,860,862
115,100,319,394,860,862
116,100,319,395,860,862
117,100,319,394,860,862
118,100,319,395,860,862
119,100,319,394,860,862
120,100,319,394,860,862
121,100,319,394,860,862
122,100,319,394,860,862
123,100,319,395,860,862
124,100,319,395,860,862
125,100,319,395,860,862
126,100,319,395,860,862
127,100,319,395,860,862
128,100,319,395,860,862
129,100,319,395,860,862
130,100,319,395,860,862
131,100,319,395,860,862
132,100,318,395,860,862
133,100,318,395,860,862
134,100,318,395,860,862
135,100,318,395,860,862
136,100,318,395,860,862
137,100,318,395,860,862
138,100,318,395,860,862
139,100,318,395,860,862
140,100,318,395,860,862
141,100,318,395,860,862
142,100,318,395,860,862
143,100,318,395,860,862
144,100,318,395,860,862
145,100,318,395,860,862
146,100,318,395,860,862
147,100,318,395,860,862
148,100,318,395,860,862
149,100,318,395,860,862
150,100,318,395,860,862
151,100,318,395,860,862
152,100,318,396,860,862
153,100,318,395,860,862
154,100,318,396,860,862
155,100,318,396,860,862
156,100,318,396,860,862
157,100,318,396,860,862
158,100,318,396,860,862
159,100,318,396,860,862
160,100,318,396,860,862
161,100,318,396,860,862
162,100,318,396,860,862
163,100,318,396,860,862
164,100,318,396,860,862
165,100,318,396,860,862
166,100,318,396,860,862
167,100,318,397,860,862
168,100,318,397,860,862
169,100,318,397,860,862
170,100,318,397,860,862
171,100,318,397,860,862
172,100,318,397,860,862
173,100,318,397,860,862
174,100,318,397,860,862
175,100,318,397,860,862
176,100,318,397,860,862
177,100,318,397,860,862
178,100,318,398,860,862
179,100,318,398,860,862
180,100,318,398,860,862
181,100,318,398,860,862
182,100,318,398,860,862
183,100,318,398,860,862
184,100,318,399,860,862
185,100,318,399,860,862
186,100,318,399,860,862
187,100,318,399,860,862
188,100,318,400,860,862
189,100,318,399,860,862
190,100,318,399,860,862
191,100,318,399,860,862
192,100,318,400,860,862
193,100,318,400,860,862
194,100,318,400,860,862
195,100,318,400,860,862
196,100,318,400,860,862
197,100,318,400,860,862
198,100,318,401,860,862
199,100,318,401,860,862
200,100,318,401,860,862
201,100,318,401,860,862
202,100,318,401,860,862
203,100,318,401,860,862
204,100,318,401,860,862
205,100,319,402,860,862
206,100,318,402,860,862
207,100,318,402,860,862
208,100,318,402,860,862
209,100,318,402,860,862
210,100,318,402,860,862
211,100,319,403,860,862
212,100,318,403,860,862
213,100,319,403,860,862
214,100,318,403,860,862
215,100,319,403,860,862
216,100,318,403,860,862
217,100,319,403,860,862
218,100,319,403,860,862
219,100,319,403,860,862
220,100,319,403,860,862
221,100,319,403,860,862
222,100,319,403,860,862
223,100,319,403,860,862
224,100,319,403,860,862
225,100,319,403,860,862
226,100,319,403,860,862
227,100,319,403,860,862
228,100,319,403,860,862
229,100,319,403,860,862
230,100,319,403,860,862
231,100,319,403,860,862
232,100,319,403,860,862
233,100,319,404,860,862
234,100,319,404,860,862
235,100,319,404,860,862
236,100,319,404,860,862
237,100,319,404,860,862
238,100,319,404,860,862
239,100,320,404,860,862
240,100,320,404,860,862
241,100,320,405,860,862
242,100,320,405,860,862
243,100,320,405,860,862
244,100,320,405,860,862
245,100,320,405,860,862
246,100,320,406,860,862
247,100,320,406,860,862
248,100,320,406,860,862
249,100,320,405,860,862
250,100,320,406,860,862
251,100,320,406,860,862
252,100,320,406,860,862
253,100,320,406,860,862
254,100,320,406,860,862
255,100,320,406,860,862
256,100,320,407,860,862
258,100,320,407,860,862
259,100,321,407,860,862
260,100,320,407,860,862
261,100,321,407,860,862
262,100,320,407,860,862
263,100,321,408,860,862
264,100,321,408,860,862
265,100,321,408,860,862
266,100,321,408,860,862
267,100,321,408,860,862
268,100,321,408,860,862
269,100,321,408,860,862
270,100,321,408,860,862
271,100,321,409,860,862
272,100,321,408,860,862
273,100,321,409,860,862
274,100,321,409,860,862
275,100,321,409,860,862
276,100,321,409,860,862
277,100,322,409,860,862
278,100,322,409,860,862
279,100,322,409,860,862
280,100,322,409,860,862
281,100,322,409,860,862
282,100,322,409,860,862
283,100,322,409,860,862
284,100,322,409,860,862
285,100,322,409,860,862
286,100,322,409,860,862
287,100,322,409,860,862
288,100,322,409,860,862
289,100,322,409,860,862
290,100,322,410,860,862
291,100,322,410,860,862
292,100,322,410,860,862
293,100,322,410,860,862
294,100,322,410,860,862
295,100,322,410,860,862
296,100,322,411,860,862
297,100,322,411,860,862
298,100,322,411,860,862
299,100,323,411,860,862
300,100,323,411,860,862
301,100,323,411,860,862
302,100,323,411,860,862
303,100,323,411,860,862
304,100,323,411,860,862
305,100,323,411,860,862
306,100,323,411,860,862
307,100,323,411,860,862
308,100,323,411,860,862
309,100,323,411,860,862
310,100,323,411,860,862
311,100,323,411,860,862
312,100,323,411,860,862
313,100,323,411,860,862
314,100,323,411,860,862
315,100,323,411,860,862
316,100,323,411,860,862
317,100,323,411,860,862
318,100,323,411,860,862
319,100,324,411,860,862
320,100,324,411,860,862
321,100,323,411,860,862
322,100,323,411,860,862
323,100,323,411,860,862
324,100,324,412,860,862
325,100,324,412,860,862
326,100,324,412,860,862
327,100,324,412,860,862
328,100,324,412,860,862
329,100,324,412,860,862
330,100,324,412,860,862
331,100,324,412,860,862
332,100,324,412,860,862
333,100,324,412,860,862
334,100,324,413,860,862
335,100,325,412,860,862
336,100,325,413,860,862
337,100,324,413,860,862
338,100,325,413,860,862
339,100,325,413,860,862
340,100,325,413,860,862
341,100,325,413,860,862
342,100,325,413,860,862
343,100,325,413,860,862
344,100,325,413,860,862
345,100,325,414,860,862
346,100,325,414,860,862
347,100,325,414,860,862
348,100,325,414,860,862
349,100,325,414,860,862
350,100,325,414,860,862
351,100,325,415,860,862
352,100,325,415,860,862
353,100,326,415,860,862
354,100,326,415,860,862
355,100,326,415,860,862
356,100,326,415,860,862
357,100,326,415,860,862
358,100,326,415,860,862
359,100,327,415,860,862
360,100,326,415,860,862
361,100,327,416,860,862
362,100,327,416,860,862
363,100,327,416,860,862
364,100,327,416,860,862
365,100,327,416,860,862
366,100,327,416,860,862
367,100,327,416,860,862
368,100,327,416,860,862
369,100,327,416,860,862
370,100,327,416,860,862
371,100,327,416,860,862
372,100,328,416,860,862
373,100,328,416,860,862
374,100,328,416,860,862
375,100,328,416,860,862
376,100,328,416,860,862
377,100,328,416,860,862
378,100,328,416,860,862
379,100,328,416,860,862
380,100,328,417,860,862
381,100,328,417,860,862
382,100,328,417,860,862
383,100,328,417,860,862
384,100,328,417,860,862
385,100,328,417,860,862
386,100,328,417,860,862
387,100,328,417,860,862
388,100,329,417,860,862
389,100,329,417,860,862
390,100,329,417,860,862
391,100,329,417,860,862
392,100,329,417,860,862
393,100,329,418,860,862
394,100,329,418,860,862
395,100,329,418,860,862
396,100,329,418,860,862
397,100,330,418,860,862
398,100,330,418,860,862
399,100,330,418,860,862
400,100,330,418,860,862
401,100,330,418,860,862
402,100,330,418,860,862
403,100,330,419,860,862
404,100,330,419,860,862
405,100,330,419,860,862
406,100,330,419,860,862
407,100,330,419,860,862
408,100,330,419,860,862
409,100,331,419,860,862
410,100,331,419,860,862
411,100,331,420,860,862
412,100,331,420,860,862
413,100,331,420,860,862
414,100,331,420,860,862
415,100,331,420,860,862
416,100,331,421,860,862
417,100,331,421,860,862
418,100,331,420,860,862
419,100,331,421,860,862
420,100,332,421,860,862
421,100,332,421,860,862
422,100,332,421,860,862
423,100,332,421,860,862
424,100,332,421,860,862
425,100,332,421,860,862
426,100,332,421,860,862
427,100,332,421,860,862
428,100,332,421,860,862
429,100,332,421,860,862
430,100,332,422,860,862
431,100,333,422,860,862
432,100,333,422,860,862
433,100,333,422,860,862
434,100,333,422,860,862
435,100,333,422,860,862
436,100,333,422,860,862
437,100,333,422,860,862
438,100,333,422,860,862
439,100,334,422,860,862
440,100,334,422,860,862
441,100,334,422,860,862
442,100,334,422,860,862
443,100,335,422,860,862
444,100,334,423,860,862
445,100,335,423,860,862
446,100,334,423,860,862
447,100,335,423,860,862
448,100,335,423,860,862
449,100,335,423,860,862
450,100,335,423,860,862
451,100,335,424,860,862
