time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,99,358,424,860,862
6,99,358,417,860,862
7,99,358,413,860,862
8,99,358,410,860,862
9,99,358,408,860,862
10,99,358,406,860,862
11,99,357,404,860,862
12,99,357,402,860,862
13,99,357,401,860,862
14,99,357,400,860,862
15,99,357,398,860,862
16,99,357,397,860,862
17,99,357,396,860,862
18,99,357,395,860,862
19,99,356,394,860,862
20,99,356,394,860,862
21,99,356,393,860,862
22,99,356,392,860,862
23,99,355,392,860,862
24,99,355,391,860,862
25,99,355,391,860,862
26,99,355,390,860,862
27,99,354,390,860,862
28,99,354,389,860,862
29,99,354,389,860,862
30,99,354,388,860,862
31,99,353,388,860,862
32,99,353,388,860,862
33,99,353,388,860,862
34,99,352,388,860,862
35,99,352,387,860,862
36,99,352,387,860,862
37,99,352,387,860,862
38,99,351,386,860,862
39,99,351,386,860,862
40,99,351,386,860,862
41,99,351,386,860,862
42,99,350,386,860,862
43,99,350,385,860,862
44,99,350,385,860,862
45,99,350,386,860,862
46,99,349,386,860,862
47,99,349,386,860,862
48,99,349,386,860,862
49,99,349,386,860,862
50,99,348,386,860,862
51,99,348,386,860,862
52,99,348,386,860,862
53,99,348,386,860,862
54,99,347,386,860,862
55,99,347,386,860,862
56,99,347,386,860,862
57,99,347,386,860,862
58,99,346,386,860,862
59,99,346,386,860,862
60,99,346,386,860,862
61,99,346,386,860,862
62,99,345,386,860,862
63,99,345,386,860,862
64,99,345,386,860,862
65,99,345,386,860,862
66,99,345,386,860,862
67,99,344,386,860,862
68,99,344,386,860,862
69,99,344,386,860,862
70,99,344,386,860,862
71,99,343,386,860,862
72,99,343,386,860,862
73,99,343,386,860,862
74,99,343,386,860,862
75,99,342,385,860,862
76,99,342,385,860,862
77,99,342,385,860,862
78,99,342,385,860,862
79,99,342,385,860,862
80,99,341,385,860,862
81,99,341,385,860,862
82,99,341,385,860,862
83,99,341,385,860,862
84,99,340,385,860,862
85,99,340,385,860,862
86,99,340,385,860,862
87,99,340,386,860,862
88,99,339,386,860,862
89,99,339,386,860,862
90,99,339,386,860,862
91,99,339,386,860,862
92,99,338,386,860,862
93,99,338,386,860,862
94,99,338,386,860,862
95,99,338,386,860,862
96,99,337,387,860,862
97,99,337,387,860,862
98,99,337,387,860,862
99,99,337,387,860,862
100,99,337,387,860,862
101,99,336,387,860,862
102,99,336,387,860,862
103,99,336,387,860,862
104,99,336,387,860,862
105,99,336,387,860,862
106,99,335,387,860,862
107,99,335,387,860,862
108,99,335,387,860,862
109,99,335,387,860,862
110,99,335,387,860,862
111,99,334,388,860,862
112,99,334,388,860,862
113,99,334,388,860,862
114,99,333,388,860,862
115,99,333,388,860,862
116,99,333,388,860,862
117,99,333,388,860,862
118,99,332,388,860,862
119,99,332,388,860,862
120,99,332,388,860,862
121,99,332,388,860,862
122,99,332,389,860,862
123,99,332,389,860,862
124,99,331,389,860,862
125,99,331,389,860,862
126,99,331,389,860,862
127,99,331,389,860,862
128,99,331,390,860,862
129,99,331,390,860,862
130,99,331,390,860,862
131,99,330,390,860,862
132,99,330,390,860,862
133,99,330,390,860,862
134,99,330,390,860,862
135,99,330,390,860,862
136,99,330,390,860,862
137,99,330,390,860,862
138,99,329,390,860,862
139,99,329,390,860,862
140,99,329,390,860,862
141,99,329,390,860,862
142,99,329,390,860,862
143,99,329,391,860,862
144,99,329,391,860,862
145,99,329,391,860,862
146,99,328,391,860,862
147,99,328,392,860,862
148,99,328,392,860,862
149,99,328,392,860,862
150,99,328,391,860,862
151,99,328,392,860,862
152,99,328,392,860,862
