time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,98,354,406,860,862
6,98,353,400,860,862
7,98,353,396,860,862
8,98,353,395,860,862
9,98,353,394,860,862
10,98,353,394,860,862
11,98,353,394,860,862
12,98,353,393,860,862
13,98,353,392,860,862
14,98,353,392,860,862
15,98,352,391,860,862
16,98,352,391,860,862
17,98,352,391,860,862
18,98,352,391,860,862
19,98,352,390,860,862
20,98,351,390,860,862
21,98,351,390,860,862
22,98,351,389,860,862
23,98,351,389,860,862
24,98,350,389,860,862
25,98,350,389,860,862
26,98,350,389,860,862
27,98,350,389,860,862
28,98,349,389,860,862
29,98,349,389,860,862
30,98,348,389,860,862
31,98,348,389,860,862
32,98,348,389,860,862
33,98,348,389,860,862
34,98,347,389,860,862
35,98,347,389,860,862
36,98,347,389,860,862
37,98,347,389,860,862
38,98,346,389,860,862
39,98,346,389,860,862
40,98,346,389,860,862
41,98,346,389,860,862
42,98,345,389,860,862
43,98,345,390,860,862
44,98,345,390,860,862
45,98,345,389,860,862
46,98,344,389,860,862
47,98,344,390,860,862
48,98,344,389,860,862
49,98,344,389,860,862
50,98,344,389,860,862
51,98,343,389,860,862
52,98,343,389,860,862
53,98,343,389,860,862
54,98,343,390,860,862
55,98,343,390,860,862
56,98,342,390,860,862
57,98,342,390,860,862
58,98,342,390,860,862
59,98,342,390,860,862
60,98,342,390,860,862
61,98,341,390,860,862
62,98,341,390,860,862
63,98,341,390,860,862
64,98,341,390,860,862
65,98,340,391,860,862
66,98,340,391,860,862
67,98,340,391,860,862
68,98,340,391,860,862
69,98,340,391,860,862
70,98,340,391,860,862
71,98,339,391,860,862
72,98,339,391,860,862
73,98,339,391,860,862
74,98,339,391,860,862
75,98,339,391,860,862
76,98,339,391,860,862
77,98,338,391,860,862
78,98,338,391,860,862
79,98,338,391,860,862
80,98,338,391,860,862
81,98,338,391,860,862
82,98,338,391,860,862
83,98,337,391,860,862
84,98,337,391,860,862
85,98,337,391,860,862
86,98,337,392,860,862
87,98,337,392,860,862
88,98,337,392,860,862
89,98,337,392,860,862
90,98,337,392,860,862
91,98,336,392,860,862
92,98,336,392,860,862
93,98,336,392,860,862
94,98,336,392,860,862
95,98,336,392,860,862
96,98,336,392,860,862
97,98,335,392,860,862
98,98,335,392,860,862
99,98,335,392,860,862
100,98,335,393,860,862
101,98,335,393,860,862
102,98,335,393,860,862
103,98,334,393,860,862
104,98,334,393,860,862
105,98,334,393,860,862
106,98,334,394,860,862
107,98,334,394,860,862
108,98,334,394,860,862
109,98,334,394,860,862
110,98,333,394,860,862
111,98,333,394,860,862
112,98,333,395,860,862
113,98,333,395,860,862
114,98,333,395,860,862
115,98,333,395,860,862
116,98,333,395,860,862
117,98,332,395,860,862
118,98,332,395,860,862
119,98,332,396,860,862
120,98,332,396,860,862
121,98,332,396,860,862
122,98,332,396,860,862
123,98,332,396,860,862
124,98,332,396,860,862
125,98,332,396,860,862
126,98,331,396,860,862
127,98,331,396,860,862
128,98,331,396,860,862
129,98,331,396,860,862
130,98,331,396,860,862
131,98,331,397,860,862
132,98,331,397,860,862
133,98,331,397,860,862
134,98,331,397,860,862
135,98,330,398,860,862
136,98,330,398,860,862
137,98,330,398,860,862
138,98,330,398,860,862
139,98,330,398,860,862
140,98,330,399,860,862
141,98,330,399,860,862
142,98,330,399,860,862
143,98,330,399,860,862
144,98,330,400,860,862
145,98,329,400,860,862
146,98,329,401,860,862
147,98,329,401,860,862
148,98,329,401,860,862
149,98,329,401,860,862
150,98,329,401,860,862
151,98,329,401,860,862
152,98,329,401,860,862
153,98,329,401,860,862
154,98,329,401,860,862
155,98,329,402,860,862
156,98,329,402,860,862
157,98,328,402,860,862
158,98,328,402,860,862
159,98,328,403,860,862
160,98,328,403,860,862
161,98,328,403,860,862
162,98,328,403,860,862
163,98,328,404,860,862
164,98,328,404,860,862
165,98,328,404,860,862
166,98,328,404,860,862
167,98,328,404,860,862
168,98,328,404,860,862
169,98,328,404,860,862
170,98,328,404,860,862
171,98,328,405,860,862
172,98,327,405,860,862
173,98,327,405,860,862
174,98,327,405,860,862
175,98,327,405,860,862
176,98,327,405,860,862
177,98,327,406,860,862
178,98,327,405,860,862
179,98,327,406,860,862
180,98,327,405,860,862
181,98,327,406,860,862
182,98,327,406,860,862
183,98,327,406,860,862
184,98,327,406,860,862
185,98,327,406,860,862
186,98,327,407,860,862
187,98,327,407,860,862
188,98,327,407,860,862
189,98,327,407,860,862
190,98,327,408,860,862
191,98,326,408,860,862
192,98,326,408,860,862
193,98,326,408,860,862
194,98,326,408,860,862
195,98,326,409,860,862
196,98,326,409,860,862
197,98,326,409,860,862
198,98,326,409,860,862
199,98,326,409,860,862
200,98,326,409,860,862
201,98,326,409,860,862
202,98,326,409,860,862
203,98,326,410,860,862
204,98,326,410,860,862
205,98,326,410,860,862
206,98,326,410,860,862
207,98,326,410,860,862
208,98,326,410,860,862
209,98,326,410,860,862
210,98,326,410,860,862
211,98,326,411,860,862
212,98,326,411,860,862
213,98,326,411,860,862
214,98,325,411,860,862
215,98,325,411,860,862
216,98,325,411,860,862
217,98,325,411,860,862
218,98,325,411,860,862
219,98,325,411,860,862
220,98,325,411,860,862
221,98,325,411,860,862
222,98,325,412,860,862
223,98,325,411,860,862
224,98,325,411,860,862
225,98,325,412,860,862
227,98,325,412,860,862
228,98,325,412,860,862
229,98,325,412,860,862
230,98,325,412,860,862
231,98,325,412,860,862
232,98,325,412,860,862
233,98,325,412,860,862
234,98,325,413,860,862
235,98,325,413,860,862
236,98,325,413,860,862
237,98,325,412,860,862
238,98,325,413,860,862
239,98,325,413,860,862
240,98,325,413,860,862
241,98,325,412,860,862
242,98,325,412,860,862
243,98,325,413,860,862
244,98,325,413,860,862
245,98,325,413,860,862
246,98,325,413,860,862
247,98,325,413,860,862
248,98,325,413,860,862
249,98,325,413,860,862
250,98,325,413,860,862
251,98,325,414,860,862
252,98,325,414,860,862
253,98,325,414,860,862
254,98,325,414,860,862
255,98,325,414,860,862
256,98,325,414,860,862
257,98,325,414,860,862
258,98,325,414,860,862
259,98,325,414,860,862
260,98,325,414,860,862
261,98,325,414,860,862
262,98,325,414,860,862
263,98,325,414,860,862
264,98,325,414,860,862
265,98,325,414,860,862
266,98,325,414,860,862
267,98,325,414,860,862
268,98,325,415,860,862
269,98,325,415,860,862
270,98,325,415,860,862
271,98,325,415,860,862
272,98,325,415,860,862
273,98,325,415,860,862
274,98,325,416,860,862
275,98,325,416,860,862
276,98,325,416,860,862
277,98,325,416,860,862
278,98,325,416,860,862
279,98,325,416,860,862
280,98,325,416,860,862
281,98,325,416,860,862
282,98,325,416,860,862
283,98,325,417,860,862
284,98,325,417,860,862
285,98,325,417,860,862
286,98,325,416,860,862
287,98,325,416,860,862
288,98,325,416,860,862
