time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,88,357,399,864,866
6,89,357,393,864,866
7,88,357,390,864,866
8,88,357,390,864,865
9,88,357,389,864,865
10,88,357,389,864,865
11,88,357,389,864,865
12,88,357,389,864,865
13,88,357,389,864,865
14,88,357,389,864,865
15,88,357,389,864,865
16,88,357,389,864,865
17,88,357,389,864,865
18,88,356,389,864,865
19,88,356,389,864,865
20,88,356,389,864,865
21,88,356,389,864,865
22,88,356,389,864,865
23,88,356,389,864,865
24,88,356,389,864,865
25,88,356,389,864,865
26,88,356,389,864,865
27,88,355,389,864,865
28,88,355,389,864,865
29,89,355,389,864,866
30,88,355,388,864,865
31,89,355,389,864,866
32,88,354,388,864,865
33,88,354,388,864,865
34,88,354,388,864,865
35,88,354,389,864,865
36,88,354,389,864,865
37,89,354,389,864,865
38,89,353,389,864,865
39,89,353,389,864,865
40,89,353,389,864,865
41,89,353,389,864,865
42,89,352,389,864,865
43,88,352,389,864,865
44,89,352,389,864,865
45,89,352,389,864,865
46,89,352,389,864,866
47,89,351,389,864,865
48,89,351,389,864,865
49,89,351,389,864,865
50,88,351,389,864,865
51,89,350,389,864,865
52,89,350,389,864,865
53,89,350,389,864,865
54,89,350,390,864,865
55,89,349,390,864,865
56,89,349,390,864,865
57,89,349,390,864,865
58,89,349,390,864,865
59,89,348,390,864,865
60,89,348,389,864,865
61,89,348,389,864,865
62,89,348,389,864,865
63,88,347,389,864,865
64,89,347,390,864,865
65,89,347,390,864,865
66,89,346,390,864,865
67,89,346,390,864,865
68,89,346,390,864,866
69,89,346,390,864,865
70,89,345,390,864,865
71,89,345,390,864,865
72,89,345,391,864,865
73,89,344,391,864,865
74,89,344,391,864,865
75,89,344,391,864,865
76,89,344,391,864,865
77,89,344,391,864,865
78,89,343,391,864,865
79,89,343,391,864,865
80,89,343,391,864,865
81,89,342,391,864,865
82,89,342,391,864,865
83,89,342,391,864,865
84,89,342,391,864,865
85,89,341,391,864,865
86,89,341,391,864,865
87,89,341,391,864,865
88,89,341,391,864,865
89,89,341,391,864,865
90,89,340,391,864,865
91,89,340,391,864,865
92,89,340,391,864,865
93,89,340,391,864,865
94,89,339,391,864,865
95,89,339,391,864,865
96,89,339,391,864,865
97,89,339,391,864,865
98,89,338,391,864,865
99,89,338,392,864,865
100,89,338,392,864,865
101,89,338,392,864,865
102,89,337,392,864,865
103,89,337,392,864,865
104,89,337,392,864,865
105,89,337,392,864,865
106,89,336,392,864,865
107,89,336,393,864,865
108,89,336,392,864,865
109,89,336,393,864,865
110,89,335,393,864,865
111,89,335,393,864,865
112,89,335,393,864,865
113,89,335,393,864,865
114,89,334,393,864,865
115,89,334,393,864,865
116,89,334,393,864,865
117,89,334,393,864,865
118,89,334,394,864,865
119,89,333,394,864,865
120,89,333,394,864,865
121,89,333,394,864,865
122,89,332,394,864,865
123,89,332,394,864,865
124,89,332,394,864,865
125,89,332,394,864,865
126,89,332,394,864,865
127,89,331,394,864,865
128,89,331,394,864,865
129,89,331,395,864,865
130,89,331,395,864,865
131,89,330,395,864,865
132,89,330,395,864,865
133,89,330,395,864,865
134,89,330,395,864,865
135,89,329,395,864,865
136,89,329,395,864,865
137,89,329,395,864,865
138,89,329,395,864,865
139,89,329,395,864,865
140,89,328,395,864,865
141,89,328,395,864,865
142,89,328,395,864,865
143,89,328,395,864,865
144,89,328,395,864,865
145,89,327,395,864,865
146,89,327,395,864,865
147,89,327,395,864,865
148,89,327,395,864,865
149,89,327,395,864,865
150,89,326,395,864,865
151,89,326,395,864,865
152,89,326,395,864,865
153,89,326,395,864,865
154,89,326,395,864,865
155,89,326,395,864,865
156,89,325,395,864,865
157,89,325,395,864,865
158,89,325,395,864,865
159,89,325,396,864,865
160,89,325,396,864,865
161,89,325,396,864,865
162,89,324,396,864,865
163,89,324,396,864,865
164,89,324,396,864,865
165,89,324,396,864,865
166,89,324,396,864,865
167,89,324,396,864,865
168,89,323,396,864,865
169,89,323,397,864,865
170,89,323,397,864,865
171,89,323,397,864,865
172,89,323,397,864,865
173,89,323,397,864,865
174,89,323,397,864,865
175,89,323,397,864,865
176,89,322,397,864,865
177,89,322,397,864,865
178,89,322,397,864,865
179,89,322,397,864,865
180,89,322,397,864,865
181,89,322,397,864,865
182,89,322,398,864,865
183,89,321,397,864,865
184,89,321,398,864,865
185,89,321,398,864,865
186,89,321,398,864,865
187,89,321,398,864,865
188,89,321,398,864,865
189,89,321,398,864,865
190,89,320,398,864,865
191,89,320,398,864,865
192,89,320,399,864,865
193,89,320,399,864,865
194,89,320,399,864,865
195,89,320,399,864,865
196,89,320,399,864,865
197,89,320,399,864,865
198,89,320,399,864,865
199,89,319,399,864,865
200,89,319,399,864,866
201,89,319,399,864,865
202,89,319,399,864,865
203,89,319,399,864,865
204,89,319,399,864,865
205,89,319,399,864,865
206,89,319,399,864,865
207,89,318,399,864,865
208,89,318,400,864,865
209,89,318,400,864,865
210,89,318,400,864,865
211,89,318,400,864,865
212,89,318,400,864,865
213,89,318,400,864,865
214,89,318,401,864,865
215,89,318,400,864,865
216,89,318,401,864,865
217,89,317,401,864,865
218,89,317,401,864,865
219,89,317,401,864,865
220,89,317,401,864,865
221,89,317,401,864,865
222,89,317,401,864,865
223,89,317,401,864,865
224,89,317,401,864,865
225,89,316,401,864,865
226,89,317,402,864,865
227,89,316,402,864,865
228,89,316,402,864,865
229,89,316,402,864,865
230,89,316,402,864,865
231,89,316,402,864,865
232,89,316,402,864,865
233,89,316,402,864,865
234,89,316,402,864,865
235,89,316,402,864,865
236,89,316,402,864,865
237,89,315,402,864,865
238,89,315,402,864,865
239,89,315,402,864,865
240,89,315,402,864,865
241,89,315,403,864,865
242,89,315,403,864,866
243,89,315,403,864,865
244,89,315,403,864,865
245,89,315,403,864,865
246,89,315,403,864,865
247,89,315,403,864,865
248,89,315,403,864,865
249,89,315,404,864,865
250,89,315,404,864,865
251,89,315,404,864,865
252,89,315,404,864,865
253,89,315,404,864,865
254,89,315,404,864,865
255,89,315,404,864,865
256,89,314,404,864,865
257,89,315,404,864,865
258,89,314,404,864,865
259,89,314,405,864,865
260,89,314,405,864,865
261,89,314,405,864,865
262,89,314,405,864,865
263,89,314,405,864,865
264,89,314,405,864,865
265,89,314,405,864,865
266,89,314,405,864,865
267,89,314,405,864,865
268,89,314,405,864,865
269,89,314,405,864,865
270,89,314,405,864,865
271,89,314,405,864,865
272,89,314,405,864,865
273,89,314,406,864,865
274,89,314,406,864,865
276,89,314,406,864,865
277,89,314,406,864,865
278,89,314,406,864,865
279,89,314,406,864,865
280,89,314,406,864,865
281,89,314,406,864,865
282,89,314,406,864,865
283,89,314,406,864,865
284,89,314,406,864,865
285,89,314,406,864,865
286,89,313,406,864,865
287,89,314,407,864,865
288,89,313,407,864,865
289,89,314,407,864,865
290,89,313,407,864,865
291,89,314,407,864,865
292,89,313,407,864,865
293,89,313,407,864,865
294,89,313,407,864,865
295,89,313,407,864,865
296,89,313,408,864,865
297,89,313,408,864,865
298,89,313,408,864,865
299,89,313,409,864,865
300,89,313,409,864,865
301,89,313,409,864,865
302,89,313,409,864,865
303,89,313,410,864,865
304,89,313,410,864,866
305,89,313,410,864,865
306,89,313,410,864,865
307,89,313,410,864,865
308,89,313,410,864,865
309,89,313,410,864,865
310,89,313,410,864,865
311,89,313,411,864,865
312,89,313,411,864,865
313,89,313,411,864,865
314,89,313,411,864,865
315,89,313,412,864,865
