time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,91,350,400,864,865
6,91,350,396,863,865
7,91,350,392,863,865
8,91,350,389,863,865
9,91,350,386,864,865
10,91,350,384,863,865
11,91,350,382,864,865
12,91,350,380,863,865
13,91,350,378,864,865
14,91,350,376,864,865
15,91,350,375,863,865
16,91,350,372,863,865
17,91,350,370,864,865
18,91,350,367,863,865
19,91,349,366,863,865
20,91,349,364,863,865
21,91,349,363,863,865
22,91,349,362,863,865
23,91,349,361,864,865
24,91,349,359,863,865
25,91,349,358,863,865
26,91,349,357,863,865
27,91,349,356,863,865
28,91,349,355,864,865
29,91,348,355,863,865
30,91,348,355,863,865
31,91,348,355,863,865
32,91,348,354,864,865
33,91,348,354,863,865
34,91,348,353,864,865
35,91,348,353,864,865
36,91,347,352,863,865
37,91,347,352,864,865
38,91,347,351,864,865
39,91,347,351,863,865
40,91,347,350,863,865
41,91,347,350,864,865
42,91,346,349,863,865
43,91,346,350,863,865
44,91,346,349,863,865
45,91,346,348,863,865
46,91,346,348,863,865
47,91,346,347,863,865
48,91,346,347,863,865
49,91,346,347,864,865
50,91,345,346,863,865
51,91,345,345,864,865
52,91,345,345,864,865
53,91,345,345,863,865
54,91,345,345,863,865
55,91,344,345,863,865
56,91,344,344,863,865
57,91,344,344,863,865
58,91,344,344,863,865
59,91,344,345,863,865
60,91,344,346,863,865
61,91,343,346,863,865
62,91,343,346,864,865
63,91,343,347,864,865
64,91,343,346,863,865
65,91,343,346,863,865
66,91,342,346,864,865
67,91,342,346,863,865
68,91,342,346,863,865
69,91,342,347,864,865
70,91,342,347,864,865
71,91,342,347,863,865
72,91,341,347,864,865
73,91,341,347,864,865
74,91,341,346,863,865
75,91,341,346,863,865
76,91,341,346,864,865
77,91,341,346,863,865
78,91,340,346,863,865
79,91,340,346,863,865
80,91,340,346,863,865
81,91,340,346,863,865
82,91,340,347,864,865
83,91,339,346,863,865
84,91,339,346,863,865
85,91,339,346,863,865
86,91,339,346,863,865
87,91,339,346,863,865
88,91,339,346,863,865
89,91,338,346,863,865
90,91,338,346,863,865
91,91,338,346,864,865
92,91,338,346,863,865
93,91,338,346,863,865
94,91,338,346,864,865
95,91,338,346,864,865
96,91,337,346,864,865
97,91,337,346,863,865
98,91,337,346,864,865
99,91,337,346,863,865
100,91,337,346,864,865
101,91,337,348,863,865
102,91,336,349,863,865
103,91,336,349,863,865
104,91,336,349,863,865
105,91,336,348,863,865
106,91,336,347,864,865
107,91,335,346,863,865
108,91,335,345,863,865
109,91,335,345,863,865
110,91,335,345,864,865
111,91,335,344,863,865
112,91,335,343,863,865
113,91,334,344,863,865
114,91,334,344,863,865
115,91,334,344,864,865
116,91,334,344,863,865
117,91,334,344,864,865
118,91,334,343,863,865
119,91,333,344,863,865
120,91,333,344,863,865
121,91,333,344,863,865
122,91,333,345,863,865
123,91,333,346,864,865
124,91,333,347,863,865
125,91,332,347,863,865
126,91,333,347,864,865
127,91,332,346,863,865
128,91,332,346,864,865
129,91,332,347,864,865
130,91,332,347,863,865
131,91,332,348,863,865
132,91,332,349,864,865
133,91,332,349,863,865
134,91,331,348,863,865
135,91,331,348,864,865
136,91,331,347,864,865
137,91,331,346,863,865
138,91,331,345,864,865
139,91,331,344,863,865
140,91,331,344,863,865
141,91,331,344,863,865
142,91,330,343,863,865
143,91,330,344,864,865
144,91,330,344,863,865
145,91,330,343,863,865
146,91,330,343,863,865
147,91,330,343,863,865
148,91,330,343,863,865
149,91,330,342,863,865
150,91,329,342,864,865
151,91,329,342,864,865
152,91,329,343,863,865
153,91,329,344,864,865
154,91,329,344,863,865
155,91,329,345,863,865
156,91,329,345,863,865
157,91,329,345,864,865
158,91,328,344,864,865
159,91,328,344,863,865
160,91,328,344,864,865
161,91,328,344,863,865
162,91,328,344,864,865
163,91,328,345,864,865
164,91,328,345,864,865
165,91,328,345,863,865
166,91,327,347,863,865
167,91,327,348,863,865
168,91,327,348,863,865
169,91,327,349,863,865
170,91,327,350,863,865
171,91,327,351,863,865
172,91,327,351,863,865
173,91,327,350,863,865
174,91,327,351,864,865
175,91,327,352,864,865
176,91,327,352,863,865
177,91,326,352,863,865
178,91,326,353,863,865
179,91,326,353,863,865
180,91,326,353,864,865
181,91,326,355,863,865
182,91,326,355,863,865
183,91,326,355,863,865
184,91,326,355,863,865
185,91,326,354,863,865
186,91,326,353,864,865
187,91,326,352,863,865
188,91,325,351,863,865
189,91,325,352,863,865
190,91,325,352,863,865
191,91,325,351,864,865
192,91,325,352,863,865
193,91,325,353,864,865
194,91,325,353,863,865
195,91,325,353,864,865
196,91,325,353,863,865
197,91,325,352,864,865
198,91,324,351,863,865
199,91,324,351,863,865
200,91,324,350,863,865
201,91,324,350,863,865
202,91,324,351,863,865
203,91,324,350,863,865
204,91,324,350,863,865
205,91,324,350,864,865
206,91,324,350,863,865
207,91,324,350,864,865
208,91,324,350,863,865
209,91,324,349,863,865
210,91,323,348,863,865
211,91,323,350,863,865
212,91,323,350,863,865
213,91,323,349,863,865
214,91,323,348,863,865
215,91,323,348,863,865
216,91,323,347,864,865
217,91,323,347,863,865
218,91,323,347,864,865
219,91,322,345,863,865
220,91,323,345,863,865
221,91,322,346,863,865
222,91,322,346,863,865
223,91,322,346,863,865
224,91,322,345,863,865
225,91,322,345,864,865
226,91,322,345,864,865
227,91,322,344,863,865
228,91,322,345,863,865
229,91,322,345,863,865
230,91,322,346,863,865
231,91,321,346,863,865
232,91,322,346,864,865
233,91,321,346,863,865
234,91,321,347,864,865
235,91,321,348,863,865
236,91,321,348,864,865
237,91,321,349,863,865
238,91,321,349,863,865
239,91,321,349,863,865
240,91,321,348,864,865
241,91,321,348,864,865
242,91,321,347,863,865
243,91,321,347,863,865
244,91,321,348,863,865
245,91,321,348,864,865
246,91,321,347,863,865
247,91,321,347,863,865
248,91,321,347,863,865
249,91,321,347,863,865
250,91,321,347,863,865
251,91,320,347,863,865
252,91,320,346,863,865
253,91,320,345,864,865
254,91,320,345,863,865
255,91,320,346,863,865
256,91,320,346,863,865
257,91,320,346,863,865
258,91,320,344,864,865
259,91,320,344,863,865
261,91,320,346,863,865
262,91,320,346,863,865
263,91,320,345,863,865
264,91,320,345,863,865
265,91,320,345,864,865
266,91,320,346,863,865
267,91,320,347,863,865
268,91,320,347,864,865
269,91,320,347,863,865
270,91,320,346,863,865
271,91,320,347,863,865
272,91,320,347,863,865
273,91,320,347,863,865
274,91,320,347,863,865
275,91,319,348,863,865
276,91,319,350,863,865
277,91,319,350,863,865
278,91,319,350,863,865
279,91,319,349,863,865
280,91,319,349,863,865
281,91,319,348,863,865
282,91,319,349,863,865
283,91,319,349,863,865
284,91,319,348,863,865
285,91,319,348,864,865
286,91,319,348,863,865
287,91,319,348,863,865
288,91,319,348,863,865
289,91,319,348,863,865
290,91,319,349,863,865
291,91,319,350,863,865
292,91,319,351,863,865
293,91,319,352,863,865
294,91,319,353,863,865
295,91,319,354,863,865
296,91,319,354,863,865
297,91,319,354,863,865
298,91,319,353,863,865
299,91,319,354,863,865
300,91,319,355,864,865
301,91,319,355,863,865
302,92,319,356,864,865
303,91,319,355,863,865
304,91,319,356,863,865
305,91,319,356,863,865
306,91,319,357,864,865
307,91,319,357,863,865
308,91,319,358,864,865
309,91,319,357,863,865
310,91,319,357,863,865
311,91,319,356,863,865
312,91,319,356,863,865
313,91,319,356,864,865
314,91,319,356,863,865
315,91,319,356,863,865
316,91,319,356,863,865
317,91,319,356,863,865
318,91,319,356,863,865
319,91,319,357,863,865
320,91,319,358,863,865
321,91,319,358,863,865
322,91,319,359,863,865
323,91,319,358,863,865
324,91,320,357,864,865
325,91,319,356,863,865
326,91,320,356,863,865
327,91,319,356,863,865
328,91,320,356,863,865
329,91,320,357,863,865
330,91,320,356,863,865
331,92,320,356,864,865
332,91,320,355,863,865
333,91,320,355,863,865
334,91,320,355,863,865
335,91,320,355,863,865
336,91,320,356,863,865
337,91,320,356,863,865
338,91,320,356,863,865
339,91,320,356,863,865
340,91,320,356,863,865
341,91,320,356,863,865
342,91,320,355,863,865
343,91,320,354,864,865
344,91,320,353,863,865
345,91,320,353,863,865
346,91,320,353,863,865
347,91,320,353,863,865
348,91,320,352,863,865
349,91,320,354,863,865
350,91,320,354,864,865
351,91,320,353,864,865
352,91,320,352,863,865
353,91,320,351,863,865
354,91,320,351,863,865
355,91,320,351,863,865
356,91,320,351,863,865
357,91,320,351,863,865
358,91,320,351,863,865
359,91,320,351,863,865
360,91,320,351,863,865
361,91,320,351,863,865
362,91,321,352,864,865
363,91,320,352,863,865
364,91,321,352,864,865
365,91,320,352,863,865
366,91,321,351,863,865
367,91,320,352,863,865
368,91,321,353,863,865
369,91,321,353,863,865
370,91,321,354,864,865
371,91,321,354,863,865
372,91,321,353,863,865
373,91,321,354,863,865
374,91,321,353,863,865
375,91,321,353,863,865
376,91,321,352,863,865
377,91,321,352,863,865
378,91,321,352,863,865
379,91,321,352,863,865
380,91,321,353,863,865
381,91,321,354,863,865
382,91,321,355,864,865
383,91,321,355,864,865
384,91,321,354,863,865
385,91,321,353,864,865
386,91,321,352,863,865
387,91,321,351,863,865
388,91,321,351,863,865
389,91,321,352,863,865
390,91,321,352,863,865
391,91,322,353,864,865
392,91,322,352,864,865
393,91,321,353,863,865
394,91,321,354,863,865
395,91,320,355,863,865
396,91,320,354,863,865
397,91,320,353,864,865
398,91,319,353,863,865
399,91,319,354,863,865
400,91,319,355,864,865
401,91,318,356,863,865
402,91,318,356,863,865
403,91,317,357,864,865
404,91,317,356,863,865
405,91,317,356,863,865
406,91,317,357,863,865
407,91,316,358,863,865
408,91,316,358,864,865
409,91,317,357,863,865
410,91,317,357,863,865
411,91,318,358,864,865
412,91,318,358,863,865
413,91,318,358,863,865
414,91,319,359,863,865
415,91,319,360,863,865
416,91,319,360,863,865
417,91,319,359,863,865
418,91,320,359,863,865
419,91,320,359,863,865
420,91,320,359,863,865
421,91,320,360,863,865
422,91,320,361,863,865
423,91,320,361,864,865
424,91,320,360,863,865
425,91,320,359,863,865
426,91,320,359,863,865
427,91,320,359,863,865
428,91,320,359,863,865
429,91,320,358,863,865
430,91,321,358,863,865
431,91,321,358,863,865
432,91,321,358,864,865
433,91,321,358,863,865
434,91,321,357,863,865
435,91,321,357,863,865
436,91,321,358,863,865
437,91,321,358,863,865
438,91,321,358,863,865
439,91,321,359,863,865
440,91,321,360,863,865
441,91,321,359,863,865
442,91,321,359,863,865
443,91,321,359,863,865
444,91,321,358,863,865
445,91,321,359,863,865
446,91,321,359,863,865
447,91,321,359,863,865
448,91,321,358,863,865
449,91,322,359,863,865
450,91,321,360,863,865
451,91,322,360,863,865
452,91,322,360,863,865
453,91,322,360,863,865
454,91,322,360,863,865
455,91,322,360,863,865
456,91,322,360,863,865
457,91,322,360,863,865
458,91,322,359,863,865
459,91,322,360,863,865
460,91,322,360,863,865
461,91,322,360,863,865
462,91,323,361,863,865
463,91,323,362,864,865
464,91,323,362,863,865
465,91,323,362,863,865
466,91,323,362,863,865
467,91,323,362,863,865
468,91,323,362,863,865
469,91,323,362,863,865
470,91,323,363,863,865
471,91,323,363,864,865
472,91,323,363,864,865
473,91,323,364,864,865
474,91,324,363,864,865
475,91,324,363,864,865
476,91,324,362,863,865
477,91,324,363,864,865
478,91,324,363,863,865
479,91,324,363,863,865
480,91,324,363,864,865
481,91,324,362,864,865
482,91,324,362,864,865
483,91,324,361,863,865
484,91,324,359,863,865
485,91,324,359,863,865
486,91,324,359,863,865
487,91,325,360,864,865
488,91,325,360,864,865
489,91,325,360,864,865
490,91,325,359,863,865
491,91,325,360,864,865
492,91,325,361,864,865
493,91,325,363,864,865
494,91,325,364,864,865
495,91,325,365,863,865
496,91,325,365,863,865
497,91,325,366,863,865
498,91,325,365,863,865
499,91,325,365,863,865
500,91,325,365,863,865
501,91,326,366,864,865
502,91,326,367,864,865
503,91,326,367,863,865
504,91,326,367,864,865
505,91,326,368,863,865
506,91,326,369,863,865
507,91,326,370,863,865
508,91,326,370,864,865
509,91,326,369,863,865
510,91,326,368,863,865
511,91,326,369,864,865
512,91,326,369,863,865
513,91,327,369,863,865
514,91,327,368,864,865
515,91,327,369,863,865
516,91,327,369,864,865
517,91,327,369,863,865
518,91,327,370,863,865
519,91,327,370,863,865
520,91,327,371,863,865
521,91,327,370,864,865
522,91,327,371,864,865
523,91,327,372,863,865
524,91,328,373,864,865
525,91,328,372,864,865
526,91,328,373,863,865
527,91,328,373,864,865
528,91,328,373,863,865
529,91,328,373,863,865
530,91,328,372,864,865
531,91,328,373,864,865
532,91,329,373,864,865
533,91,329,374,864,865
535,91,329,374,864,865
536,91,329,373,864,865
537,91,329,373,863,865
538,91,329,373,864,865
539,91,329,373,864,865
540,91,329,374,864,865
541,91,329,374,864,865
542,91,329,374,864,865
543,91,329,374,864,865
544,91,330,374,864,865
545,91,330,373,864,865
546,91,330,372,864,865
547,91,330,372,864,865
548,91,330,372,864,865
549,91,330,372,864,865
550,91,330,372,863,865
551,91,330,371,863,865
552,91,330,370,864,865
553,91,330,369,864,865
554,91,330,369,863,865
555,91,331,368,864,865
556,91,331,369,864,865
557,91,331,369,864,865
558,91,331,370,864,865
559,91,331,370,863,865
560,91,331,371,863,865
561,91,331,371,864,865
562,91,331,370,864,865
563,91,331,370,864,865
564,91,332,370,864,865
565,91,332,370,863,865
566,91,332,370,864,865
567,91,332,371,864,865
568,91,332,371,864,865
569,91,332,372,863,865
570,91,332,373,864,865
571,91,332,374,864,865
572,91,332,375,864,865
573,91,332,376,864,865
