time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,92,296,300,863,865
6,92,296,302,863,865
7,92,296,303,863,865
8,92,296,304,863,865
9,92,296,305,863,865
10,92,296,306,863,865
11,92,296,307,863,865
12,92,296,308,863,865
13,92,296,308,863,865
14,92,296,309,863,865
15,92,296,310,863,865
16,92,296,310,863,865
17,92,296,311,863,865
18,92,296,312,863,865
19,92,296,312,863,865
20,92,296,313,863,865
21,92,296,313,863,865
22,92,296,314,863,865
23,92,296,314,863,865
24,92,296,315,863,865
25,92,296,315,863,865
26,92,296,315,863,865
27,92,295,316,863,865
28,92,295,316,863,865
29,92,294,317,863,865
30,92,294,317,863,865
31,92,294,318,863,865
32,92,294,318,863,865
33,92,295,318,863,865
34,92,295,318,863,865
35,92,295,319,863,865
36,92,295,319,863,865
37,92,295,320,863,865
38,92,294,320,863,865
39,92,294,320,863,865
40,92,293,321,863,865
41,92,293,321,863,865
42,92,293,321,863,865
43,92,293,322,863,865
44,92,293,322,863,865
45,92,293,322,863,865
46,92,294,322,863,865
47,92,294,323,863,865
48,92,294,323,863,865
49,92,294,323,863,865
50,92,294,323,863,865
51,92,294,324,863,865
52,92,294,324,863,865
53,92,294,324,863,865
54,92,294,325,863,865
55,92,294,325,863,865
56,92,294,325,863,865
57,92,294,325,863,865
58,92,294,326,863,865
59,92,294,326,863,865
60,92,294,326,863,865
61,92,294,326,863,865
62,92,294,327,863,865
63,92,294,327,863,865
64,92,294,328,863,865
65,92,294,328,863,865
66,92,294,328,863,865
67,92,294,328,863,865
68,92,294,329,863,865
69,92,294,329,863,865
70,92,294,329,863,865
71,92,294,329,863,865
72,92,293,330,863,865
73,92,293,330,863,865
74,92,293,330,863,865
75,92,293,330,863,865
76,92,293,330,863,865
77,92,293,331,863,865
78,92,293,331,863,865
79,92,293,331,863,865
80,92,292,331,863,865
81,92,292,331,863,865
82,92,292,331,863,865
83,92,292,332,863,865
84,92,291,332,863,865
85,92,291,332,863,865
86,92,291,333,863,865
87,92,291,333,863,865
88,92,291,333,863,865
89,92,291,333,863,865
90,92,291,334,863,865
91,92,291,334,863,865
92,92,291,334,863,865
93,92,291,335,863,865
94,92,291,335,863,865
95,92,291,335,863,865
96,92,290,335,863,865
97,92,291,336,863,865
98,92,290,336,863,865
99,92,291,336,863,865
100,92,290,336,863,865
101,92,290,337,863,865
102,92,290,337,863,865
103,92,290,337,863,865
104,92,290,338,863,865
105,92,290,338,863,865
106,92,290,338,863,865
107,92,290,338,863,865
108,92,290,339,863,865
109,92,290,339,863,865
110,92,290,339,863,865
111,92,290,339,863,865
112,92,290,339,863,865
113,92,290,340,863,865
114,92,290,340,863,865
115,92,290,340,863,865
116,92,290,340,863,865
117,92,290,341,863,865
118,92,290,341,863,865
119,92,290,341,863,865
120,92,290,342,863,865
121,92,290,342,863,865
122,92,290,342,863,865
123,92,290,343,863,865
124,92,290,342,863,865
125,92,290,343,863,865
126,92,290,343,863,865
127,92,290,343,863,865
128,92,290,344,863,865
129,92,290,344,863,865
130,92,290,344,863,865
131,92,290,344,863,865
132,92,290,344,863,865
