time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,89,505,426,781,782
6,89,491,422,781,782
7,89,478,420,781,782
8,89,465,418,781,782
9,89,453,416,781,782
10,89,442,414,781,782
11,89,431,412,781,782
12,89,421,411,781,782
13,89,412,409,781,782
14,89,403,408,781,782
15,89,394,407,781,782
16,89,386,406,781,782
17,89,379,405,781,782
18,89,371,404,781,782
19,89,364,404,781,782
20,89,358,403,781,782
21,89,351,402,781,782
22,89,346,401,781,782
23,89,341,401,781,782
24,89,336,400,781,782
25,89,331,400,781,782
26,89,327,399,781,782
27,89,323,399,781,782
28,89,319,399,781,782
29,89,315,398,781,782
30,89,311,398,781,782
31,89,307,397,781,782
32,89,304,397,781,782
33,89,301,397,781,782
34,89,298,397,781,782
35,89,296,396,781,782
36,89,293,396,781,782
37,89,291,396,781,782
38,89,289,396,781,782
39,89,287,396,781,782
40,89,285,396,781,782
41,89,283,396,781,782
42,89,282,396,781,782
43,89,280,395,781,782
44,89,278,395,781,782
45,89,277,395,781,782
46,89,276,395,781,782
47,89,275,395,781,782
48,89,274,395,781,782
49,89,273,395,781,782
50,89,272,395,781,782
51,89,271,395,781,782
52,89,270,395,781,782
53,89,269,395,781,782
54,89,269,395,781,782
55,89,268,395,781,782
56,89,268,395,781,782
57,89,268,395,781,782
58,89,267,395,781,782
59,89,267,394,781,782
60,89,267,395,781,782
61,89,266,394,781,782
62,89,266,395,781,782
63,89,266,394,781,782
64,89,266,394,781,782
65,89,266,394,781,782
66,89,266,394,781,782
67,89,266,394,781,782
68,89,266,394,781,782
69,89,266,394,781,782
70,89,266,394,781,782
71,89,266,394,781,782
72,89,266,394,781,782
73,89,267,394,781,782
74,89,267,394,781,782
75,89,267,394,781,782
76,89,268,395,781,782
77,89,268,395,781,782
78,89,268,395,781,782
79,89,269,395,781,782
80,89,269,395,781,782
81,89,270,395,781,782
82,89,270,395,781,782
83,89,271,395,781,782
84,89,271,395,781,782
85,89,272,395,781,782
86,89,272,395,781,782
87,89,273,395,781,782
