time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,90,384,395,781,782
6,90,374,392,781,782
7,90,366,391,781,782
8,90,358,389,781,782
9,90,351,388,781,782
10,90,344,388,781,782
11,90,338,387,781,782
12,90,332,386,781,782
13,90,327,385,781,782
14,90,322,383,781,782
15,90,318,383,781,782
16,90,314,382,781,782
17,90,310,382,781,782
18,90,307,381,781,782
19,90,303,381,781,782
20,90,300,381,781,782
21,90,297,380,781,782
22,90,294,380,781,782
23,90,292,380,781,782
24,90,290,380,781,782
25,90,287,380,781,782
26,90,285,380,781,782
27,90,283,380,781,782
28,90,282,380,781,782
29,90,280,380,781,782
30,90,279,380,781,782
31,90,278,380,781,782
32,90,276,380,781,782
33,90,275,380,781,782
34,90,274,380,781,782
35,90,273,380,781,782
36,90,272,380,781,782
37,90,272,380,781,782
38,90,271,380,781,782
39,90,271,380,781,782
40,90,270,380,781,782
41,90,270,380,781,782
42,90,269,380,781,782
43,90,269,380,781,782
44,90,269,380,781,782
45,90,268,380,781,782
46,90,268,380,781,782
47,90,268,380,781,782
48,90,268,380,781,782
49,90,268,380,781,782
50,90,268,380,781,782
51,90,268,380,781,782
52,90,268,380,781,782
53,90,268,380,781,782
54,90,268,380,781,782
55,90,269,380,781,782
56,90,269,379,781,782
57,90,269,380,781,782
58,90,269,380,781,782
59,90,270,380,781,782
60,90,270,380,781,782
61,90,270,380,781,782
62,90,270,380,781,782
63,90,271,380,781,782
64,90,271,380,781,782
65,90,271,381,781,782
66,90,272,381,781,782
67,90,273,381,781,782
68,90,273,381,781,782
69,90,274,381,781,782
70,90,274,381,781,782
71,90,275,381,781,782
72,90,275,381,781,782
73,90,275,382,781,782
74,90,276,382,781,782
75,90,277,382,781,782
76,90,277,382,781,782
77,90,278,382,781,782
78,90,278,382,781,782
79,90,279,382,781,782
80,90,279,382,781,782
81,90,280,383,781,782
82,90,281,383,781,782
83,90,281,383,781,782
84,90,282,383,781,782
85,90,282,383,781,782
86,90,283,383,781,782
87,90,283,383,781,782
88,90,284,383,781,782
89,90,285,383,781,782
90,90,285,383,781,782
91,90,286,383,781,782
92,90,287,383,781,782
93,90,287,383,781,782
94,90,288,383,781,782
95,90,288,383,781,782
96,90,289,384,781,782
97,90,290,384,781,782
98,90,290,384,781,782
99,90,291,384,781,782
100,90,291,384,781,782
101,90,292,384,781,782
102,90,293,384,781,782
103,90,294,384,781,782
104,90,294,384,781,782
105,90,295,385,781,782
106,90,295,384,781,782
107,90,296,385,781,782
108,90,296,385,781,782
109,90,297,385,781,782
110,90,297,385,781,782
111,90,298,385,781,782
112,90,298,385,781,782
113,90,299,385,781,782
114,90,299,385,781,782
115,90,300,385,781,782
116,90,300,385,781,782
117,90,301,385,781,782
118,90,301,386,781,782
119,90,302,386,781,782
120,90,302,386,781,782
121,90,303,386,781,782
122,90,303,386,781,782
123,90,304,386,781,782
124,90,304,386,781,782
125,90,305,386,781,782
126,90,305,386,781,782
127,90,306,386,781,782
128,90,306,386,781,782
129,90,307,386,781,782
130,90,307,386,781,782
131,90,308,386,781,782
132,90,308,386,781,782
133,90,308,386,781,782
134,90,309,386,781,782
135,90,309,386,781,782
136,90,310,386,781,782
137,90,310,386,781,782
138,90,311,387,781,782
139,90,311,387,781,782
140,90,312,387,781,782
141,90,312,387,781,782
142,90,313,388,781,782
143,90,313,388,781,782
144,90,314,388,781,782
145,90,314,388,781,782
146,90,314,388,781,782
147,90,315,389,781,782
148,90,315,389,781,782
149,90,316,389,781,782
150,90,316,389,781,782
151,90,317,389,781,782
152,90,317,389,781,782
153,90,318,389,781,782
154,90,318,389,781,782
155,90,318,389,781,782
156,90,319,389,781,782
157,90,319,390,781,782
158,90,319,390,781,782
159,90,320,390,781,782
