time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,77,407,366,785,786
6,77,397,359,785,787
7,77,388,354,785,786
8,77,379,353,785,786
9,77,370,353,785,786
10,77,362,353,785,787
11,77,354,354,785,786
12,77,347,354,785,787
13,77,340,355,785,786
14,77,333,356,785,786
15,77,326,357,785,786
16,77,319,357,785,786
17,77,314,358,785,786
18,77,308,358,785,786
19,77,303,359,785,786
20,77,297,360,785,787
21,77,292,360,785,786
22,77,288,360,785,786
23,77,284,361,785,786
24,77,280,361,785,786
25,77,277,362,785,787
26,77,273,362,785,787
27,77,269,363,785,786
28,77,266,363,785,786
29,77,263,363,785,786
30,77,261,364,785,786
31,77,258,364,785,786
32,77,256,364,785,786
33,77,253,364,785,786
34,77,251,365,785,786
35,77,249,365,785,786
36,77,247,365,785,786
37,77,245,366,785,786
38,77,243,366,785,786
39,77,241,366,785,786
40,77,240,367,785,786
41,77,238,367,785,786
42,77,237,367,785,787
43,77,236,367,785,786
44,77,235,367,785,786
45,77,234,367,785,786
46,77,234,368,785,786
47,77,233,368,785,786
48,77,232,368,785,786
49,77,232,368,785,787
50,77,231,369,785,786
51,77,230,369,785,786
52,77,230,369,785,786
53,77,230,369,785,786
54,77,229,369,785,786
55,77,229,369,785,787
56,77,229,370,785,786
57,77,229,370,785,786
58,77,229,370,785,786
59,77,229,370,785,786
60,77,229,370,785,786
61,77,229,370,785,786
62,77,229,370,785,786
63,77,229,370,785,786
64,77,229,370,785,786
65,77,230,370,785,786
66,77,230,370,785,786
67,77,230,371,785,786
68,77,231,371,785,786
69,77,231,371,785,786
70,77,232,372,785,786
71,77,232,372,785,786
72,77,232,372,785,786
73,77,233,372,785,786
74,77,233,372,785,786
75,77,234,373,785,786
76,77,234,373,785,786
77,77,235,373,785,786
78,77,236,373,785,786
79,77,236,374,785,786
80,77,237,374,785,786
81,77,238,374,785,786
82,77,238,374,785,786
83,77,239,374,785,786
84,77,240,375,785,786
85,77,240,375,785,786
86,77,241,375,785,786
87,77,242,375,785,786
88,77,243,375,785,786
89,77,243,375,785,786
90,77,244,375,785,786
91,77,245,375,785,786
92,77,246,375,785,786
93,77,246,376,785,786
94,77,247,376,785,786
95,77,248,376,785,786
96,77,249,376,785,786
97,77,250,376,785,786
98,77,251,376,785,786
99,77,252,376,785,786
100,77,253,377,785,786
101,77,254,377,785,786
102,77,255,377,785,786
103,77,255,377,785,786
104,77,256,377,785,786
105,77,257,377,785,786
106,77,258,377,785,786
107,77,259,377,785,786
108,77,260,377,785,786
109,77,261,377,785,786
110,77,262,377,785,786
111,77,263,377,785,786
112,77,264,377,785,786
113,77,264,377,785,786
114,77,265,377,785,786
115,77,266,377,785,786
116,77,267,377,785,786
117,77,268,377,785,786
118,77,269,377,785,786
119,77,270,378,785,786
120,77,271,378,785,786
121,77,272,378,785,786
122,77,273,378,785,786
123,77,273,378,785,786
124,77,274,378,785,786
125,77,275,378,785,786
126,77,276,378,785,786
127,77,277,378,785,786
128,77,278,378,785,786
129,77,279,379,785,786
130,77,280,379,785,786
131,77,281,379,785,786
132,77,282,379,785,786
133,77,283,379,785,786
134,77,283,379,785,786
135,77,284,380,785,786
136,77,285,380,785,786
137,77,286,380,785,786
138,77,287,380,785,786
139,77,288,380,785,786
140,77,288,380,785,786
141,77,289,381,785,786
142,77,290,381,785,786
143,77,291,381,785,786
144,77,292,381,785,786
145,77,293,381,785,786
146,78,294,381,785,786
147,77,295,381,785,786
148,77,296,381,785,786
149,77,297,382,785,786
150,77,297,382,785,786
151,77,298,382,785,786
152,77,299,382,785,786
153,77,300,382,785,786
154,77,301,382,785,786
155,77,302,382,785,786
156,78,303,382,785,786
157,77,303,382,785,786
158,77,304,382,785,786
159,77,305,383,785,786
160,77,306,383,785,786
161,77,307,383,785,786
162,77,307,383,785,786
163,77,308,383,785,786
164,78,309,383,785,786
165,77,310,383,785,786
166,78,311,384,785,786
167,78,311,384,785,786
168,77,312,384,785,786
169,77,313,384,785,786
170,77,314,384,785,786
171,77,314,384,785,786
172,77,315,384,785,786
173,77,316,384,785,786
174,77,316,385,785,786
175,78,317,385,785,786
176,77,318,385,785,786
177,78,319,385,785,786
178,77,320,385,785,786
179,78,320,385,785,786
180,78,321,385,785,786
181,77,322,385,785,786
182,78,323,385,785,786
183,78,323,385,785,786
184,78,324,386,785,786
185,77,325,386,785,786
186,77,325,386,785,786
187,77,326,386,785,786
188,78,327,386,785,786
189,78,328,387,785,786
190,78,329,387,785,786
191,78,329,387,785,786
199,78,335,387,783,785
200,78,335,387,784,785
201,78,336,387,784,785
202,77,336,387,784,785
203,78,337,387,784,785
204,78,338,388,784,785
205,78,338,388,784,785
206,77,339,388,784,785
207,78,340,388,784,785
208,77,340,388,784,785
209,78,341,388,784,785
210,78,342,388,784,785
211,78,342,388,784,785
212,77,343,388,784,785
