time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,75,447,384,785,786
6,75,435,376,785,786
7,75,424,369,785,786
8,75,415,363,785,786
9,76,404,360,785,786
10,75,395,360,785,786
11,75,385,361,785,786
12,76,376,362,785,786
13,76,368,363,785,786
14,75,360,364,785,786
15,75,353,364,785,786
16,75,346,365,785,786
17,75,339,366,785,786
18,75,332,366,785,786
19,75,327,367,785,786
20,75,321,367,785,786
21,76,316,368,785,786
22,75,310,368,785,786
23,75,305,368,785,786
24,75,301,369,785,786
25,75,296,369,785,786
26,75,292,370,785,786
27,76,288,370,785,786
28,75,284,371,785,786
29,75,280,371,785,786
30,75,277,371,785,786
31,75,274,371,785,786
32,75,271,372,785,786
33,75,268,372,785,786
34,75,265,372,785,786
35,75,263,372,785,786
36,75,260,372,785,786
37,75,258,372,785,786
38,75,256,373,785,786
39,75,254,373,785,786
40,75,252,373,785,786
41,75,251,373,785,786
42,75,249,374,785,786
43,75,248,374,785,786
44,75,246,374,785,786
45,76,245,374,785,786
46,75,244,375,785,786
47,75,243,375,785,786
48,76,242,375,785,786
49,76,241,375,785,786
50,76,240,376,785,786
51,75,239,376,785,786
52,76,239,376,785,786
53,75,238,376,785,786
54,75,238,376,785,786
55,76,237,377,785,786
56,75,237,377,785,786
57,75,237,377,785,786
58,75,237,377,785,786
59,76,237,378,785,786
60,75,236,378,785,786
61,75,236,379,785,786
62,75,237,379,785,786
63,76,237,379,785,786
64,75,237,379,785,786
65,76,237,379,785,786
66,75,237,379,785,786
67,76,237,380,785,786
68,75,237,380,785,786
69,76,238,380,785,786
70,76,238,380,785,786
71,76,238,380,785,786
72,75,239,380,785,786
73,76,239,381,785,786
74,75,240,381,785,786
75,76,240,381,785,786
76,76,241,381,785,786
77,76,241,381,785,786
78,76,242,381,785,786
79,76,242,381,785,786
80,76,243,382,785,786
81,76,244,382,785,786
82,75,244,382,785,786
83,76,245,382,785,786
84,76,246,382,785,786
85,76,246,382,785,786
86,76,247,382,785,786
87,76,248,382,785,786
88,76,248,382,785,786
89,76,249,382,785,786
90,76,250,382,785,786
91,76,251,382,785,786
92,76,251,383,785,786
93,76,252,383,785,786
94,75,253,383,785,786
95,76,254,383,785,786
96,76,255,383,785,786
97,76,256,383,785,786
98,76,256,383,785,786
99,76,257,383,785,786
100,76,258,384,785,786
101,76,259,384,785,786
102,76,260,384,785,786
103,76,261,384,785,786
104,76,262,384,785,786
105,76,262,384,785,786
106,76,263,384,785,786
107,76,264,385,785,786
108,76,265,385,785,786
109,76,266,385,785,786
110,76,267,385,785,786
111,76,268,385,785,786
112,76,269,385,785,786
113,76,270,385,785,786
114,76,271,386,785,786
115,76,272,385,785,786
116,76,273,385,785,786
117,76,273,385,785,786
118,76,274,385,785,786
119,76,275,386,785,786
120,76,276,386,785,786
121,76,277,386,785,786
122,76,278,386,785,786
123,76,279,386,785,786
124,76,280,386,785,786
125,76,281,386,785,786
126,76,282,387,785,786
127,76,283,387,785,786
128,76,284,387,785,786
129,76,284,387,785,786
130,76,285,387,785,786
131,76,286,387,785,786
132,76,287,387,785,786
133,76,288,387,785,786
134,76,289,387,785,786
135,76,290,387,785,786
136,76,291,387,785,786
137,76,292,388,785,786
138,76,293,388,785,786
139,76,294,388,785,786
140,76,295,388,785,786
141,76,295,388,785,786
142,76,296,388,785,786
143,76,297,388,785,786
144,76,298,388,785,786
145,76,299,388,785,786
146,76,300,388,785,786
147,76,300,388,785,786
148,76,301,388,785,786
149,76,302,388,785,786
150,76,303,388,785,786
151,76,303,389,785,786
152,76,304,389,785,786
153,76,305,389,785,786
154,76,306,389,785,786
155,76,307,389,785,786
156,76,308,389,785,786
157,76,308,389,785,786
158,76,309,389,785,786
159,76,310,389,785,786
160,76,311,389,785,786
161,76,312,389,785,786
162,76,312,390,785,786
163,76,313,390,785,786
164,76,314,390,785,786
165,76,314,390,785,786
166,76,315,390,785,786
167,76,316,390,785,786
168,76,316,390,785,786
169,76,317,391,785,786
170,76,318,391,785,786
171,76,319,391,785,786
172,76,320,391,785,786
173,76,320,391,785,786
174,76,321,391,785,786
175,76,322,391,785,786
176,76,323,391,785,786
177,76,323,391,785,786
178,76,324,391,785,786
179,76,325,391,785,786
180,76,325,391,785,786
181,76,326,391,785,786
182,76,326,392,785,786
183,76,327,392,785,786
184,76,328,392,785,786
185,76,328,392,785,786
186,76,329,392,785,786
187,76,330,392,785,786
188,76,331,392,785,786
189,76,331,392,785,786
190,76,332,393,785,786
191,76,332,393,785,786
192,76,333,393,785,786
193,76,334,393,785,786
194,76,334,393,785,786
195,76,335,393,785,786
196,76,336,393,785,786
197,76,336,393,785,786
198,76,337,393,785,786
199,76,337,393,785,786
200,76,338,393,785,786
201,76,338,394,785,786
202,76,339,394,785,786
203,76,339,394,785,786
204,76,340,394,785,786
205,76,341,394,785,786
206,76,341,394,785,786
207,76,342,395,785,786
208,76,342,395,785,786
209,76,343,395,785,786
210,76,344,395,785,786
211,76,344,395,785,786
212,76,345,395,785,786
213,76,345,395,785,786
214,76,346,396,785,786
215,76,346,396,785,786
216,76,347,396,785,786
217,76,347,396,785,786
218,76,348,396,785,786
219,76,348,396,785,786
220,76,349,396,785,786
221,76,349,396,785,786
222,76,350,396,785,786
223,76,350,396,785,786
224,76,351,396,785,786
225,76,351,396,785,786
226,76,351,396,785,786
227,76,352,396,785,786
228,76,353,396,785,786
230,76,353,396,785,786
231,76,353,396,785,786
232,76,354,396,785,786
233,76,355,396,785,786
234,76,355,396,785,786
235,76,356,396,785,786
236,76,356,396,785,786
237,76,357,396,785,786
238,76,357,396,785,786
239,76,358,397,785,786
240,76,358,397,785,786
241,76,359,397,785,786
242,76,359,397,785,786
243,76,360,397,785,786
244,76,360,397,785,786
245,76,360,397,785,786
246,76,361,397,785,786
247,76,361,397,785,786
248,76,362,397,785,786
249,76,362,398,785,786
250,76,363,398,785,786
251,76,363,398,785,786
252,76,364,398,785,786
253,76,364,398,785,786
254,76,365,398,785,786
255,76,365,398,785,786
256,76,365,398,785,786
257,76,366,398,785,786
258,76,366,398,785,786
259,76,367,398,785,786
260,76,367,398,785,786
261,76,368,398,785,786
262,76,368,398,785,786
263,76,368,398,785,786
264,76,369,398,785,786
265,76,369,398,785,786
266,76,370,399,785,786
267,76,370,399,785,786
268,76,371,399,785,786
269,76,371,399,785,786
270,76,371,399,785,786
271,76,372,399,785,786
272,76,372,399,785,786
273,76,373,399,785,786
274,76,373,399,785,786
275,76,374,399,785,786
276,76,374,400,785,786
277,76,374,400,785,786
278,76,375,400,785,786
279,76,375,401,785,786
280,76,376,401,785,786
281,76,376,401,785,786
282,76,376,401,785,786
283,76,377,401,785,786
284,76,377,401,785,786
285,76,378,401,785,786
286,76,378,401,785,786
287,76,378,401,785,786
288,76,379,402,785,786
289,76,379,402,785,786
290,76,380,402,785,786
291,76,380,402,785,786
292,76,380,402,785,786
293,76,381,402,785,786
294,76,381,402,785,786
295,76,381,403,785,786
296,76,382,402,785,786
297,76,382,403,785,786
298,76,383,402,785,786
299,76,383,403,785,786
300,76,383,403,785,786
301,76,384,403,785,786
302,76,384,403,785,786
303,76,384,404,785,786
304,76,385,404,785,786
305,76,385,404,785,786
306,76,386,404,785,786
307,76,386,404,785,786
308,76,386,404,785,786
309,76,387,404,785,786
310,76,387,405,785,786
311,76,387,405,785,786
312,76,388,405,785,786
313,76,388,405,785,786
314,76,388,405,785,786
315,76,389,405,785,786
316,76,389,405,785,786
317,76,389,405,785,786
318,76,390,405,785,786
319,76,390,405,785,786
320,76,391,405,785,786
321,76,391,405,785,786
322,76,391,405,785,786
323,76,391,405,785,786
324,76,392,406,785,786
325,76,392,406,785,786
326,76,393,406,785,786
327,76,393,406,785,786
328,76,393,406,785,786
329,76,393,406,785,786
330,76,394,406,785,786
331,76,394,406,785,786
332,76,394,406,785,786
333,76,395,406,785,786
334,76,395,406,785,786
335,76,395,407,785,786
336,76,396,407,785,786
337,76,396,407,785,786
338,76,396,407,785,786
339,76,397,407,785,786
340,76,397,407,785,786
341,76,397,407,785,786
342,76,398,407,785,786
343,76,398,407,785,786
344,76,399,407,785,786
345,76,399,408,785,786
346,76,399,408,785,786
347,76,400,408,785,786
348,76,400,408,785,786
349,76,400,408,785,786
350,76,401,408,785,786
351,76,401,408,785,786
352,76,401,408,785,786
353,76,402,408,785,786
354,76,402,408,785,786
355,76,402,408,785,786
356,76,403,409,785,786
357,76,403,409,785,786
358,76,403,409,785,786
359,76,404,409,785,786
360,76,404,409,785,786
361,76,404,409,785,786
362,76,404,409,785,786
363,76,405,409,785,786
364,76,405,409,785,786
365,76,406,409,785,786
366,76,406,409,785,786
367,76,406,409,785,786
368,76,406,409,785,786
369,76,407,409,785,786
370,76,407,409,785,786
371,76,407,410,785,786
372,76,408,410,785,786
373,76,408,410,785,786
374,76,408,410,785,786
375,76,409,410,785,786
376,76,409,410,785,786
377,76,409,410,785,786
378,76,410,410,785,786
379,76,410,410,785,786
380,76,410,410,785,786
381,76,411,410,785,786
382,76,411,410,785,786
383,76,411,411,785,786
384,76,411,411,785,786
385,76,412,411,785,786
386,76,412,411,785,786
387,76,412,411,785,786
388,76,413,411,785,786
389,76,413,411,785,786
390,76,413,412,785,786
391,76,414,412,785,786
392,76,414,412,785,786
393,76,414,412,785,786
394,76,414,412,785,786
395,76,415,412,785,786
396,76,415,412,785,786
397,76,415,412,785,786
398,76,416,412,785,786
399,76,416,412,785,786
400,76,416,412,785,786
401,76,417,412,785,786
402,76,417,412,785,786
403,76,417,412,785,786
404,76,418,412,785,786
405,76,418,412,785,786
406,76,418,413,785,786
407,76,419,413,785,786
408,76,419,413,785,786
409,76,419,413,785,786
410,76,419,413,785,786
411,76,420,413,785,786
412,76,420,413,785,786
413,76,420,413,785,786
414,76,421,413,785,786
415,76,421,414,785,786
416,76,421,414,785,786
417,76,422,414,785,786
418,76,422,414,784,786
419,76,422,414,785,786
420,76,422,415,785,786
421,76,423,415,785,786
422,76,423,415,785,786
423,76,423,415,785,786
424,76,423,415,785,786
425,76,424,415,785,786
426,76,424,416,785,786
427,76,424,416,785,786
428,76,425,416,785,786
429,76,425,416,785,786
430,76,425,416,785,786
431,76,426,416,785,786
432,76,426,416,785,786
433,76,426,416,785,786
434,76,426,417,785,786
435,76,426,416,785,786
436,76,427,416,785,786
437,76,427,416,785,786
438,76,427,417,785,786
439,76,428,417,785,786
440,76,428,417,785,786
441,76,428,417,785,786
442,76,428,417,785,786
443,76,429,416,785,786
444,76,429,417,785,786
445,76,429,417,785,786
446,76,429,417,785,786
447,76,430,417,785,786
448,76,430,417,785,786
449,76,430,417,785,786
450,76,430,417,785,786
451,76,431,417,785,786
452,76,431,418,785,786
453,76,431,418,785,786
454,76,431,418,785,786
455,76,432,418,785,786
456,76,432,418,785,786
457,76,432,418,785,786
458,76,432,418,785,786
459,76,433,418,785,786
460,76,433,418,785,786
461,76,433,419,785,786
462,76,433,419,785,786
463,76,434,419,785,786
464,76,434,419,785,786
465,76,434,419,785,786
466,76,434,419,785,786
467,76,435,419,785,786
468,76,435,419,785,786
469,76,435,419,785,786
470,76,436,420,785,786
471,76,436,420,785,786
472,76,436,419,785,786
473,76,436,419,785,786
475,76,436,419,785,786
476,76,437,420,785,786
477,76,437,420,785,786
478,76,437,420,785,786
479,76,438,420,785,786
480,76,438,420,785,786
481,76,438,420,785,786
482,76,438,421,785,786
483,76,439,421,785,786
484,76,439,421,785,786
485,76,439,421,785,786
486,76,439,421,785,786
487,76,440,421,785,786
488,76,440,421,785,786
489,76,440,421,785,786
490,76,441,421,785,786
491,76,441,422,785,786
492,76,441,422,785,786
493,76,441,422,785,786
494,76,442,422,785,786
495,76,442,422,785,786
496,76,442,422,785,786
497,76,442,422,785,786
498,76,443,422,785,786
499,76,443,422,785,786
500,76,443,422,785,786
501,76,444,422,785,786
502,76,444,422,785,786
503,76,444,423,785,786
504,76,444,423,785,786
505,76,445,423,785,786
506,76,445,423,785,786
507,76,445,423,785,786
508,76,445,423,785,786
509,76,446,423,785,786
510,76,446,423,785,786
511,76,446,424,785,786
512,76,446,424,785,786
513,76,447,424,785,786
514,76,447,424,785,786
515,76,447,424,785,786
516,76,447,424,785,786
517,76,448,424,785,786
518,76,448,425,785,786
519,76,448,425,785,786
520,76,449,425,785,786
521,76,449,425,785,786
522,76,449,425,785,786
523,76,449,425,785,786
524,76,450,425,785,786
525,76,450,425,785,786
526,76,450,425,785,786
527,76,451,425,785,786
528,76,451,426,785,786
529,76,451,426,785,786
530,76,451,426,785,786
531,76,452,426,785,786
532,76,452,426,785,786
533,76,452,427,785,786
534,76,453,427,785,786
535,76,453,427,785,786
536,76,453,427,785,786
537,76,454,427,785,786
538,76,454,427,785,786
539,76,454,427,785,786
540,76,454,427,785,786
541,76,454,428,785,786
542,76,455,428,785,786
543,76,455,428,785,786
544,76,455,428,785,786
545,76,455,428,785,786
546,76,456,428,785,786
547,76,456,428,785,786
548,76,456,428,785,786
549,76,457,428,785,786
550,76,457,428,785,786
551,76,457,429,785,786
552,76,457,429,785,786
553,76,458,429,785,786
554,76,458,429,785,786
555,76,458,429,785,786
556,76,458,429,785,786
557,76,459,429,785,786
558,76,459,429,785,786
559,76,459,430,785,786
560,76,459,430,785,786
561,76,460,430,785,786
562,76,460,430,785,786
563,76,460,430,785,786
564,76,460,431,785,786
565,76,461,431,785,786
566,76,461,431,785,786
567,76,461,431,785,786
568,76,461,431,785,786
569,76,462,431,785,786
570,76,462,431,785,786
571,76,462,431,785,786
572,76,462,431,785,786
573,76,463,432,785,786
574,76,463,432,785,786
575,76,464,432,785,786
576,76,464,432,785,786
577,76,464,432,785,786
578,76,464,432,785,786
579,76,465,432,785,786
580,76,465,433,785,786
581,76,465,433,785,786
582,76,465,433,785,786
583,76,466,433,785,786
584,76,466,433,785,786
585,76,466,433,785,786
586,76,467,433,785,786
587,76,467,433,785,786
588,76,467,433,785,786
589,76,467,433,785,786
590,76,467,433,785,786
591,76,467,433,785,786
592,76,468,434,785,786
593,76,468,434,785,786
594,76,468,434,785,786
595,76,468,434,785,786
596,76,469,435,785,786
597,76,469,435,785,786
598,76,469,435,785,786
599,76,470,435,785,786
600,76,470,436,785,786
601,76,470,436,785,786
602,76,470,436,785,786
603,76,470,436,785,786
604,76,471,436,785,786
605,76,471,437,785,786
606,76,471,437,785,786
607,76,471,437,785,786
608,76,471,437,785,786
609,76,472,438,785,786
610,76,472,438,785,786
611,76,472,438,785,786
612,76,473,438,785,786
613,76,473,439,785,786
614,76,473,439,785,786
615,76,473,439,785,786
616,76,474,439,785,786
617,76,474,439,785,786
618,76,474,440,785,786
619,76,474,440,785,786
620,76,474,440,785,786
621,76,474,440,785,786
622,76,475,440,785,786
623,76,475,441,785,786
624,76,475,441,785,786
625,76,475,441,784,786
626,76,476,441,785,786
627,76,476,442,785,786
628,76,476,442,785,786
629,76,476,442,785,786
630,76,477,442,785,786
631,76,477,442,785,786
632,76,477,442,785,786
633,76,477,442,785,786
634,76,478,442,785,786
635,76,478,443,785,786
636,76,478,443,785,786
