time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,77,372,358,785,786
6,77,363,356,784,786
7,77,355,356,785,786
8,77,348,357,785,786
9,77,341,358,785,786
10,77,334,358,785,786
11,77,328,359,784,786
12,77,322,360,784,786
13,77,317,361,785,786
14,77,312,361,784,786
15,77,307,362,784,786
16,77,303,362,784,786
17,77,299,363,785,786
18,77,294,363,785,786
19,77,290,364,785,786
20,77,286,364,784,786
21,77,283,365,785,786
22,77,280,365,785,786
23,77,277,366,784,786
24,77,274,366,784,786
25,77,271,366,785,786
26,77,269,367,784,786
27,77,266,367,784,786
28,77,264,368,784,786
29,77,262,368,785,786
30,77,260,368,784,786
31,77,258,368,785,786
32,77,256,369,785,786
33,77,255,369,785,786
34,77,253,369,785,786
35,77,252,369,785,786
36,77,251,369,785,786
37,77,249,369,785,786
38,77,249,369,785,786
39,77,248,369,785,786
40,77,247,370,785,786
41,77,246,370,785,786
42,77,245,370,785,786
43,77,244,370,785,786
44,77,244,371,785,786
45,77,243,370,784,786
46,77,243,370,785,786
47,77,242,370,784,786
48,77,242,370,784,786
49,77,242,370,785,786
50,77,242,370,785,786
51,77,241,370,785,786
52,77,241,370,784,786
53,77,241,370,784,786
54,77,241,371,785,786
55,77,241,371,784,786
56,77,241,371,785,786
57,77,242,371,785,786
58,77,242,371,784,786
59,77,242,371,784,786
60,77,242,371,784,786
61,77,242,371,784,786
62,77,242,371,784,786
63,77,243,371,784,786
64,77,243,371,785,786
65,77,244,371,785,786
66,77,244,371,784,786
67,77,244,371,784,786
68,77,245,372,784,786
69,77,245,372,784,786
70,77,246,372,784,786
71,77,246,372,784,786
72,77,247,372,785,786
73,77,247,372,784,786
74,77,248,372,784,786
75,77,248,372,784,786
76,77,249,373,784,786
77,77,250,373,785,786
78,77,250,373,785,786
79,77,251,373,785,786
80,77,251,373,784,786
81,77,252,373,785,786
82,77,252,373,785,786
83,77,253,373,785,786
84,77,254,373,784,786
85,77,254,374,785,786
86,77,255,374,785,786
87,77,256,374,785,786
88,77,256,374,784,786
89,77,257,374,784,786
90,77,258,374,785,786
91,77,258,374,785,786
92,77,259,375,785,786
93,77,260,375,784,786
94,77,260,375,785,786
95,77,261,375,785,786
96,77,262,375,785,786
97,77,263,375,785,786
98,77,263,375,785,786
99,77,264,375,785,786
100,77,265,375,785,786
101,77,266,376,785,786
102,77,266,376,785,786
103,77,267,376,784,786
104,77,268,376,785,786
105,77,268,376,785,786
106,77,269,376,784,786
107,77,270,377,785,786
108,77,271,377,785,786
109,77,271,377,785,786
110,77,272,377,784,786
111,77,272,378,784,786
112,77,273,378,784,786
113,77,274,378,784,786
114,77,275,378,784,786
115,77,275,378,785,786
116,77,276,378,784,786
117,77,277,378,784,786
118,77,277,378,784,786
119,77,278,378,784,786
120,77,279,379,784,786
121,77,279,379,784,786
122,77,280,379,785,786
123,77,281,379,785,786
124,77,281,379,784,786
125,77,282,379,784,786
126,77,283,380,784,786
127,77,283,380,784,786
128,77,284,380,785,786
129,77,285,380,784,786
130,77,286,380,784,786
131,77,286,381,785,786
132,77,287,381,785,786
133,77,288,381,785,786
134,77,288,381,785,786
135,77,289,381,785,786
136,77,290,381,784,786
137,77,290,381,785,786
138,77,291,381,784,786
139,77,292,381,785,786
140,77,292,381,784,786
141,77,293,381,784,786
142,77,293,382,785,786
143,77,294,382,785,786
144,77,295,382,785,786
145,77,295,382,784,786
146,77,296,382,785,786
147,77,296,382,785,786
148,77,297,382,784,786
149,77,297,383,784,786
150,77,298,383,784,786
151,77,299,383,784,786
152,77,299,383,784,786
153,77,300,383,784,786
154,77,300,384,784,786
155,77,301,383,784,786
156,77,302,383,784,786
157,77,302,384,785,786
158,77,303,384,784,786
159,77,303,384,784,786
160,77,304,384,784,786
161,77,304,384,784,786
162,77,305,384,784,786
163,77,305,384,784,786
164,77,306,384,784,786
165,77,306,384,784,786
166,77,307,384,784,786
167,77,308,384,784,786
168,77,308,384,784,786
169,77,309,384,784,786
170,77,309,385,784,786
171,77,310,385,785,786
172,77,310,385,784,786
173,77,311,385,784,786
174,77,312,385,784,786
175,77,312,385,784,786
176,77,313,386,784,786
177,77,313,386,784,786
178,77,314,386,784,786
179,77,314,386,784,786
180,77,315,386,784,786
181,77,315,386,784,786
182,77,316,387,785,786
183,77,316,387,784,786
184,77,317,387,784,786
185,77,317,387,785,786
186,77,318,387,784,786
187,77,319,387,784,786
188,77,319,387,785,786
189,77,319,387,784,786
190,77,320,388,784,786
191,77,320,388,784,786
192,77,321,388,784,786
193,77,322,388,784,786
194,77,322,388,784,786
195,77,322,388,784,786
196,77,323,389,784,786
197,77,323,389,784,786
198,77,324,389,784,786
199,77,324,389,784,786
200,77,324,389,784,786
201,77,325,389,784,786
202,77,326,389,784,786
203,77,326,389,785,786
204,77,326,389,784,786
205,77,327,389,784,786
206,77,327,389,784,786
207,77,328,390,784,786
208,77,328,390,784,786
209,77,328,390,784,786
210,77,329,390,784,786
211,77,329,390,784,786
212,77,330,390,784,786
213,77,330,390,784,786
214,77,331,391,784,786
215,77,331,391,784,786
216,77,332,391,784,786
217,77,332,391,784,786
218,77,333,391,784,786
219,77,333,391,784,786
220,77,333,391,784,786
221,77,334,391,784,786
222,77,334,391,784,786
223,77,335,391,784,786
224,77,335,391,784,786
225,77,335,391,784,786
226,77,336,391,784,786
227,77,336,391,784,786
228,77,337,391,784,786
229,77,337,392,784,786
230,77,337,392,784,786
231,77,338,392,784,786
232,77,338,392,784,786
233,77,339,392,784,786
234,77,339,392,784,786
236,77,339,392,784,786
237,77,340,393,784,786
238,77,340,393,784,786
239,77,340,393,784,786
240,77,341,393,784,786
241,77,341,393,784,786
242,77,341,393,784,786
243,77,342,393,784,786
244,77,342,393,784,786
245,77,342,393,784,786
246,77,343,394,784,786
247,77,343,394,784,786
248,77,344,394,784,786
249,77,344,394,784,786
250,77,344,394,784,786
251,77,345,394,784,786
252,77,345,394,784,786
253,77,346,395,784,786
254,77,346,395,784,786
255,77,346,395,784,786
256,77,347,395,784,786
257,77,347,395,784,786
258,77,347,395,784,786
259,77,348,395,784,786
260,77,348,395,784,786
261,77,348,396,784,786
262,77,349,396,784,786
263,77,349,396,784,786
264,77,349,397,784,786
265,77,350,396,784,786
266,77,350,397,784,786
267,77,350,397,784,786
268,77,351,397,784,786
269,77,351,397,784,786
270,77,351,397,784,786
271,77,352,397,784,786
272,77,352,397,784,786
273,77,352,397,784,786
274,77,353,397,784,786
275,77,353,398,784,786
276,77,353,398,784,786
277,77,354,398,784,786
278,77,354,398,784,786
279,77,354,398,784,786
280,77,355,398,784,786
281,77,355,398,784,786
282,77,355,399,784,786
283,77,356,399,784,786
284,77,356,399,784,786
285,77,356,399,784,786
286,77,357,399,784,786
287,77,357,399,784,786
288,77,357,399,784,786
289,77,358,399,784,786
290,77,358,399,784,786
291,77,358,399,784,786
292,77,359,399,784,786
293,77,359,399,784,786
294,77,359,399,784,786
295,77,360,399,784,786
296,77,360,399,784,786
297,77,360,400,784,786
