time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,93,370,404,863,865
6,93,369,402,863,865
7,93,368,401,863,864
8,93,367,400,863,865
9,93,367,399,863,865
10,93,366,397,863,865
11,93,365,397,863,865
12,93,365,396,863,865
13,93,364,395,863,865
14,93,364,395,863,865
15,93,363,395,863,865
16,93,363,394,863,865
17,93,363,394,863,865
18,93,362,393,863,865
19,93,362,393,863,865
20,93,362,393,863,865
21,93,361,392,863,865
22,93,361,392,863,865
23,93,361,392,863,865
24,93,361,392,863,865
25,93,360,392,863,865
26,93,360,392,863,865
27,93,360,391,863,865
28,93,360,392,863,865
29,93,360,392,863,865
30,93,359,392,863,865
31,93,359,392,863,865
32,93,359,392,863,865
33,93,359,392,863,865
34,93,359,392,863,864
35,93,359,392,863,865
36,93,359,392,863,865
37,93,358,392,863,865
38,93,358,392,863,865
39,93,358,392,863,865
40,93,358,393,863,865
41,93,358,392,863,865
42,93,358,393,863,865
43,93,358,393,863,864
44,93,358,393,863,865
45,93,358,393,863,865
46,93,358,394,863,865
47,93,358,394,863,865
48,93,358,394,863,865
49,93,357,394,863,864
50,93,357,394,863,865
51,93,357,394,863,864
52,93,357,394,863,865
53,93,357,394,863,865
54,93,357,394,863,864
55,93,357,394,863,865
56,93,357,394,863,865
57,93,357,394,863,865
58,93,357,395,863,864
59,93,357,395,863,865
60,93,357,395,863,865
61,93,357,395,863,865
62,93,357,395,863,865
63,93,357,395,863,865
64,93,357,395,863,865
65,93,357,396,863,865
66,93,357,396,863,865
67,93,357,396,863,865
68,93,357,396,863,865
69,93,357,396,863,865
70,93,356,396,863,865
71,93,356,396,863,865
72,93,356,396,863,865
73,93,356,397,863,865
74,93,356,397,863,865
75,93,356,397,863,865
76,93,356,397,863,865
77,93,356,397,863,865
78,93,356,397,863,865
79,93,356,397,863,864
80,93,356,398,863,865
81,93,356,398,863,865
82,93,356,398,863,865
83,93,356,398,863,865
84,93,356,398,863,865
85,93,356,398,863,865
86,93,356,398,863,865
87,93,356,398,863,864
88,93,356,398,863,865
89,93,356,398,863,865
90,93,356,398,863,865
91,93,356,398,863,865
92,93,356,398,863,865
93,93,356,398,863,865
94,93,356,399,863,865
95,93,356,399,863,864
96,93,355,399,863,865
97,93,356,399,863,865
98,93,355,399,863,865
