2015-07-25 23:37:58,147,time,thermocouple_index,thermocouple_temp
2015-07-25 23:37:58,186,0.0392189025879,0,351.289200
2015-07-25 23:37:58,186,0.0398180484772,1,393.898800
2015-07-25 23:37:58,187,0.0401289463043,2,861.471000
2015-07-25 23:37:58,187,0.0404958724976,3,863.617000
2015-07-25 23:37:58,250,0.102833032608,1,394.173800
2015-07-25 23:37:58,729,0.582520961761,1,394.400200
2015-07-25 23:37:59,081,0.93456697464,1,394.658800
2015-07-25 23:37:59,306,1.15883684158,1,394.889800
2015-07-25 23:37:59,562,1.41486382484,0,351.066800
2015-07-25 23:38:00,009,1.86256885529,1,395.139800
2015-07-25 23:38:00,297,2.15071392059,1,395.398200
2015-07-25 23:38:00,489,2.34261202812,1,395.625200
2015-07-25 23:38:00,777,2.63073992729,0,350.760200
2015-07-25 23:38:01,001,2.85475182533,1,395.851800
2015-07-25 23:38:01,258,3.1108648777,1,396.082800
2015-07-25 23:38:01,290,3.14293885231,0,350.979800
2015-07-25 23:38:01,513,3.36672306061,0,350.716800
2015-07-25 23:38:01,706,3.5590569973,1,396.348800
2015-07-25 23:38:02,090,3.94296789169,1,396.591200
2015-07-25 23:38:02,473,4.32675099373,1,396.806400
2015-07-25 23:38:02,985,4.83875584602,0,350.457800
2015-07-25 23:38:03,721,5.57474184036,1,397.017000
2015-07-25 23:38:03,913,5.76681494713,0,350.247200
2015-07-25 23:38:04,457,6.3107509613,1,397.227800
2015-07-25 23:38:04,809,6.66282606125,0,350.036800
2015-07-25 23:38:04,905,6.75874686241,1,397.577800
2015-07-25 23:38:04,937,6.79075193405,0,350.283800
2015-07-25 23:38:05,129,6.98274302483,0,350.068800
2015-07-25 23:38:06,282,8.13501095772,0,349.842200
2015-07-25 23:38:07,145,8.99853682518,0,349.631200
2015-07-25 23:38:07,274,9.12685704231,1,397.831800
2015-07-25 23:38:07,817,9.6707470417,1,398.042800
2015-07-25 23:38:08,138,9.99096488953,1,398.285200
2015-07-25 23:38:08,361,10.2147529125,0,349.404800
2015-07-25 23:38:08,554,10.4069519043,1,398.495800
2015-07-25 23:38:09,225,11.0787529945,1,398.738800
2015-07-25 23:38:09,705,11.5587568283,1,398.997400
2015-07-25 23:38:09,962,11.8149950504,0,349.166800
2015-07-25 23:38:10,218,12.0709729195,1,399.267200
2015-07-25 23:38:10,794,12.6470048428,0,348.951200
2015-07-25 23:38:10,794,12.6478059292,1,399.494200
2015-07-25 23:38:11,337,13.1907558441,1,399.720800
2015-07-25 23:38:11,753,13.6067538261,1,399.947200
2015-07-25 23:38:12,010,13.862860918,0,348.724800
2015-07-25 23:38:12,490,14.3428690434,1,400.194800
2015-07-25 23:38:12,938,14.7909648418,1,400.411000
2015-07-25 23:38:13,193,15.0465099812,0,348.482200
2015-07-25 23:38:13,385,15.2385840416,0,348.729400
