time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,92,352,385,863,865
6,92,350,383,864,865
7,92,349,383,864,865
8,92,348,383,864,865
9,92,347,382,863,865
10,92,346,382,864,865
11,92,345,382,864,865
12,92,343,381,864,865
13,92,343,381,864,865
14,92,342,381,863,865
15,92,341,381,863,865
16,92,340,381,863,865
17,92,340,381,863,865
18,92,339,381,863,865
19,92,338,381,864,865
20,92,338,381,863,865
21,92,337,380,863,865
22,92,337,380,864,865
23,92,337,380,863,865
24,92,336,380,863,865
25,92,336,380,863,865
26,92,336,380,863,865
27,92,335,380,863,865
28,92,335,380,863,865
29,92,334,380,863,865
30,92,334,380,863,865
31,92,334,380,864,865
32,92,334,380,863,865
33,92,333,380,863,865
34,92,333,380,863,865
35,92,333,380,863,865
36,92,333,380,863,865
37,92,333,380,864,865
38,92,332,381,863,865
39,92,332,381,863,865
40,92,332,381,864,865
41,92,332,381,864,865
42,92,332,381,863,865
43,92,332,381,864,865
44,92,331,382,863,865
45,92,331,382,863,865
46,92,331,382,863,865
47,92,331,382,863,865
48,92,331,382,863,865
49,92,331,382,864,865
50,92,331,382,863,865
51,92,331,382,863,865
52,92,330,382,863,865
53,92,331,383,864,865
54,92,330,383,863,865
55,92,330,383,864,865
56,92,330,383,863,865
57,92,330,383,863,865
58,92,330,383,863,865
59,92,330,383,863,865
60,92,330,383,863,865
61,92,330,383,863,865
62,92,330,383,863,865
63,92,330,383,863,865
64,92,330,383,863,865
65,92,329,383,863,865
66,92,329,382,863,865
67,92,329,383,863,865
68,92,329,382,863,865
69,92,329,383,864,865
70,92,329,382,863,865
71,92,329,382,863,865
72,92,329,382,863,865
73,92,329,382,864,865
74,92,329,382,863,865
75,92,329,382,863,865
76,92,329,383,864,865
77,92,329,382,863,865
78,92,329,382,864,865
79,92,328,382,863,865
80,92,328,383,863,865
81,92,328,383,864,865
82,92,328,383,863,865
83,92,328,383,863,865
84,92,328,383,863,865
85,92,328,383,863,865
86,92,328,383,863,865
87,92,328,383,863,865
88,92,328,383,863,865
89,92,328,383,863,865
90,92,328,384,863,865
91,92,328,384,863,865
92,92,328,384,863,865
93,92,328,384,863,865
94,92,328,384,863,865
95,92,327,384,863,865
96,92,328,384,863,865
97,92,327,384,863,865
98,92,327,384,863,865
99,92,327,384,863,865
100,92,327,385,863,865
101,92,327,385,863,865
102,92,327,385,863,865
103,92,327,385,863,865
104,92,327,385,863,865
105,92,327,385,863,865
106,92,327,385,864,865
107,92,327,385,863,865
108,92,327,386,864,865
109,92,327,386,863,865
110,92,327,385,863,865
111,92,327,386,863,865
112,92,327,386,863,865
113,92,326,386,863,865
114,92,326,386,863,865
115,92,326,386,863,865
116,92,326,386,863,865
117,92,326,386,863,865
118,92,326,386,863,865
119,92,326,387,863,865
120,92,326,387,863,865
121,92,326,387,863,865
122,92,326,387,863,865
123,92,326,387,863,865
124,92,326,387,863,865
125,92,326,387,863,865
126,92,326,387,863,865
127,92,326,387,863,865
128,92,326,388,863,865
129,92,326,388,863,865
130,92,326,388,863,865
131,92,326,388,863,865
132,92,326,388,863,865
133,92,326,388,863,865
134,92,325,388,863,865
135,92,325,388,863,865
136,92,325,389,863,865
137,92,325,389,863,865
138,92,325,389,863,865
139,92,325,389,863,865
140,92,325,389,863,865
141,92,325,389,863,865
142,92,325,389,863,865
143,92,325,389,863,865
144,92,325,390,863,865
145,92,325,390,863,865
146,92,325,390,863,865
147,92,325,390,863,865
148,92,325,390,863,865
149,92,325,390,863,865
150,92,325,390,863,865
151,92,325,390,863,865
152,92,325,390,863,865
153,92,325,391,863,865
154,92,325,391,863,865
155,92,325,391,863,865
156,92,325,391,863,865
157,92,324,391,863,865
158,92,324,391,863,865
159,92,324,391,863,865
160,92,324,391,863,865
161,92,324,391,863,865
162,92,324,391,863,865
163,92,324,391,863,865
164,92,324,391,863,865
165,92,324,392,863,865
166,92,324,392,863,865
167,92,324,392,863,865
168,92,324,392,863,865
169,92,324,392,863,865
170,92,324,393,863,865
171,92,324,393,863,865
172,92,324,393,863,865
173,92,324,393,863,865
174,92,324,393,863,865
175,92,324,393,863,865
176,92,324,393,863,865
177,92,324,394,863,865
178,92,324,394,863,865
179,92,324,394,863,865
180,92,324,394,863,865
181,92,324,394,863,865
182,92,324,395,863,865
183,92,324,395,863,865
184,92,324,395,863,865
185,92,324,395,863,865
186,92,324,395,863,865
187,92,324,395,863,865
188,92,324,395,863,865
189,92,324,395,863,865
190,92,324,395,863,865
191,92,324,395,863,865
192,92,324,395,863,865
193,92,324,395,863,865
194,92,324,395,863,865
195,92,324,395,863,865
196,92,324,396,863,865
197,92,324,396,863,865
198,92,324,396,863,865
199,92,324,396,863,865
200,92,324,396,863,865
201,92,324,396,863,865
202,92,324,396,863,865
203,92,324,396,863,865
204,92,324,397,863,865
205,92,324,397,863,865
206,92,324,397,863,865
207,92,324,397,863,865
208,92,324,397,863,865
209,92,324,397,863,865
210,92,324,397,863,865
211,92,324,397,863,865
212,92,324,397,863,865
213,92,324,397,863,865
214,92,324,398,863,865
215,92,324,397,863,865
216,92,324,398,863,865
217,92,324,398,863,865
218,92,324,398,863,865
219,92,324,398,863,865
220,92,324,398,863,865
221,92,324,398,863,865
222,92,324,398,863,865
223,92,324,398,863,865
224,92,324,398,863,865
225,92,324,398,863,865
226,92,324,398,863,865
227,92,324,399,863,865
228,92,324,399,863,865
229,92,324,399,863,865
230,92,324,398,863,865
231,92,324,399,863,865
232,92,324,399,863,865
233,92,324,399,863,865
234,92,324,399,863,865
235,92,324,399,863,865
236,92,324,399,863,865
237,92,324,399,863,865
238,92,324,399,863,865
239,92,324,399,863,865
240,92,324,399,863,865
241,92,324,400,863,865
242,92,324,399,863,865
243,92,324,400,863,865
244,92,324,400,863,865
245,92,324,400,863,865
246,92,324,400,863,865
247,92,324,399,863,865
248,92,324,400,863,865
249,92,324,400,863,865
250,92,324,400,863,865
251,92,325,400,863,865
252,92,325,400,863,865
253,92,325,400,863,865
254,92,325,400,863,865
255,92,325,400,863,865
256,92,325,400,863,865
257,92,325,400,863,865
258,92,325,401,863,865
259,92,325,401,863,865
260,92,325,401,863,865
261,92,325,401,863,865
262,92,325,401,863,865
263,92,325,401,863,865
264,92,325,401,863,865
265,92,325,401,863,865
266,92,325,401,863,865
267,92,325,401,863,865
268,92,325,402,863,865
269,92,325,402,863,865
270,92,325,402,863,865
271,92,325,402,863,865
272,92,325,402,863,865
273,92,325,402,863,865
274,92,325,402,863,865
275,92,325,402,863,865
276,92,325,402,863,865
277,92,325,402,863,865
278,92,325,403,863,865
279,92,325,403,863,865
280,92,325,403,863,865
281,92,325,403,863,865
282,92,325,403,863,865
283,92,326,403,863,865
284,92,326,403,863,865
285,92,326,403,863,865
286,92,326,403,863,865
287,92,326,403,863,865
288,92,326,403,863,865
289,92,326,403,863,865
290,92,326,403,863,865
291,92,326,404,863,865
292,92,326,404,863,865
293,92,326,404,863,865
294,92,326,404,863,865
295,92,326,404,863,865
296,92,326,404,863,865
297,92,326,404,863,865
299,92,326,404,863,865
300,92,326,405,863,865
301,92,326,405,863,865
302,92,326,405,863,865
303,92,326,405,863,865
304,92,326,404,863,865
305,92,326,404,863,865
306,92,326,404,863,865
307,92,326,404,863,865
308,92,326,404,863,865
309,92,326,405,863,865
310,92,326,405,863,865
311,92,327,405,863,865
312,92,327,405,863,865
313,92,327,406,863,865
314,92,327,406,863,865
315,92,327,406,863,865
316,92,327,406,863,865
317,92,327,406,863,865
318,92,327,406,863,865
319,92,327,406,863,865
320,92,327,406,863,865
321,92,327,406,863,865
322,92,327,406,863,865
323,92,327,406,863,865
324,92,327,406,863,865
325,92,327,407,863,865
326,92,327,407,863,865
327,92,327,407,863,865
328,92,327,407,863,865
329,92,327,407,863,865
330,92,328,407,863,865
331,92,328,407,863,865
332,92,328,407,863,865
333,92,328,407,863,865
334,92,328,407,863,865
335,92,328,407,863,865
336,92,328,408,863,865
337,92,328,408,863,865
338,92,328,408,863,865
339,92,328,408,863,865
340,92,328,408,863,865
341,92,328,408,863,865
342,92,328,408,863,865
343,92,328,408,863,865
344,92,328,408,863,865
345,92,328,408,863,865
346,92,329,408,863,865
347,92,328,408,863,865
348,92,329,409,863,865
349,92,329,409,863,865
350,92,329,409,863,865
351,92,329,409,863,865
352,92,329,409,863,865
353,92,329,409,863,865
354,92,329,409,863,865
355,92,329,409,863,865
356,92,329,410,863,865
357,92,329,410,863,865
358,92,329,410,863,865
359,92,329,410,863,865
360,92,329,410,863,865
361,92,329,410,863,865
362,92,329,410,863,865
363,92,330,410,863,865
364,92,330,410,863,865
365,92,330,411,863,865
366,92,330,411,863,865
367,92,330,411,863,865
368,92,330,411,863,865
369,92,330,411,863,865
370,92,330,411,863,865
371,92,330,411,863,865
372,92,330,412,863,865
373,92,330,412,863,865
374,92,330,412,863,865
375,92,330,412,863,865
376,92,330,412,863,865
377,92,330,412,863,865
378,92,330,412,863,865
379,92,330,412,863,865
380,92,331,412,863,865
381,92,331,412,863,865
382,92,331,413,863,865
383,92,331,413,863,865
384,92,331,413,863,865
385,92,331,413,863,865
386,92,331,413,863,865
387,92,331,413,863,865
388,92,331,413,863,865
389,92,331,413,863,865
390,92,331,413,863,865
391,92,331,413,863,865
392,92,331,413,863,865
393,92,331,413,863,865
394,92,331,413,863,865
395,92,331,413,863,865
396,92,332,413,863,865
397,92,332,413,863,865
398,92,332,414,863,865
399,92,332,414,863,865
400,92,332,414,863,865
401,92,332,414,863,865
402,92,332,414,863,865
403,92,332,414,863,865
404,92,332,414,863,865
405,92,332,414,863,865
406,92,332,414,863,865
407,92,332,414,863,865
408,92,332,414,863,865
409,92,332,414,863,865
410,92,333,414,863,865
411,92,333,414,863,865
412,92,333,414,863,865
413,92,333,414,863,865
414,92,333,414,863,865
415,92,333,415,863,865
416,92,333,415,863,865
417,92,333,415,863,865
418,92,333,415,863,865
419,92,333,415,863,865
420,92,333,415,863,865
421,92,333,415,863,865
422,92,334,416,863,865
423,92,334,415,863,865
424,92,334,416,863,865
425,92,334,416,863,865
426,92,334,416,863,865
427,92,334,416,863,865
428,92,334,416,863,865
429,92,334,416,863,865
430,92,334,416,863,865
431,92,334,416,863,865
432,92,334,417,863,865
433,92,334,417,863,865
434,92,334,417,863,865
435,92,334,417,863,865
436,92,334,417,863,865
437,92,334,417,863,865
438,92,334,417,863,865
439,92,335,417,863,865
440,92,335,417,863,865
441,92,335,417,863,865
442,92,335,418,863,865
443,92,335,418,863,865
444,92,335,418,863,865
445,92,335,417,863,865
446,92,335,418,863,865
447,92,335,418,863,865
448,92,335,418,863,865
449,92,335,418,863,865
450,92,335,418,863,865
451,92,335,418,863,865
452,92,336,418,863,865
453,92,336,418,863,865
454,92,336,418,863,865
455,92,336,418,863,865
456,92,336,417,863,865
457,92,336,417,863,865
458,92,336,417,863,865
459,92,336,417,863,865
460,92,336,418,863,865
461,92,336,418,863,865
462,92,337,418,863,865
463,92,337,418,863,865
464,92,337,418,863,865
465,92,337,418,863,865
466,92,337,419,863,865
467,92,337,419,863,865
468,92,337,419,863,865
469,92,337,419,863,865
470,92,337,419,863,865
471,92,337,419,863,865
472,92,337,419,863,865
473,92,337,419,863,865
474,92,338,420,863,865
475,92,338,420,863,865
476,92,338,420,863,865
477,92,338,420,863,865
478,92,338,420,863,865
479,92,338,420,863,865
480,92,338,420,863,865
481,92,338,421,863,865
482,92,338,421,863,865
483,92,338,421,863,865
484,92,338,421,863,865
485,92,339,421,863,865
486,92,339,421,863,865
487,92,339,421,863,865
488,92,339,421,863,865
489,92,339,421,863,865
490,92,339,421,863,865
491,92,339,421,863,865
492,92,339,421,863,865
493,92,340,421,863,865
494,92,340,422,863,865
495,92,340,422,863,865
496,92,340,422,863,865
497,92,340,422,863,865
498,92,340,422,863,865
499,92,340,422,863,865
500,92,340,422,863,865
501,92,340,423,863,865
502,92,340,423,863,865
503,92,340,423,863,865
504,92,340,423,863,865
505,92,341,423,863,865
506,92,341,423,863,865
507,92,341,423,863,865
508,92,341,423,863,865
509,92,341,423,863,865
510,92,341,423,863,865
511,92,341,424,863,865
512,92,341,424,863,865
513,92,341,424,863,865
514,92,342,424,863,865
515,92,342,424,863,865
516,92,342,424,863,865
517,92,342,424,863,865
518,92,342,424,863,865
519,92,342,424,863,865
520,92,342,424,863,865
521,92,342,425,863,865
522,92,342,425,863,865
523,92,342,425,863,865
524,92,343,425,863,865
525,92,343,425,863,865
526,92,343,425,863,865
527,92,343,425,863,865
528,92,343,426,863,865
529,92,343,426,863,865
530,92,343,426,863,865
531,92,343,426,863,865
532,92,343,426,863,865
533,92,343,426,863,865
534,92,343,427,863,865
535,92,343,426,863,865
536,92,343,427,863,865
537,92,344,427,863,865
538,92,344,427,863,865
539,92,344,427,863,865
540,92,344,427,863,865
541,92,344,427,863,865
542,92,344,428,863,865
543,92,344,428,863,865
544,92,344,428,863,865
545,92,344,428,863,865
546,92,344,428,863,865
547,92,344,428,863,865
548,92,344,428,863,865
549,92,345,428,863,865
550,92,345,428,863,865
551,92,345,428,863,865
552,92,345,429,863,865
553,92,345,429,863,865
554,92,345,429,863,865
555,92,345,429,863,865
556,92,345,429,863,865
557,92,345,430,863,865
558,92,346,430,863,865
559,92,346,430,863,865
560,92,346,430,863,865
561,92,346,430,863,865
562,92,346,430,863,865
563,92,347,430,863,865
564,92,346,430,863,865
565,92,347,431,863,865
566,92,347,431,863,865
567,92,347,431,863,865
568,92,347,431,863,865
569,92,347,431,863,865
570,92,347,431,863,865
571,92,347,431,863,865
572,92,348,431,863,865
573,92,348,431,863,865
574,92,348,432,863,865
575,92,348,432,863,865
576,92,348,432,863,865
577,92,348,432,863,865
578,92,348,432,863,865
579,92,348,432,863,865
580,92,349,432,863,865
582,92,348,432,863,865
583,92,349,433,863,865
584,92,349,433,863,865
585,92,349,433,863,865
586,92,349,433,863,865
587,92,349,433,863,865
588,92,349,433,863,865
589,92,350,433,863,865
590,92,350,434,863,865
591,92,350,434,863,865
592,92,350,434,863,865
593,92,350,434,863,865
594,92,350,434,863,865
595,92,350,434,863,865
596,92,350,434,863,865
597,92,351,435,863,865
598,92,351,435,863,865
599,92,351,435,863,865
600,92,351,435,863,865
601,92,351,435,863,865
602,92,351,435,863,865
603,92,352,435,863,865
604,92,352,435,863,865
605,92,352,436,863,865
606,92,352,436,863,865
607,92,352,436,863,865
608,92,352,436,863,865
609,92,352,436,863,865
610,92,353,436,863,865
611,92,353,436,863,865
612,92,353,437,863,865
613,92,353,437,863,865
614,92,353,437,863,865
615,92,353,437,863,865
616,92,353,437,863,865
617,92,353,437,863,865
618,92,353,436,863,865
619,92,353,436,863,865
620,92,354,436,863,865
621,92,354,436,863,865
622,92,354,436,863,865
623,93,354,436,863,865
624,92,354,437,863,865
625,92,354,437,863,865
626,92,354,437,863,865
627,92,354,437,863,865
628,92,355,438,863,865
629,92,355,438,863,865
630,93,355,438,863,865
631,92,355,438,863,865
632,92,356,439,863,865
633,92,355,439,863,865
634,92,356,439,863,865
635,92,356,439,863,865
636,92,356,439,863,865
637,93,356,440,863,865
638,92,356,440,863,865
639,92,356,440,863,865
640,92,357,440,863,865
641,92,357,440,863,865
642,93,357,440,863,865
643,93,357,440,863,865
644,92,357,441,863,865
645,92,357,441,863,865
646,92,357,441,863,865
647,92,357,441,863,865
648,92,357,441,863,865
649,92,358,441,863,865
650,92,358,441,863,865
651,93,358,441,863,865
652,92,358,441,863,865
653,92,358,441,863,865
654,92,358,441,863,865
655,92,358,442,863,865
656,92,358,442,863,865
657,92,358,442,863,865
658,92,358,442,863,865
659,93,358,442,863,865
660,92,358,442,863,865
661,92,358,442,863,865
662,92,358,442,863,865
663,92,358,442,863,865
664,93,359,443,863,865
665,92,359,443,863,865
666,92,359,443,863,865
667,93,359,443,863,865
668,92,360,443,863,865
669,92,360,443,863,865
670,92,360,443,863,865
671,93,360,443,863,865
672,92,360,443,863,865
673,92,360,443,863,865
674,92,360,443,863,865
675,92,360,444,863,865
676,92,360,444,863,865
677,93,360,444,863,865
678,92,360,444,863,865
679,92,361,444,863,865
680,92,361,444,863,865
681,92,361,444,863,865
682,92,361,444,863,865
683,93,361,444,863,865
684,93,361,444,863,865
685,92,361,444,863,865
686,93,361,444,863,865
687,92,361,444,863,865
688,92,361,444,863,865
689,92,361,444,863,865
690,93,361,444,863,865
691,92,361,444,863,865
692,92,362,444,863,865
693,92,362,444,863,865
694,92,362,444,863,865
695,92,362,444,863,865
696,92,362,445,863,865
697,93,362,445,863,865
698,93,362,445,863,865
699,93,363,445,863,865
700,93,363,445,863,865
701,92,363,445,863,865
702,92,363,445,863,865
703,92,363,445,863,865
704,93,363,445,863,865
705,93,363,445,863,865
706,92,363,445,863,865
707,93,363,446,863,865
708,93,363,446,863,865
709,92,363,446,863,865
710,92,363,446,863,865
711,93,364,446,863,865
712,93,364,446,863,865
713,93,364,446,863,865
714,92,364,446,863,865
715,92,364,446,863,865
716,92,364,446,863,865
717,93,364,446,863,865
718,92,364,447,863,865
719,93,364,447,863,865
720,92,365,447,863,865
721,93,365,447,863,865
722,93,365,447,863,865
