time,ambient_temp,thermocouple_0_temp,thermocouple_1_temp,thermocouple_2_temp,thermocouple_3_temp
5,89,163,215,865,866
6,89,163,216,865,866
7,89,164,216,865,866
8,89,164,216,865,866
9,89,164,217,865,866
10,89,164,216,865,866
11,89,165,217,865,866
12,89,165,217,865,866
13,89,165,217,865,866
14,89,165,217,865,866
15,89,166,218,865,866
16,89,166,218,865,866
17,89,166,218,865,866
18,89,166,218,865,866
19,89,167,218,865,866
20,89,167,218,865,866
21,89,167,218,865,866
22,89,167,218,865,866
23,89,168,218,865,866
24,89,168,219,865,866
25,89,168,219,865,866
26,89,168,219,865,866
27,89,169,219,865,866
28,89,169,219,865,866
29,89,169,219,865,866
30,89,169,220,865,866
31,89,169,220,865,866
32,89,170,220,865,866
33,89,170,221,865,866
34,89,170,221,865,866
35,89,170,222,865,866
36,89,171,222,865,866
37,89,171,222,865,866
38,89,171,223,865,866
39,89,171,223,865,866
40,89,172,224,865,866
41,89,172,229,865,866
42,89,172,235,865,866
43,89,172,240,865,866
44,89,172,244,865,866
45,89,172,247,865,866
46,89,173,251,865,866
47,89,173,254,865,866
48,89,173,256,865,866
49,89,173,258,865,866
50,89,173,261,865,866
51,89,173,263,865,866
52,89,174,265,865,866
53,89,174,266,865,866
54,89,174,269,865,866
55,89,174,270,865,866
56,89,174,271,865,866
57,89,174,272,865,866
58,89,174,274,865,866
59,89,175,275,865,866
60,89,175,276,865,866
61,89,175,278,865,866
62,89,175,279,865,866
63,89,175,280,865,866
64,89,175,281,865,866
65,89,175,281,865,866
66,89,176,282,865,866
67,89,176,283,865,866
68,89,176,283,865,866
69,89,176,284,865,866
70,89,176,285,865,866
71,89,177,285,865,866
72,89,177,285,865,866
73,89,177,286,865,866
74,89,177,286,865,866
75,89,177,286,865,866
76,89,177,286,865,866
77,89,178,286,865,866
78,89,178,286,865,866
79,89,178,286,865,866
80,89,178,287,865,866
81,89,178,287,865,866
82,89,179,287,865,866
83,89,179,287,865,866
84,89,179,287,865,866
85,89,179,287,865,866
86,89,179,287,865,866
87,89,180,287,865,866
88,89,180,287,865,866
89,89,180,287,865,866
90,89,180,287,865,866
91,89,180,287,865,866
92,89,181,287,865,866
93,89,181,287,865,866
94,89,181,288,865,866
95,89,181,287,865,866
96,89,181,287,865,866
97,89,182,287,865,866
98,89,182,287,865,866
99,89,182,286,865,866
100,89,182,286,865,866
101,89,182,285,865,866
102,89,183,285,865,866
103,89,183,284,865,866
104,89,183,283,865,866
105,89,183,283,865,866
106,89,183,282,865,866
107,89,183,282,865,866
108,89,184,281,865,866
109,89,184,281,865,866
110,89,184,281,865,866
111,89,184,281,865,866
112,89,184,280,865,866
113,89,185,280,865,866
114,89,185,280,865,866
115,89,185,280,865,866
116,89,185,279,865,866
117,89,185,279,865,866
118,89,185,279,865,866
119,89,186,279,865,866
120,89,186,279,865,866
121,89,186,279,865,866
122,89,186,279,865,866
123,89,186,279,865,866
124,89,187,278,865,866
125,89,187,278,865,866
126,89,187,278,865,866
127,89,187,278,865,866
128,89,187,277,865,866
129,89,187,277,865,866
130,89,188,277,865,866
131,89,188,277,865,866
132,89,188,277,865,866
133,89,188,277,865,866
134,89,188,277,865,866
135,89,189,277,865,866
136,89,189,277,865,866
137,89,189,277,865,866
138,89,189,277,865,866
139,89,189,277,865,866
140,89,189,277,865,866
141,89,190,277,865,866
142,89,190,277,865,866
143,89,190,276,865,866
144,89,190,276,865,866
145,89,190,276,865,866
146,89,190,277,865,866
147,89,191,277,865,866
148,89,191,277,865,866
149,89,191,277,865,866
150,89,191,277,865,866
151,89,191,277,865,866
152,89,192,276,865,866
153,89,192,276,865,866
154,89,192,276,865,866
155,89,192,276,865,866
156,89,192,276,865,866
157,89,192,276,865,866
158,89,193,276,865,866
159,89,193,276,865,866
160,89,193,276,865,866
161,89,193,276,865,866
162,89,193,276,865,866
163,89,193,276,865,866
164,89,193,276,865,866
165,89,193,276,865,866
166,89,193,276,865,866
167,89,194,276,865,866
168,89,194,276,865,866
169,89,194,276,865,866
170,89,194,276,865,866
171,89,194,276,865,866
172,89,194,276,865,866
173,89,194,278,865,866
174,89,195,279,865,866
175,89,195,281,865,866
176,89,195,283,865,866
177,89,195,284,865,866
